x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,266,0,519,422490,26,33,21,0,0,0
cpu,267,0,519,422690,26,33,22,0,0,0
cpu,267,0,520,422889,26,33,22,0,0,0
cpu,267,0,521,423089,26,33,22,0,0,0
cpu,267,0,522,423289,26,33,22,0,0,0
cpu,268,0,522,423488,26,33,22,0,0,0
cpu,272,0,523,423683,26,34,22,0,0,0
cpu,322,0,537,423812,27,35,27,0,0,0
cpu,402,0,553,423907,27,38,34,0,0,0
cpu,470,0,579,424004,27,40,40,0,0,0
cpu,528,0,624,424092,27,42,45,0,0,0
cpu,590,0,656,424191,29,44,48,0,0,0
cpu,649,0,688,424293,31,46,51,0,0,0
cpu,727,0,703,424390,31,48,58,0,0,0
cpu,806,0,718,424487,31,50,64,0,0,0
cpu,848,0,764,424593,34,51,65,0,0,0
cpu,899,0,806,424696,35,52,66,0,0,0
cpu,987,0,814,424794,40,53,67,0,0,0
cpu,1087,0,814,424894,40,54,67,0,0,0
cpu,1188,0,815,424994,40,54,67,0,0,0
cpu,1288,0,815,425093,40,55,67,0,0,0
cpu,1388,0,816,425193,40,55,67,0,0,0
cpu,1488,0,816,425293,40,55,67,0,0,0
cpu,1588,0,816,425392,40,56,67,0,0,0
cpu,1688,0,817,425492,40,57,67,0,0,0
cpu,1788,0,817,425592,40,57,67,0,0,0
cpu,1889,0,818,425691,40,57,67,0,0,0
cpu,1989,0,818,425791,40,58,67,0,0,0
cpu,2089,0,818,425891,40,58,67,0,0,0
cpu,2189,0,819,425990,40,59,67,0,0,0
cpu,2290,0,819,426090,40,59,67,0,0,0
cpu,2390,0,820,426190,40,59,67,0,0,0
cpu,2490,0,820,426289,40,60,67,0,0,0
cpu,2590,0,821,426389,40,60,67,0,0,0
cpu,2690,0,821,426489,40,61,67,0,0,0
cpu,2790,0,821,426588,40,61,67,0,0,0
cpu,2890,0,822,426688,40,62,68,0,0,0
cpu,2990,0,823,426788,40,62,68,0,0,0
cpu,3090,0,823,426887,40,63,68,0,0,0
cpu,3190,0,824,426987,40,63,68,0,0,0
cpu,3290,0,824,427086,40,64,68,0,0,0
cpu,3390,0,825,427186,40,64,68,0,0,0
cpu,3490,0,825,427286,40,65,68,0,0,0
cpu,3554,0,831,427409,47,65,68,0,0,0
cpu,3655,0,831,427509,47,66,68,0,0,0
cpu,3755,0,832,427608,47,66,68,0,0,0
cpu,3855,0,832,427708,47,67,68,0,0,0
cpu,3955,0,833,427807,47,67,68,0,0,0
cpu,4055,0,833,427907,47,67,68,0,0,0
cpu,4156,0,835,428005,47,68,68,0,0,0
cpu,4256,0,835,428105,47,68,68,0,0,0
cpu,4356,0,836,428205,47,69,69,0,0,0
cpu,4456,0,836,428304,47,69,69,0,0,0
cpu,4556,0,837,428404,47,70,69,0,0,0
cpu,4656,0,837,428504,47,70,69,0,0,0
cpu,4756,0,837,428603,47,71,69,0,0,0
cpu,4856,0,838,428703,47,71,69,0,0,0
cpu,4957,0,838,428803,47,72,69,0,0,0
cpu,5057,0,839,428903,47,72,69,0,0,0
cpu,5157,0,839,429003,47,72,69,0,0,0
cpu,5257,0,840,429102,47,73,69,0,0,0
cpu,5357,0,840,429202,47,73,69,0,0,0
cpu,5458,0,840,429302,47,74,69,0,0,0
cpu,5558,0,841,429402,47,74,69,0,0,0
cpu,5658,0,841,429501,47,74,69,0,0,0
cpu,5758,0,842,429601,47,75,69,0,0,0
cpu,5858,0,842,429701,47,75,69,0,0,0
cpu,5958,0,843,429801,47,76,69,0,0,0
cpu,6058,0,843,429900,47,77,69,0,0,0
cpu,6115,0,850,430022,61,77,70,0,0,0
