total,used,free,shared,buffers,cached
7989,327,7662,0,24,207
7989,327,7662,0,24,207
7989,327,7662,0,24,207
7989,327,7662,0,24,207
7989,327,7661,0,24,207
7989,329,7660,0,24,207
7989,329,7660,0,24,207
7989,329,7660,0,24,207
7989,329,7660,0,24,207
7989,329,7659,0,24,207
7989,329,7659,0,24,207
7989,346,7643,0,24,215
7989,375,7614,0,24,242
7989,405,7583,0,24,270
7989,441,7547,0,24,299
7989,482,7506,0,24,330
7989,515,7473,0,24,337
7989,561,7427,0,24,383
7989,603,7386,0,24,424
7989,628,7360,0,24,436
7989,659,7329,0,24,441
7989,678,7311,0,24,449
7989,678,7310,0,24,449
7989,679,7310,0,24,449
7989,678,7311,0,24,449
7989,678,7311,0,24,449
7989,678,7311,0,24,449
7989,678,7311,0,24,449
7989,678,7311,0,24,449
7989,678,7311,0,24,449
7989,678,7311,0,24,449
7989,678,7311,0,24,449
7989,678,7311,0,24,449
7989,678,7310,0,24,449
7989,678,7310,0,24,449
7989,678,7310,0,24,449
7989,678,7310,0,24,449
7989,678,7310,0,24,449
7989,678,7310,0,24,449
7989,678,7310,0,24,449
7989,679,7310,0,24,449
7989,679,7310,0,24,449
7989,681,7308,0,24,449
7989,681,7308,0,24,449
7989,680,7308,0,24,449
7989,681,7308,0,24,449
7989,680,7308,0,24,449
7989,686,7303,0,24,457
7989,686,7302,0,24,457
7989,686,7302,0,24,457
7989,686,7303,0,24,457
7989,686,7302,0,24,457
7989,686,7302,0,24,457
7989,687,7302,0,24,457
7989,686,7302,0,24,457
7989,687,7302,0,24,457
7989,687,7302,0,24,457
7989,687,7302,0,24,457
7989,687,7302,0,24,457
7989,687,7302,0,24,457
7989,687,7302,0,24,457
7989,687,7302,0,24,457
7989,687,7302,0,24,457
7989,686,7302,0,24,457
7989,686,7302,0,24,457
7989,686,7302,0,24,457
7989,686,7303,0,24,457
7989,686,7302,0,24,457
7989,686,7302,0,24,457
7989,686,7302,0,24,457
7989,686,7302,0,24,457
7989,687,7302,0,24,457
7989,687,7302,0,24,457
7989,688,7301,0,24,458
7989,695,7294,0,24,465
7989,695,7294,0,24,465
7989,695,7293,0,24,465
