x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,176,0,366,3989,33,6,3,0,0,0
cpu,177,0,366,4188,33,6,3,0,0,0
cpu,177,0,367,4387,33,6,3,0,0,0
cpu,177,0,367,4587,33,6,3,0,0,0
cpu,177,0,368,4787,33,6,3,0,0,0
cpu,177,0,369,4986,33,6,3,0,0,0
cpu,178,0,369,5186,33,6,3,0,0,0
cpu,178,0,369,5386,33,6,3,0,0,0
cpu,178,0,370,5585,33,7,3,0,0,0
cpu,179,0,370,5784,33,7,4,0,0,0
cpu,179,0,371,5984,33,7,4,0,0,0
cpu,180,0,371,6184,33,7,4,0,0,0
cpu,181,0,372,6382,33,7,4,0,0,0
cpu,182,0,372,6581,33,7,4,0,0,0
cpu,182,0,373,6780,33,7,4,0,0,0
cpu,182,0,374,6980,33,7,4,0,0,0
cpu,182,0,374,7180,33,7,4,0,0,0
cpu,182,0,375,7379,33,7,4,0,0,0
cpu,183,0,375,7579,33,7,4,0,0,0
cpu,183,0,376,7779,33,7,4,0,0,0
cpu,183,0,376,7979,33,7,4,0,0,0
cpu,183,0,376,8179,33,7,4,0,0,0
cpu,183,0,377,8378,33,7,4,0,0,0
cpu,184,0,377,8578,33,8,4,0,0,0
cpu,184,0,378,8778,33,8,4,0,0,0
cpu,185,0,379,8976,33,8,4,0,0,0
cpu,185,0,379,9176,33,8,4,0,0,0
cpu,185,0,379,9376,33,8,4,0,0,0
cpu,185,0,380,9576,33,8,4,0,0,0
cpu,186,0,380,9776,33,8,4,0,0,0
cpu,186,0,381,9975,33,8,4,0,0,0
cpu,186,0,381,10175,33,8,4,0,0,0
cpu,186,0,382,10375,33,8,4,0,0,0
cpu,186,0,382,10575,33,8,4,0,0,0
cpu,187,0,382,10774,33,8,4,0,0,0
cpu,187,0,383,10974,33,8,4,0,0,0
cpu,187,0,383,11174,33,8,4,0,0,0
cpu,187,0,384,11374,33,8,4,0,0,0
cpu,187,0,385,11573,33,8,5,0,0,0
cpu,187,0,385,11773,33,8,5,0,0,0
cpu,187,0,385,11973,33,8,5,0,0,0
cpu,187,0,386,12173,33,8,5,0,0,0
cpu,188,0,388,12371,33,9,5,0,0,0
cpu,188,0,388,12571,33,9,5,0,0,0
cpu,188,0,389,12770,33,9,5,0,0,0
cpu,188,0,389,12970,33,9,5,0,0,0
cpu,188,0,390,13169,33,9,5,0,0,0
cpu,188,0,390,13369,33,9,5,0,0,0
cpu,189,0,391,13568,33,9,5,0,0,0
cpu,190,0,392,13768,33,9,5,0,0,0
cpu,190,0,392,13967,33,9,5,0,0,0
cpu,190,0,393,14167,33,9,5,0,0,0
cpu,190,0,393,14367,33,9,5,0,0,0
cpu,190,0,394,14567,33,9,5,0,0,0
cpu,191,0,394,14766,33,9,5,0,0,0
cpu,191,0,395,14966,33,9,5,0,0,0
cpu,191,0,396,15166,33,9,5,0,0,0
cpu,191,0,396,15366,33,9,5,0,0,0
cpu,191,0,397,15565,33,9,5,0,0,0
cpu,191,0,397,15765,33,9,5,0,0,0
cpu,192,0,398,15965,33,10,5,0,0,0
cpu,192,0,398,16165,33,10,5,0,0,0
cpu,192,0,398,16365,33,10,5,0,0,0
cpu,192,0,399,16564,33,10,5,0,0,0
cpu,193,0,399,16764,33,10,5,0,0,0
cpu,193,0,400,16964,33,10,5,0,0,0
cpu,193,0,401,17164,33,10,5,0,0,0
cpu,193,0,401,17364,33,10,5,0,0,0
cpu,193,0,402,17563,33,10,6,0,0,0
cpu,193,0,403,17763,33,10,6,0,0,0
cpu,193,0,403,17963,33,10,6,0,0,0
cpu,193,0,403,18163,33,10,6,0,0,0
cpu,194,0,404,18362,33,10,6,0,0,0
cpu,194,0,404,18562,33,10,6,0,0,0
cpu,194,0,405,18762,33,10,6,0,0,0
cpu,198,0,426,18934,36,11,6,0,0,0
cpu,234,0,445,19074,37,12,8,0,0,0
cpu,326,0,453,19168,37,14,13,0,0,0
cpu,417,0,463,19262,37,16,17,0,0,0
cpu,496,0,483,19359,37,17,20,0,0,0
cpu,558,0,530,19444,37,19,23,0,0,0
cpu,609,0,568,19549,41,20,25,0,0,0
cpu,686,0,583,19646,41,23,32,0,0,0
cpu,769,0,596,19743,41,24,37,0,0,0
cpu,838,0,625,19842,41,26,39,0,0,0
cpu,878,0,665,19956,43,27,40,0,0,0
cpu,932,0,705,20060,44,28,40,0,0,0
cpu,974,0,744,20166,55,29,41,0,0,0
cpu,976,0,748,20351,64,29,41,0,0,0
cpu,976,0,748,20551,64,29,41,0,0,0
cpu,977,0,751,20748,64,29,41,0,0,0
cpu,977,0,752,20947,64,30,41,0,0,0
cpu,978,0,752,21147,64,30,41,0,0,0
cpu,978,0,753,21347,64,30,41,0,0,0
cpu,978,0,753,21547,64,30,41,0,0,0
cpu,979,0,753,21746,64,30,41,0,0,0
cpu,979,0,753,21946,64,30,41,0,0,0
cpu,980,0,754,22145,64,30,41,0,0,0
cpu,980,0,755,22345,64,30,41,0,0,0
cpu,980,0,755,22545,64,30,41,0,0,0
cpu,980,0,756,22745,64,30,41,0,0,0
cpu,980,0,756,22945,64,30,41,0,0,0
cpu,981,0,759,23141,64,30,41,0,0,0
cpu,981,0,759,23341,64,30,42,0,0,0
cpu,981,0,760,23541,64,30,42,0,0,0
cpu,982,0,760,23741,64,30,42,0,0,0
cpu,982,0,761,23940,64,31,42,0,0,0
cpu,982,0,761,24140,64,31,42,0,0,0
cpu,982,0,762,24340,64,31,42,0,0,0
cpu,982,0,762,24539,64,31,42,0,0,0
cpu,982,0,763,24739,64,31,42,0,0,0
cpu,982,0,764,24939,64,31,42,0,0,0
cpu,982,0,764,25139,64,31,42,0,0,0
cpu,982,0,765,25338,64,31,42,0,0,0
cpu,983,0,765,25538,64,31,42,0,0,0
cpu,983,0,766,25738,64,31,42,0,0,0
cpu,983,0,766,25938,64,31,42,0,0,0
cpu,983,0,766,26137,64,31,42,0,0,0
cpu,1008,0,794,26241,64,35,75,0,0,0
cpu,1042,0,833,26311,64,39,120,0,0,0
cpu,1084,0,875,26360,64,43,173,0,0,0
cpu,1123,0,934,26394,64,48,231,0,0,0
cpu,1168,0,1006,26411,64,52,294,0,0,0
cpu,1216,0,1073,26429,64,57,356,0,0,0
cpu,1274,0,1148,26432,64,61,419,0,0,0
cpu,1335,0,1220,26434,64,66,484,0,0,0
cpu,1399,0,1289,26436,64,70,548,0,0,0
cpu,1458,0,1362,26437,64,75,612,0,0,0
cpu,1517,0,1430,26442,64,79,679,0,0,0
cpu,1574,0,1497,26451,64,84,742,0,0,0
cpu,1638,0,1554,26467,64,88,802,0,0,0
cpu,1703,0,1616,26477,64,92,862,0,0,0
cpu,1760,0,1690,26480,64,97,928,0,0,0
cpu,1817,0,1753,26495,64,101,988,0,0,0
cpu,1873,0,1821,26503,64,106,1051,0,0,0
cpu,1935,0,1886,26511,64,110,1116,0,0,0
