total,used,free,shared,buffers,cached
7989,281,7708,0,19,174
7989,282,7707,0,19,175
7989,282,7707,0,19,175
7989,282,7706,0,19,175
7989,282,7706,0,19,175
7989,282,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7705,0,19,175
7989,283,7705,0,19,175
7989,283,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7704,0,19,175
7989,284,7704,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7705,0,19,175
7989,284,7704,0,19,175
7989,285,7704,0,19,175
7989,284,7704,0,19,175
7989,284,7704,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,284,7705,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,282,7706,0,19,175
7989,282,7706,0,19,175
7989,282,7706,0,19,175
7989,282,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,282,7706,0,19,175
7989,282,7706,0,19,175
7989,282,7706,0,19,175
7989,282,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,246,7743,0,6,149
7989,290,7698,0,9,179
7989,323,7666,0,9,211
7989,357,7631,0,9,244
7989,400,7589,0,9,282
7989,446,7542,0,9,318
7989,484,7505,0,9,322
7989,516,7473,0,9,352
7989,552,7436,0,9,388
7989,589,7400,0,9,414
7989,613,7376,0,9,416
7989,642,7347,0,9,417
7989,674,7315,0,10,425
7989,700,7289,0,10,441
7989,700,7289,0,10,441
7989,699,7289,0,10,441
7989,703,7286,0,10,443
7989,703,7286,0,10,443
7989,703,7285,0,10,443
7989,703,7285,0,10,443
7989,703,7285,0,10,443
7989,703,7285,0,10,443
7989,704,7285,0,10,443
7989,704,7285,0,10,443
7989,704,7285,0,10,443
7989,704,7284,0,10,443
7989,704,7285,0,10,443
7989,705,7284,0,11,443
7989,705,7284,0,11,443
7989,705,7284,0,11,443
7989,705,7284,0,11,443
7989,703,7285,0,11,443
7989,703,7285,0,11,443
7989,703,7285,0,11,443
7989,703,7285,0,11,443
7989,703,7285,0,11,443
7989,703,7285,0,11,443
7989,703,7285,0,11,443
7989,703,7285,0,11,443
7989,703,7285,0,11,443
7989,703,7285,0,11,443
7989,703,7285,0,11,443
7989,703,7285,0,11,443
7989,709,7280,0,11,443
7989,717,7272,0,11,444
7989,726,7263,0,11,445
7989,738,7250,0,11,445
7989,755,7234,0,11,446
7989,770,7218,0,11,447
7989,791,7197,0,11,448
7989,802,7187,0,11,448
7989,813,7175,0,11,449
7989,832,7157,0,11,450
7989,833,7156,0,11,450
7989,833,7156,0,11,451
7989,833,7155,0,11,452
7989,834,7155,0,11,452
7989,836,7153,0,11,453
7989,836,7153,0,11,454
7989,836,7153,0,11,454
7989,836,7153,0,11,455
7989,835,7154,0,11,456
7989,835,7154,0,11,456
7989,836,7152,0,11,457
7989,836,7153,0,11,458
7989,837,7151,0,11,458
7989,839,7150,0,11,459
7989,837,7152,0,11,460
7989,834,7155,0,11,460
7989,835,7154,0,11,461
7989,834,7154,0,11,462
7989,835,7154,0,11,462
7989,836,7153,0,11,463
7989,836,7153,0,11,464
7989,836,7153,0,11,464
7989,836,7153,0,11,465
7989,836,7152,0,11,466
7989,836,7152,0,11,466
7989,836,7152,0,11,467
7989,837,7152,0,11,468
7989,838,7151,0,11,468
7989,840,7149,0,11,469
7989,846,7142,0,11,470
7989,845,7144,0,11,470
7989,845,7144,0,11,471
7989,846,7143,0,11,472
7989,845,7144,0,11,473
7989,845,7144,0,11,473
7989,846,7143,0,11,474
7989,845,7144,0,11,475
7989,843,7145,0,11,475
7989,843,7146,0,11,476
7989,843,7146,0,11,477
7989,840,7148,0,11,477
7989,839,7149,0,11,478
7989,838,7150,0,11,478
7989,838,7150,0,11,479
7989,834,7155,0,11,480
7989,832,7157,0,11,480
7989,829,7160,0,11,481
7989,818,7170,0,11,482
7989,807,7182,0,11,483
7989,802,7186,0,11,483
7989,815,7173,0,11,484
7989,845,7144,0,11,484
7989,874,7115,0,11,485
7989,880,7108,0,11,486
7989,904,7085,0,11,486
7989,906,7082,0,11,487
7989,906,7082,0,11,488
7989,909,7080,0,11,488
7989,910,7079,0,11,489
7989,913,7076,0,11,490
7989,915,7074,0,11,490
7989,919,7070,0,11,491
7989,926,7062,0,11,491
7989,935,7054,0,11,492
7989,942,7047,0,11,493
7989,944,7045,0,11,493
7989,944,7045,0,11,494
7989,944,7045,0,11,494
7989,943,7046,0,11,495
7989,942,7046,0,11,496
7989,941,7048,0,11,496
7989,941,7047,0,11,497
7989,942,7047,0,11,498
7989,944,7044,0,11,498
7989,949,7040,0,11,499
7989,949,7040,0,11,500
7989,949,7040,0,11,500
7989,949,7040,0,11,501
7989,949,7040,0,11,501
7989,952,7037,0,11,502
7989,956,7033,0,11,503
7989,956,7033,0,11,503
7989,956,7032,0,11,504
7989,956,7033,0,11,504
7989,955,7033,0,11,505
7989,955,7033,0,11,506
7989,956,7033,0,11,506
7989,956,7033,0,11,507
7989,958,7031,0,11,508
7989,959,7029,0,11,508
7989,959,7029,0,11,509
7989,960,7028,0,11,509
7989,959,7030,0,11,510
7989,958,7031,0,11,511
7989,958,7031,0,11,511
7989,958,7031,0,11,512
7989,957,7032,0,11,513
7989,956,7033,0,11,513
7989,956,7032,0,11,514
7989,959,7029,0,11,515
7989,962,7027,0,11,515
7989,962,7027,0,11,516
7989,962,7027,0,11,516
7989,963,7026,0,11,517
7989,962,7026,0,11,518
7989,962,7026,0,11,518
7989,963,7026,0,11,519
7989,963,7025,0,11,519
7989,964,7024,0,11,520
7989,968,7020,0,11,521
7989,975,7013,0,11,521
7989,982,7007,0,11,522
7989,993,6996,0,11,523
7989,994,6995,0,11,523
7989,995,6994,0,11,524
7989,996,6993,0,11,524
7989,995,6993,0,11,525
7989,995,6994,0,11,526
7989,995,6994,0,11,526
7989,995,6993,0,11,527
7989,995,6994,0,11,527
7989,995,6993,0,11,528
7989,997,6992,0,11,529
7989,996,6992,0,11,529
7989,997,6992,0,11,530
7989,996,6993,0,11,530
7989,997,6992,0,11,531
7989,999,6990,0,11,531
7989,999,6989,0,11,532
7989,997,6992,0,11,533
7989,998,6990,0,11,534
7989,998,6991,0,11,534
7989,999,6990,0,11,535
7989,1001,6988,0,11,535
7989,1000,6989,0,11,536
7989,1001,6988,0,11,537
7989,1000,6989,0,11,537
7989,1001,6987,0,11,538
7989,1004,6985,0,11,539
7989,1007,6982,0,11,539
7989,1006,6983,0,11,540
7989,1004,6985,0,11,540
7989,1003,6986,0,11,540
7989,1002,6987,0,11,540
7989,1001,6988,0,11,540
7989,1000,6989,0,11,540
7989,1000,6989,0,11,540
7989,998,6990,0,11,540
7989,998,6991,0,11,540
7989,997,6992,0,11,540
7989,996,6993,0,11,540
7989,995,6993,0,11,540
7989,994,6994,0,11,540
7989,993,6995,0,11,540
7989,992,6996,0,11,540
7989,991,6997,0,11,540
7989,990,6998,0,11,540
7989,989,6999,0,11,540
7989,988,7000,0,11,540
7989,988,7001,0,11,540
7989,995,6993,0,11,541
7989,1002,6987,0,11,541
7989,1008,6981,0,11,542
7989,1014,6975,0,11,542
7989,1020,6968,0,11,543
7989,1024,6964,0,11,544
7989,1025,6964,0,11,544
7989,1023,6966,0,11,545
7989,1019,6970,0,11,545
7989,1019,6969,0,11,546
7989,1017,6972,0,11,547
7989,1013,6975,0,11,547
7989,1009,6979,0,11,548
7989,1001,6988,0,11,549
7989,994,6994,0,11,549
7989,979,7009,0,11,550
7989,970,7019,0,11,550
7989,968,7021,0,11,551
7989,959,7029,0,11,552
7989,958,7031,0,11,552
7989,958,7031,0,11,553
7989,952,7037,0,11,554
7989,947,7042,0,11,554
7989,945,7044,0,11,555
7989,943,7045,0,11,556
7989,943,7045,0,11,556
7989,943,7045,0,11,557
7989,946,7043,0,11,558
7989,952,7036,0,11,558
7989,965,7023,0,11,559
7989,994,6995,0,11,560
7989,1007,6982,0,11,560
7989,1024,6965,0,11,561
7989,1024,6965,0,11,562
7989,1025,6964,0,11,562
7989,1024,6965,0,11,563
7989,1025,6964,0,11,564
7989,1026,6963,0,11,564
7989,1028,6961,0,11,565
7989,1028,6960,0,11,565
7989,1030,6959,0,11,566
7989,1029,6959,0,11,566
