x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,154,0,370,26178,29,8,4,0,0,0
cpu,155,0,371,26376,29,8,4,0,0,0
cpu,155,0,371,26575,29,8,4,0,0,0
cpu,155,0,372,26775,29,8,5,0,0,0
cpu,156,0,372,26974,29,8,5,0,0,0
cpu,156,0,373,27174,29,8,5,0,0,0
cpu,156,0,373,27373,29,8,5,0,0,0
cpu,157,0,374,27572,29,8,5,0,0,0
cpu,158,0,374,27772,29,8,5,0,0,0
cpu,158,0,375,27972,29,8,5,0,0,0
cpu,158,0,375,28171,29,8,5,0,0,0
cpu,158,0,376,28371,29,8,5,0,0,0
cpu,158,0,376,28571,29,8,5,0,0,0
cpu,158,0,376,28771,29,8,5,0,0,0
cpu,158,0,377,28970,29,8,5,0,0,0
cpu,159,0,377,29170,29,8,5,0,0,0
cpu,159,0,377,29370,30,8,5,0,0,0
cpu,159,0,378,29570,30,8,5,0,0,0
cpu,159,0,378,29770,30,9,5,0,0,0
cpu,160,0,379,29969,30,9,5,0,0,0
cpu,160,0,379,30169,30,9,5,0,0,0
cpu,160,0,380,30369,30,9,5,0,0,0
cpu,160,0,380,30569,30,9,5,0,0,0
cpu,160,0,381,30769,30,9,5,0,0,0
cpu,160,0,381,30968,30,9,5,0,0,0
cpu,161,0,382,31168,30,9,5,0,0,0
cpu,161,0,382,31368,30,9,5,0,0,0
cpu,161,0,383,31568,30,9,5,0,0,0
cpu,161,0,384,31768,30,9,5,0,0,0
cpu,161,0,384,31967,30,9,5,0,0,0
cpu,161,0,385,32167,30,9,5,0,0,0
cpu,161,0,385,32367,30,9,5,0,0,0
cpu,161,0,385,32567,30,9,5,0,0,0
cpu,162,0,386,32766,30,9,5,0,0,0
cpu,162,0,386,32966,30,9,5,0,0,0
cpu,162,0,387,33166,30,9,6,0,0,0
cpu,162,0,387,33366,30,9,6,0,0,0
cpu,162,0,388,33566,30,9,6,0,0,0
cpu,163,0,388,33765,30,9,6,0,0,0
cpu,163,0,389,33965,30,9,6,0,0,0
cpu,163,0,389,34165,30,9,6,0,0,0
cpu,163,0,390,34365,30,10,6,0,0,0
cpu,163,0,390,34565,30,10,6,0,0,0
cpu,163,0,391,34764,30,10,6,0,0,0
cpu,164,0,391,34964,30,10,6,0,0,0
cpu,165,0,392,35163,30,10,6,0,0,0
cpu,165,0,393,35362,30,10,6,0,0,0
cpu,165,0,393,35562,30,10,6,0,0,0
cpu,165,0,394,35762,30,10,6,0,0,0
cpu,165,0,394,35962,30,10,6,0,0,0
cpu,165,0,395,36161,30,10,6,0,0,0
cpu,166,0,396,36360,30,10,6,0,0,0
cpu,166,0,396,36559,30,10,6,0,0,0
cpu,166,0,397,36759,30,10,6,0,0,0
cpu,166,0,397,36959,30,10,6,0,0,0
cpu,166,0,398,37159,30,10,6,0,0,0
cpu,167,0,398,37359,30,10,6,0,0,0
cpu,167,0,399,37558,30,10,6,0,0,0
cpu,167,0,399,37758,30,10,6,0,0,0
cpu,167,0,400,37958,30,10,6,0,0,0
cpu,167,0,400,38157,30,10,6,0,0,0
cpu,167,0,401,38357,30,10,6,0,0,0
cpu,167,0,401,38557,30,11,6,0,0,0
cpu,167,0,402,38757,30,11,6,0,0,0
cpu,167,0,402,38956,30,11,6,0,0,0
cpu,167,0,403,39156,30,11,6,0,0,0
cpu,167,0,403,39356,30,11,6,0,0,0
cpu,168,0,404,39556,30,11,6,0,0,0
cpu,168,0,404,39756,30,11,6,0,0,0
cpu,168,0,405,39956,30,11,7,0,0,0
cpu,168,0,405,40155,30,11,7,0,0,0
cpu,168,0,406,40355,30,11,7,0,0,0
cpu,168,0,406,40555,30,11,7,0,0,0
cpu,168,0,407,40755,30,11,7,0,0,0
cpu,168,0,407,40955,30,11,7,0,0,0
cpu,171,0,429,41126,33,12,7,0,0,0
cpu,234,0,456,41232,34,14,11,0,0,0
cpu,323,0,466,41324,34,15,16,0,0,0
cpu,409,0,481,41416,34,17,20,0,0,0
cpu,482,0,506,41512,34,19,24,0,0,0
cpu,537,0,556,41599,34,21,28,0,0,0
cpu,595,0,591,41698,38,22,31,0,0,0
cpu,686,0,601,41787,38,25,38,0,0,0
cpu,778,0,610,41880,38,26,42,0,0,0
cpu,826,0,653,41984,40,27,43,0,0,0
cpu,877,0,696,42087,42,29,44,0,0,0
cpu,932,0,737,42189,43,30,44,0,0,0
cpu,973,0,770,42313,44,31,44,0,0,0
cpu,1029,0,810,42413,46,32,45,0,0,0
cpu,1046,0,926,42460,60,34,47,0,0,0
cpu,1055,0,1113,42463,60,36,50,0,0,0
cpu,1067,0,1299,42463,60,38,52,0,0,0
cpu,1081,0,1487,42463,60,40,54,0,0,0
cpu,1091,0,1676,42463,60,42,57,0,0,0
cpu,1104,0,1860,42463,60,45,60,0,0,0
cpu,1116,0,2045,42463,60,47,64,0,0,0
cpu,1128,0,2230,42463,60,50,67,0,0,0
cpu,1141,0,2415,42463,60,52,69,0,0,0
cpu,1154,0,2599,42463,60,54,73,0,0,0
cpu,1164,0,2786,42463,60,57,78,0,0,0
cpu,1177,0,2969,42463,60,60,82,0,0,0
cpu,1192,0,3152,42463,60,62,86,0,0,0
cpu,1205,0,3337,42463,60,65,89,0,0,0
cpu,1216,0,3523,42463,60,68,92,0,0,0
cpu,1226,0,3712,42463,60,70,96,0,0,0
cpu,1236,0,3900,42463,60,73,99,0,0,0
cpu,1247,0,4087,42463,60,75,102,0,0,0
cpu,1260,0,4273,42463,60,77,105,0,0,0
cpu,1271,0,4458,42463,60,80,109,0,0,0
cpu,1286,0,4641,42463,60,82,111,0,0,0
cpu,1299,0,4827,42463,60,84,114,0,0,0
cpu,1310,0,5013,42463,60,86,117,0,0,0
cpu,1321,0,5201,42463,60,89,119,0,0,0
cpu,1332,0,5388,42463,60,91,123,0,0,0
cpu,1345,0,5572,42463,60,93,126,0,0,0
cpu,1359,0,5758,42463,60,95,128,0,0,0
cpu,1371,0,5944,42463,60,97,131,0,0,0
cpu,1384,0,6128,42463,60,99,134,0,0,0
cpu,1399,0,6312,42463,60,101,137,0,0,0
cpu,1412,0,6500,42463,60,103,139,0,0,0
cpu,1422,0,6687,42463,60,105,142,0,0,0
cpu,1435,0,6872,42463,60,108,144,0,0,0
cpu,1447,0,7057,42463,60,109,147,0,0,0
cpu,1460,0,7243,42463,60,112,150,0,0,0
cpu,1473,0,7387,42485,81,113,151,0,0,0
cpu,1485,0,7574,42485,81,115,154,0,0,0
cpu,1498,0,7759,42485,81,118,157,0,0,0
cpu,1512,0,7943,42485,81,120,160,0,0,0
cpu,1524,0,8128,42485,81,122,162,0,0,0
cpu,1534,0,8316,42485,81,124,165,0,0,0
cpu,1552,0,8497,42485,81,126,167,0,0,0
cpu,1570,0,8678,42485,81,128,169,0,0,0
cpu,1585,0,8821,42485,122,129,172,0,0,0
cpu,1595,0,9008,42485,122,132,176,0,0,0
cpu,1613,0,9189,42485,122,134,178,0,0,0
cpu,1618,0,9241,42560,190,134,178,0,0,0
cpu,1630,0,9400,42572,204,136,181,0,0,0
cpu,1647,0,9581,42572,204,138,184,0,0,0
cpu,1662,0,9766,42572,204,140,185,0,0,0
cpu,1681,0,9946,42572,204,141,186,0,0,0
cpu,1698,0,10129,42572,204,143,188,0,0,0
