total,used,free,shared,buffers,cached
7989,279,7710,0,18,174
7989,280,7709,0,19,174
7989,280,7708,0,19,174
7989,281,7708,0,19,174
7989,281,7708,0,19,174
7989,281,7708,0,19,174
7989,281,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7706,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7706,0,19,174
7989,282,7707,0,19,174
7989,282,7706,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7706,0,19,174
7989,282,7707,0,19,174
7989,281,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7706,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7706,0,19,174
7989,282,7707,0,19,174
7989,282,7706,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7706,0,19,174
7989,282,7706,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7706,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7707,0,19,174
7989,282,7706,0,19,174
7989,282,7706,0,19,174
7989,282,7707,0,19,174
7989,282,7706,0,19,174
7989,282,7706,0,19,174
7989,282,7706,0,19,174
7989,282,7707,0,19,174
7989,283,7706,0,19,174
7989,282,7706,0,19,174
7989,282,7707,0,19,174
7989,282,7706,0,19,174
7989,282,7706,0,19,174
7989,248,7741,0,6,148
7989,302,7686,0,9,190
7989,334,7655,0,9,220
7989,373,7616,0,9,256
7989,417,7572,0,9,292
7989,459,7530,0,9,318
7989,502,7487,0,9,330
7989,538,7451,0,9,366
7989,581,7407,0,9,408
7989,602,7387,0,9,414
7989,636,7352,0,9,415
7989,663,7326,0,9,416
7989,687,7301,0,9,417
7989,711,7278,0,9,418
7989,863,7126,0,9,534
7989,1013,6976,0,9,667
7989,1078,6910,0,9,727
7989,1151,6838,0,9,793
7989,1213,6775,0,9,850
7989,1282,6707,0,9,911
7989,1338,6651,0,9,961
7989,1401,6588,0,9,1021
7989,1461,6528,0,9,1077
7989,1517,6471,0,9,1131
7989,1615,6374,0,9,1217
7989,1660,6329,0,9,1263
7989,1695,6294,0,9,1295
7989,1751,6237,0,9,1347
7989,1811,6177,0,9,1406
7989,1876,6113,0,9,1465
7989,1931,6057,0,9,1518
7989,2000,5989,0,9,1582
7989,2048,5941,0,9,1627
7989,2108,5881,0,9,1683
7989,2150,5839,0,9,1721
7989,2221,5767,0,10,1789
7989,2261,5728,0,10,1828
7989,2330,5659,0,10,1890
7989,2383,5605,0,10,1942
7989,2449,5540,0,10,2005
7989,2505,5484,0,10,2055
7989,2549,5439,0,10,2100
7989,2597,5391,0,10,2139
7989,2650,5339,0,10,2192
7989,2710,5279,0,10,2252
7989,2778,5211,0,10,2316
7989,2825,5164,0,10,2360
7989,2867,5122,0,10,2397
7989,2954,5035,0,10,2483
7989,2959,5030,0,10,2487
7989,3009,4980,0,10,2534
7989,3060,4928,0,10,2581
7989,3112,4876,0,10,2634
7989,3131,4858,0,10,2651
7989,3216,4773,0,10,2730
7989,3233,4756,0,10,2750
7989,3233,4756,0,10,2751
7989,3233,4756,0,10,2752
7989,3305,4683,0,10,2819
7989,3325,4664,0,10,2838
7989,3325,4663,0,10,2838
7989,3336,4652,0,10,2844
7989,3333,4655,0,10,2844
7989,3362,4626,0,10,2872
7989,3363,4626,0,10,2872
7989,3371,4618,0,10,2874
7989,3369,4619,0,10,2877
7989,3397,4591,0,10,2903
7989,3398,4591,0,10,2903
7989,3422,4566,0,10,2926
7989,3432,4557,0,10,2934
7989,3432,4557,0,10,2934
7989,3444,4544,0,10,2939
7989,3467,4522,0,10,2966
7989,3470,4519,0,10,2966
7989,3476,4513,0,10,2971
7989,3499,4489,0,10,2994
7989,3511,4478,0,10,2999
7989,3512,4476,0,10,3005
7989,3533,4455,0,10,3025
7989,3554,4435,0,10,3035
7989,3552,4437,0,10,3035
7989,3550,4438,0,10,3035
7989,3565,4423,0,10,3051
7989,3578,4411,0,10,3060
7989,3578,4410,0,10,3060
7989,3584,4404,0,10,3067
7989,3599,4390,0,10,3082
7989,3613,4376,0,10,3088
7989,3621,4368,0,10,3102
7989,3635,4354,0,10,3114
7989,3636,4353,0,10,3114
7989,3660,4328,0,10,3137
7989,3660,4328,0,10,3137
7989,3674,4315,0,10,3142
