x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,189,0,362,8635,26,6,3,0,0,0
cpu,192,0,364,11630,26,7,3,0,0,0
cpu,193,0,366,14627,26,7,4,0,0,0
cpu,194,0,367,17624,26,7,4,0,0,0
cpu,194,0,367,20623,26,7,4,0,0,0
cpu,194,0,371,23620,26,8,4,0,0,0
cpu,841,0,885,25085,319,28,51,0,0,0
cpu,845,0,1498,26583,1144,45,87,0,0,0
cpu,847,0,1684,28078,2339,89,126,0,0,0
cpu,851,0,1872,29581,3539,130,162,0,0,0
cpu,854,0,2045,31077,4751,176,202,0,0,0
cpu,856,0,2216,32578,5955,224,244,0,0,0
cpu,859,0,2391,34075,7154,271,289,0,0,0
cpu,861,0,2571,35574,8354,316,332,0,0,0
cpu,864,0,2742,37072,9566,360,372,0,0,0
cpu,867,0,2896,38570,10789,408,413,0,0,0
cpu,870,0,3069,40076,11986,455,456,0,0,0
cpu,873,0,3229,41578,13214,497,494,0,0,0
cpu,877,0,3400,43074,14442,540,532,0,0,0
cpu,878,0,3568,44572,15661,585,574,0,0,0
cpu,882,0,3718,46081,16886,629,613,0,0,0
cpu,885,0,3885,47599,18071,676,657,0,0,0
cpu,887,0,4057,49114,19264,722,698,0,0,0
cpu,890,0,4223,50621,20463,770,741,0,0,0
cpu,892,0,4385,52127,21699,806,776,0,0,0
cpu,895,0,4550,53629,22901,854,818,0,0,0
cpu,899,0,4703,55142,24133,894,854,0,0,0
cpu,904,0,5033,56650,25192,933,889,0,0,0
cpu,906,0,5581,58148,26094,944,923,0,0,0
cpu,908,0,5863,59645,27232,974,957,0,0,0
cpu,911,0,6023,61139,28460,1017,996,0,0,0
cpu,915,0,6189,62637,29671,1065,1041,0,0,0
cpu,917,0,6351,64135,30889,1113,1082,0,0,0
cpu,920,0,6511,65636,32119,1153,1118,0,0,0
cpu,925,0,6669,67130,33350,1197,1158,0,0,0
cpu,926,0,6829,68629,34563,1245,1200,0,0,0
cpu,929,0,6999,70124,35782,1291,1241,0,0,0
cpu,932,0,7167,71625,37016,1325,1276,0,0,0
cpu,935,0,7332,73122,38252,1361,1313,0,0,0
cpu,937,0,7483,74625,39528,1382,1339,0,0,0
cpu,940,0,7644,76130,40792,1403,1366,0,0,0
cpu,944,0,7796,77637,42037,1438,1399,0,0,0
cpu,947,0,7955,79131,43271,1480,1438,0,0,0
cpu,950,0,8111,80632,44490,1526,1479,0,0,0
cpu,953,0,8257,82127,45728,1571,1519,0,0,0
cpu,955,0,8402,83633,46958,1614,1559,0,0,0
cpu,959,0,8557,85125,48192,1656,1599,0,0,0
cpu,961,0,8706,86628,49429,1700,1638,0,0,0
cpu,964,0,8870,88125,50659,1744,1677,0,0,0
cpu,968,0,9393,89645,51552,1763,1707,0,0,0
cpu,972,0,9863,91141,52511,1784,1745,0,0,0
cpu,975,0,10026,92635,53724,1831,1788,0,0,0
cpu,977,0,10196,94135,54933,1877,1829,0,0,0
cpu,980,0,10355,95640,56160,1919,1867,0,0,0
cpu,985,0,10523,97135,57372,1964,1909,0,0,0
cpu,988,0,10690,98640,58575,2013,1951,0,0,0
cpu,992,0,10882,100141,59755,2060,1996,0,0,0
cpu,995,0,11037,101637,60990,2103,2034,0,0,0
cpu,998,0,11203,103134,62211,2145,2073,0,0,0
cpu,1001,0,11367,104630,63441,2190,2113,0,0,0
cpu,1003,0,11524,106130,64655,2236,2155,0,0,0
cpu,1005,0,11687,107628,65876,2281,2196,0,0,0
cpu,1008,0,11844,109128,67105,2322,2233,0,0,0
cpu,1011,0,12016,110625,68312,2372,2276,0,0,0
cpu,1014,0,12174,112128,69527,2417,2317,0,0,0
cpu,1017,0,12332,113626,70751,2461,2356,0,0,0
cpu,1020,0,12504,115125,71972,2505,2395,0,0,0
cpu,1022,0,12664,116624,73198,2550,2435,0,0,0
cpu,1025,0,12829,118121,74425,2593,2475,0,0,0
cpu,1027,0,12986,119622,75664,2633,2512,0,0,0
cpu,1033,0,13401,121139,76635,2664,2547,0,0,0
cpu,1035,0,13987,122638,77498,2676,2582,0,0,0
cpu,1037,0,14129,124132,78757,2715,2617,0,0,0
cpu,1041,0,14289,125628,79990,2756,2655,0,0,0
cpu,1044,0,14451,127129,81220,2798,2693,0,0,0
cpu,1046,0,14607,128627,82439,2845,2734,0,0,0
cpu,1049,0,14788,130128,83635,2890,2777,0,0,0
cpu,1053,0,14961,131624,84848,2936,2818,0,0,0
cpu,1057,0,15118,133122,86083,2973,2854,0,0,0
cpu,1060,0,15281,134620,87319,3010,2890,0,0,0
cpu,1062,0,15455,136121,88525,3056,2931,0,0,0
cpu,1065,0,15632,137621,89731,3101,2973,0,0,0
cpu,1069,0,15779,139118,90972,3143,3011,0,0,0
cpu,1072,0,15945,140616,92183,3191,3055,0,0,0
cpu,1075,0,16114,142111,93393,3240,3098,0,0,0
cpu,1078,0,16281,143611,94601,3286,3142,0,0,0
cpu,1083,0,16440,145106,95837,3328,3180,0,0,0
cpu,1086,0,16593,146604,97073,3371,3220,0,0,0
cpu,1088,0,16765,148102,98295,3414,3259,0,0,0
cpu,1089,0,16906,149618,99541,3451,3292,0,0,0
cpu,1092,0,17083,151112,100752,3495,3333,0,0,0
cpu,1094,0,17244,152616,101972,3542,3375,0,0,0
cpu,1099,0,17954,154135,102684,3557,3410,0,0,0
cpu,1102,0,18232,155632,103834,3581,3441,0,0,0
cpu,1105,0,18391,157128,105058,3624,3480,0,0,0
cpu,1107,0,18553,158624,106276,3673,3522,0,0,0
cpu,1109,0,18723,160126,107484,3719,3563,0,0,0
cpu,1111,0,18882,161624,108749,3746,3592,0,0,0
cpu,1115,0,19034,163123,109997,3785,3627,0,0,0
cpu,1118,0,19177,164622,111252,3826,3662,0,0,0
cpu,1120,0,19338,166119,112471,3872,3704,0,0,0
cpu,1123,0,19510,167622,113679,3916,3745,0,0,0
cpu,1127,0,19672,169116,114913,3957,3783,0,0,0
cpu,1129,0,19831,170618,116127,4005,3826,0,0,0
cpu,1131,0,20000,172115,117329,4054,3871,0,0,0
cpu,1134,0,20161,173674,118493,4098,3912,0,0,0
cpu,1136,0,20321,175171,119726,4139,3950,0,0,0
cpu,1139,0,20473,176669,120963,4184,3990,0,0,0
cpu,1142,0,20640,178166,122185,4226,4029,0,0,0
cpu,1144,0,20793,179668,123435,4260,4063,0,0,0
cpu,1147,0,20970,181163,124656,4302,4103,0,0,0
cpu,1151,0,21114,182682,125881,4346,4142,0,0,0
cpu,1154,0,21273,184177,127105,4389,4182,0,0,0
cpu,1160,0,21761,185700,128019,4411,4214,0,0,0
cpu,1164,0,22258,187197,128970,4425,4247,0,0,0
cpu,1166,0,22427,188690,130191,4470,4288,0,0,0
cpu,1168,0,22606,190188,131403,4512,4330,0,0,0
cpu,1171,0,22766,191691,132621,4557,4369,0,0,0
cpu,1174,0,22917,193186,133890,4591,4401,0,0,0
cpu,1176,0,23066,194688,135166,4615,4428,0,0,0
cpu,1178,0,23239,196184,136430,4637,4457,0,0,0
cpu,1182,0,23396,197688,137688,4662,4486,0,0,0
cpu,1185,0,23542,199181,138937,4702,4523,0,0,0
cpu,1187,0,23698,200685,140163,4746,4563,0,0,0
cpu,1189,0,23848,202184,141405,4787,4600,0,0,0
cpu,1192,0,24009,203693,142618,4830,4640,0,0,0
cpu,1196,0,24163,205189,143851,4872,4679,0,0,0
cpu,1197,0,24315,206692,145076,4917,4720,0,0,0
cpu,1200,0,24458,208190,146323,4958,4756,0,0,0
cpu,1203,0,24608,209693,147572,4995,4792,0,0,0
cpu,1207,0,24759,211189,148810,5037,4830,0,0,0
cpu,1209,0,24911,212694,150033,5081,4870,0,0,0
cpu,1212,0,25054,214192,151287,5120,4905,0,0,0
cpu,1214,0,25211,215690,152530,5159,4942,0,0,0
cpu,1219,0,25496,217205,153638,5191,4972,0,0,0
cpu,1221,0,26024,218703,154563,5202,5004,0,0,0
cpu,1223,0,26324,220201,155690,5228,5037,0,0,0
cpu,1226,0,26496,221698,156908,5270,5076,0,0,0
cpu,1230,0,26657,223197,158142,5310,5113,0,0,0
cpu,1231,0,26805,224698,159376,5354,5151,0,0,0
cpu,1235,0,26959,226196,160601,5400,5191,0,0,0
cpu,1237,0,27106,227698,161844,5440,5228,0,0,0
cpu,1240,0,27265,229196,163076,5482,5266,0,0,0
cpu,1243,0,27416,230699,164303,5528,5306,0,0,0
cpu,1246,0,27573,232199,165534,5571,5346,0,0,0
cpu,1249,0,27725,233701,166767,5614,5385,0,0,0
cpu,1253,0,27893,235199,167989,5656,5424,0,0,0
cpu,1255,0,28048,236695,169216,5702,5465,0,0,0
cpu,1257,0,28169,238193,170503,5737,5496,0,0,0
cpu,1259,0,28310,239697,171747,5776,5533,0,0,0
cpu,1262,0,28457,241192,172995,5817,5570,0,0,0
cpu,1266,0,28608,242693,174223,5861,5611,0,0,0
cpu,1268,0,28750,244191,175474,5901,5646,0,0,0
cpu,1272,0,28910,245692,176699,5944,5687,0,0,0
cpu,1276,0,29063,247187,177930,5987,5727,0,0,0
cpu,1278,0,29222,248685,179143,6034,5771,0,0,0
cpu,1283,0,29651,250202,180126,6057,5801,0,0,0
cpu,1286,0,30218,251703,180993,6073,5840,0,0,0
cpu,1289,0,30370,253197,182237,6112,5877,0,0,0
cpu,1291,0,30510,254696,183484,6153,5914,0,0,0
cpu,1293,0,30666,256192,184717,6198,5953,0,0,0
cpu,1296,0,30814,257688,185966,6240,5990,0,0,0
cpu,1301,0,30981,259186,187188,6283,6030,0,0,0
cpu,1303,0,31147,260682,188413,6330,6071,0,0,0
cpu,1306,0,31298,262184,189654,6372,6107,0,0,0
cpu,1309,0,31445,263679,190897,6414,6146,0,0,0
cpu,1312,0,31604,265178,192131,6455,6185,0,0,0
cpu,1314,0,31748,266675,193379,6498,6222,0,0,0
cpu,1317,0,31894,268178,194620,6538,6259,0,0,0
cpu,1319,0,32019,269675,195907,6573,6289,0,0,0
cpu,1322,0,32160,271169,197173,6612,6324,0,0,0
cpu,1324,0,32319,272665,198403,6657,6364,0,0,0
cpu,1327,0,32469,274163,199636,6699,6403,0,0,0
cpu,1330,0,32618,275662,200888,6737,6437,0,0,0
cpu,1333,0,32769,277159,202134,6777,6474,0,0,0
cpu,1336,0,32926,278655,203362,6818,6514,0,0,0
cpu,1338,0,33074,280157,204614,6854,6549,0,0,0
cpu,1345,0,33353,281674,205730,6886,6578,0,0,0
cpu,1348,0,33828,283170,206711,6896,6608,0,0,0
cpu,1351,0,34188,284668,207770,6924,6645,0,0,0
cpu,1354,0,34340,286165,209009,6968,6683,0,0,0
cpu,1356,0,34497,287666,210235,7011,6721,0,0,0
cpu,1359,0,34655,289161,211474,7053,6760,0,0,0
cpu,1362,0,34814,290660,212693,7100,6800,0,0,0
cpu,1365,0,34980,292156,213921,7144,6840,0,0,0
cpu,1369,0,35141,293657,215136,7189,6881,0,0,0
cpu,1373,0,35287,295155,216390,7228,6916,0,0,0
cpu,1375,0,35440,296657,217614,7273,6956,0,0,0
cpu,1378,0,35603,298156,218851,7312,6994,0,0,0
cpu,1381,0,35764,299658,220076,7353,7032,0,0,0
cpu,1385,0,35922,301153,221305,7395,7071,0,0,0
cpu,1387,0,36080,302655,222528,7440,7111,0,0,0
cpu,1389,0,36248,304151,223749,7484,7152,0,0,0
cpu,1392,0,36401,305653,224982,7526,7189,0,0,0
cpu,1396,0,36562,307148,226213,7568,7227,0,0,0
cpu,1399,0,36726,308647,227438,7614,7268,0,0,0
cpu,1402,0,36889,310144,228663,7657,7307,0,0,0
cpu,1405,0,37038,311645,229897,7699,7345,0,0,0
cpu,1408,0,37180,313142,231152,7737,7379,0,0,0
cpu,1414,0,37658,314663,232084,7755,7410,0,0,0
cpu,1417,0,38164,316165,233021,7767,7443,0,0,0
cpu,1420,0,38330,317661,234286,7790,7472,0,0,0
cpu,1423,0,38479,319158,235533,7829,7508,0,0,0
cpu,1426,0,38647,320663,236731,7878,7554,0,0,0
cpu,1430,0,38815,322157,237945,7926,7597,0,0,0
cpu,1432,0,38978,323661,239164,7970,7637,0,0,0
cpu,1436,0,39138,325159,240396,8011,7676,0,0,0
cpu,1438,0,39290,326681,241608,8056,7715,0,0,0
cpu,1442,0,39457,328176,242832,8101,7755,0,0,0
cpu,1445,0,39602,329682,244079,8138,7790,0,0,0
cpu,1448,0,39764,331179,245309,8181,7829,0,0,0
cpu,1449,0,39937,332681,246506,8232,7875,0,0,0
cpu,1452,0,40099,334185,247723,8273,7914,0,0,0
cpu,1455,0,40266,335682,248945,8317,7955,0,0,0
cpu,1460,0,40428,337186,250167,8359,7994,0,0,0
cpu,1462,0,40590,338681,251391,8406,8035,0,0,0
cpu,1464,0,40745,340183,252632,8445,8071,0,0,0
cpu,1467,0,40899,341704,253866,8479,8104,0,0,0
cpu,1470,0,41026,343197,255160,8512,8133,0,0,0
cpu,1473,0,41161,344693,256431,8552,8167,0,0,0
cpu,1478,0,41472,346209,257515,8587,8198,0,0,0
cpu,1481,0,42144,347704,258283,8601,8239,0,0,0
cpu,1485,0,42321,349199,259523,8632,8271,0,0,0
cpu,1487,0,42477,350696,260751,8678,8311,0,0,0
cpu,1491,0,42641,352198,261962,8724,8352,0,0,0
cpu,1495,0,42812,353695,263165,8772,8395,0,0,0
cpu,1498,0,42976,355194,264386,8815,8434,0,0,0
cpu,1501,0,43133,356691,265620,8860,8473,0,0,0
cpu,1503,0,43290,358193,266846,8903,8512,0,0,0
cpu,1506,0,43441,359687,268091,8944,8549,0,0,0
cpu,1510,0,43602,361186,269316,8987,8588,0,0,0
cpu,1512,0,43751,362685,270561,9031,8626,0,0,0
cpu,1516,0,43909,364184,271776,9076,8668,0,0,0
cpu,1519,0,44064,365680,273003,9119,8709,0,0,0
cpu,1522,0,44224,367183,274229,9158,8748,0,0,0
cpu,1525,0,44372,368679,275467,9202,8786,0,0,0
cpu,1527,0,44537,370177,276697,9242,8825,0,0,0
cpu,1530,0,44707,371670,277913,9288,8866,0,0,0
cpu,1534,0,44874,373170,279131,9331,8907,0,0,0
cpu,1536,0,45012,374667,280403,9369,8939,0,0,0
cpu,1539,0,45169,376166,281625,9414,8981,0,0,0
cpu,1542,0,45309,377665,282877,9452,9016,0,0,0
cpu,1548,0,45913,379187,283687,9470,9050,0,0,0
cpu,1551,0,46307,380684,284724,9492,9084,0,0,0
cpu,1554,0,46475,382179,285948,9537,9124,0,0,0
cpu,1556,0,46625,383678,287178,9581,9163,0,0,0
cpu,1559,0,46799,385176,288382,9626,9207,0,0,0
cpu,1563,0,46968,386676,289581,9676,9252,0,0,0
cpu,1565,0,47121,388173,290814,9721,9291,0,0,0
cpu,1568,0,47280,389676,292036,9764,9330,0,0,0
cpu,1572,0,47449,391169,293251,9810,9372,0,0,0
cpu,1575,0,47620,392666,294461,9858,9416,0,0,0
