total,used,free,shared,buffers,cached
7989,280,7709,0,18,174
7989,281,7707,0,18,174
7989,282,7707,0,18,174
7989,283,7706,0,18,174
7989,282,7707,0,18,174
7989,273,7715,0,10,175
7989,2274,5714,0,10,2063
7989,5848,2141,0,10,5628
7989,6373,1615,0,10,6148
7989,6774,1215,0,11,6546
7989,6777,1212,0,11,6546
7989,6777,1211,0,11,6546
7989,6780,1209,0,11,6546
7989,6781,1208,0,11,6546
7989,6781,1208,0,11,6546
7989,6784,1205,0,11,6546
7989,6784,1205,0,11,6546
7989,6786,1202,0,11,6546
7989,6786,1203,0,11,6546
7989,6788,1201,0,11,6547
7989,6790,1199,0,11,6547
7989,6791,1198,0,11,6547
7989,6790,1198,0,11,6547
7989,6793,1196,0,11,6547
7989,6792,1196,0,11,6547
7989,6797,1192,0,11,6547
7989,6796,1192,0,11,6547
7989,1790,6199,0,11,1587
7989,5558,2431,0,11,5347
7989,6762,1227,0,11,6547
7989,6762,1227,0,11,6547
7989,6767,1222,0,11,6547
7989,6767,1222,0,11,6547
7989,6767,1221,0,11,6547
7989,6770,1219,0,11,6547
7989,6770,1219,0,11,6547
7989,6773,1216,0,11,6547
7989,6772,1216,0,11,6547
7989,6774,1214,0,11,6547
7989,6775,1214,0,11,6547
7989,6777,1212,0,11,6547
7989,6777,1211,0,11,6547
7989,6780,1208,0,11,6547
7989,6780,1208,0,11,6547
7989,6781,1208,0,11,6547
7989,6781,1208,0,11,6547
7989,6782,1206,0,11,6547
7989,6782,1206,0,11,6547
7989,6784,1204,0,11,6547
7989,3953,4035,0,11,3747
7989,6762,1227,0,11,6547
7989,6763,1226,0,11,6547
7989,6767,1222,0,11,6547
7989,6768,1221,0,11,6547
7989,6768,1221,0,11,6547
7989,6768,1221,0,11,6547
7989,6768,1220,0,11,6547
7989,6771,1217,0,11,6547
7989,6771,1217,0,11,6547
7989,6774,1215,0,11,6547
7989,6774,1215,0,11,6547
7989,6775,1214,0,11,6547
7989,6774,1214,0,11,6547
7989,6777,1212,0,11,6547
7989,6777,1212,0,11,6547
7989,6779,1210,0,11,6547
7989,6779,1210,0,11,6547
7989,6781,1208,0,11,6547
7989,6781,1208,0,11,6547
7989,6776,1212,0,11,6547
7989,2782,5207,0,11,2587
7989,6711,1277,0,11,6507
7989,6753,1236,0,11,6547
7989,6757,1231,0,11,6547
7989,6758,1231,0,11,6547
7989,6760,1229,0,11,6547
7989,6761,1228,0,11,6547
7989,6763,1226,0,11,6547
7989,6762,1226,0,11,6547
7989,6765,1224,0,11,6547
7989,6765,1223,0,11,6547
7989,6766,1223,0,11,6547
7989,6768,1221,0,11,6547
7989,6768,1221,0,11,6547
7989,6770,1218,0,11,6547
7989,6770,1218,0,11,6547
7989,6772,1217,0,11,6547
7989,6772,1217,0,11,6547
7989,6774,1214,0,11,6547
7989,6774,1215,0,11,6547
7989,6776,1213,0,11,6547
7989,6776,1213,0,11,6547
7989,5347,2642,0,11,5147
7989,6754,1235,0,11,6547
7989,6756,1233,0,11,6547
7989,6759,1230,0,11,6547
7989,6759,1229,0,11,6547
7989,6761,1228,0,11,6547
7989,6761,1227,0,11,6547
7989,6763,1225,0,11,6547
7989,6764,1225,0,11,6547
7989,6764,1225,0,11,6547
7989,6766,1223,0,11,6547
7989,6766,1222,0,11,6547
7989,6768,1220,0,11,6547
7989,6768,1220,0,11,6547
7989,6771,1217,0,11,6547
7989,6771,1218,0,11,6547
7989,6773,1216,0,11,6547
7989,6772,1216,0,11,6547
7989,6774,1214,0,11,6547
7989,6774,1215,0,11,6547
7989,6776,1212,0,11,6547
7989,3499,4489,0,11,3304
7989,6751,1238,0,11,6548
7989,6753,1236,0,11,6548
7989,6756,1233,0,11,6548
7989,6756,1233,0,11,6548
7989,6758,1231,0,11,6548
7989,6758,1231,0,11,6548
7989,6760,1228,0,11,6548
7989,6761,1228,0,11,6548
7989,6763,1226,0,11,6548
7989,6763,1226,0,11,6548
7989,6766,1223,0,11,6548
7989,6765,1224,0,11,6548
7989,6767,1221,0,11,6548
7989,6767,1221,0,11,6548
7989,6769,1219,0,11,6548
7989,6770,1219,0,11,6548
7989,6771,1218,0,11,6548
7989,6771,1218,0,11,6548
7989,6773,1216,0,11,6548
7989,6773,1216,0,11,6548
7989,1738,6251,0,11,1548
7989,5268,2721,0,11,5070
7989,6751,1238,0,11,6548
7989,6755,1233,0,11,6548
7989,6758,1231,0,11,6548
7989,6758,1231,0,11,6548
7989,6760,1229,0,11,6548
7989,6760,1228,0,11,6548
7989,6763,1226,0,11,6548
7989,6763,1226,0,11,6548
7989,6765,1224,0,11,6548
7989,6765,1224,0,11,6548
7989,6765,1223,0,11,6548
7989,6768,1221,0,11,6548
7989,6769,1220,0,11,6548
7989,6769,1220,0,11,6548
7989,6771,1218,0,11,6548
7989,6771,1218,0,11,6548
7989,6772,1216,0,11,6548
7989,6773,1216,0,11,6548
7989,6774,1215,0,11,6548
7989,6775,1214,0,11,6548
7989,3102,4887,0,11,2908
7989,6750,1238,0,11,6548
7989,6754,1234,0,11,6548
7989,6757,1232,0,11,6548
7989,6757,1231,0,11,6548
7989,6760,1229,0,11,6548
7989,6759,1229,0,11,6548
7989,6762,1226,0,11,6548
7989,6762,1226,0,11,6548
7989,6765,1224,0,11,6548
7989,6765,1224,0,11,6548
7989,6767,1222,0,11,6548
7989,6767,1222,0,11,6548
7989,6769,1220,0,11,6548
7989,6769,1220,0,11,6548
7989,6770,1218,0,11,6548
7989,6770,1219,0,11,6548
7989,6772,1217,0,11,6548
7989,6772,1216,0,11,6548
7989,6774,1214,0,11,6548
7989,6774,1215,0,11,6548
7989,1660,6329,0,11,1468
7989,4866,3123,0,11,4668
7989,6751,1237,0,11,6548
7989,6754,1234,0,11,6548
7989,6754,1234,0,11,6548
7989,6756,1232,0,11,6548
7989,6757,1232,0,11,6548
7989,6759,1229,0,11,6548
7989,6760,1229,0,11,6548
7989,6762,1226,0,11,6548
7989,6762,1226,0,11,6548
7989,6764,1224,0,11,6548
7989,6764,1224,0,11,6548
7989,6767,1221,0,11,6548
7989,6766,1223,0,11,6548
7989,6769,1220,0,11,6548
7989,6769,1220,0,11,6548
7989,6771,1218,0,11,6548
7989,6771,1218,0,11,6548
7989,6773,1216,0,11,6548
7989,6773,1216,0,11,6548
7989,6774,1215,0,11,6548
7989,3462,4526,0,11,3267
7989,6753,1236,0,11,6548
7989,6755,1234,0,11,6548
7989,6758,1231,0,11,6548
7989,6758,1231,0,11,6548
7989,6761,1228,0,11,6548
7989,6761,1228,0,11,6548
7989,6763,1225,0,11,6548
7989,6763,1225,0,11,6548
7989,6766,1223,0,11,6548
7989,6766,1223,0,11,6548
7989,6768,1221,0,11,6548
7989,6768,1220,0,11,6548
7989,6768,1220,0,11,6548
7989,6771,1218,0,11,6548
7989,6770,1218,0,11,6548
7989,6774,1215,0,11,6548
7989,6773,1215,0,11,6548
7989,6775,1214,0,11,6548
7989,6776,1212,0,11,6548
7989,6778,1210,0,11,6548
7989,1863,6126,0,11,1668
7989,6425,1564,0,11,6217
7989,6756,1233,0,11,6547
7989,6757,1232,0,11,6548
7989,6758,1231,0,11,6548
7989,6762,1227,0,11,6548
7989,6761,1228,0,11,6548
7989,6762,1227,0,11,6548
7989,6762,1227,0,11,6548
7989,6764,1225,0,11,6548
7989,6764,1224,0,11,6548
7989,6767,1222,0,11,6548
7989,6766,1222,0,11,6548
