x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,186,0,388,358838,25,21,15,0,0,0
cpu,190,0,389,361831,25,22,16,0,0,0
cpu,190,0,390,364830,25,22,16,0,0,0
cpu,190,0,390,367829,25,22,16,0,0,0
cpu,190,0,391,370828,25,22,16,0,0,0
cpu,191,0,396,373824,25,23,16,0,0,0
cpu,829,0,901,375301,315,45,70,0,0,0
cpu,831,0,1419,376803,1229,62,112,0,0,0
cpu,831,0,1462,378298,2665,71,120,0,0,0
cpu,833,0,1517,379795,4086,80,129,0,0,0
cpu,834,0,1569,381286,5519,87,137,0,0,0
cpu,835,0,1628,382785,6942,96,145,0,0,0
cpu,836,0,1676,384275,8384,102,153,0,0,0
cpu,840,0,1724,385769,9817,110,160,0,0,0
cpu,841,0,1763,387267,11258,116,167,0,0,0
cpu,842,0,1794,388766,12709,122,173,0,0,0
cpu,843,0,1835,390262,14153,128,180,0,0,0
cpu,845,0,1879,391760,15592,135,187,0,0,0
cpu,846,0,1917,393249,17044,141,194,0,0,0
cpu,848,0,1955,394748,18490,147,200,0,0,0
cpu,848,0,1991,396243,19940,153,207,0,0,0
cpu,850,0,2022,397740,21391,159,212,0,0,0
cpu,850,0,2058,399232,22842,165,219,0,0,0
cpu,851,0,2087,400731,24295,170,225,0,0,0
cpu,852,0,2119,402230,25747,175,230,0,0,0
cpu,853,0,2153,403728,27200,181,236,0,0,0
cpu,855,0,2176,405220,28668,186,240,0,0,0
cpu,860,0,2281,406730,30032,191,248,0,0,0
cpu,862,0,2837,408226,30914,205,295,0,0,0
cpu,864,0,2995,409724,32229,212,310,0,0,0
cpu,865,0,3026,411224,33685,216,315,0,0,0
cpu,866,0,3061,412723,35138,220,319,0,0,0
cpu,867,0,3101,414222,36585,224,325,0,0,0
cpu,869,0,3140,415721,38026,229,331,0,0,0
cpu,871,0,3176,417220,39474,234,337,0,0,0
cpu,873,0,3213,418719,40918,239,344,0,0,0
cpu,875,0,3254,420218,42358,245,351,0,0,0
cpu,877,0,3295,421716,43800,250,358,0,0,0
cpu,879,0,3334,423209,45252,256,365,0,0,0
cpu,881,0,3371,424706,46695,262,372,0,0,0
cpu,883,0,3409,426198,48144,267,379,0,0,0
cpu,885,0,3440,427695,49596,272,385,0,0,0
cpu,886,0,3473,429186,51052,277,392,0,0,0
cpu,888,0,3503,430697,52493,282,398,0,0,0
cpu,889,0,3537,432196,53944,287,404,0,0,0
cpu,891,0,3570,433691,55396,292,409,0,0,0
cpu,892,0,3602,435178,56863,297,415,0,0,0
cpu,894,0,3635,436677,58318,301,420,0,0,0
cpu,895,0,3673,438172,59769,306,426,0,0,0
cpu,901,0,4012,439686,60868,316,454,0,0,0
cpu,902,0,4472,441185,61849,330,495,0,0,0
cpu,903,0,4510,442664,63316,335,501,0,0,0
cpu,904,0,4548,444164,64761,340,507,0,0,0
cpu,906,0,4581,445658,66217,344,513,0,0,0
cpu,907,0,4613,447158,67666,350,519,0,0,0
cpu,908,0,4645,448656,69123,354,523,0,0,0
cpu,909,0,4674,450155,70579,358,529,0,0,0
cpu,912,0,4705,451652,72034,363,534,0,0,0
cpu,912,0,4736,453151,73489,367,539,0,0,0
cpu,913,0,4769,454652,74941,372,544,0,0,0
cpu,914,0,4799,456152,76394,376,550,0,0,0
cpu,917,0,4830,457646,77850,381,555,0,0,0
cpu,918,0,4863,459145,79302,386,561,0,0,0
cpu,919,0,4896,460642,80757,391,567,0,0,0
cpu,920,0,4929,462141,82208,396,573,0,0,0
cpu,921,0,4961,463640,83660,400,578,0,0,0
cpu,923,0,4993,465138,85112,405,584,0,0,0
cpu,924,0,5027,466636,86561,410,590,0,0,0
cpu,925,0,5064,468134,88008,416,597,0,0,0
cpu,927,0,5104,469629,89454,421,603,0,0,0
cpu,931,0,5203,471144,90815,427,612,0,0,0
cpu,932,0,5531,472642,91943,437,642,0,0,0
cpu,934,0,5955,474141,92958,451,683,0,0,0
cpu,934,0,5990,475640,94407,456,689,0,0,0
cpu,936,0,6030,477138,95853,462,696,0,0,0
cpu,936,0,6068,478639,97296,467,703,0,0,0
cpu,937,0,6106,480138,98733,473,710,0,0,0
cpu,939,0,6149,481637,100170,480,718,0,0,0
cpu,941,0,6186,483138,101609,486,724,0,0,0
cpu,942,0,6222,484642,103053,491,731,0,0,0
cpu,944,0,6261,486144,104493,497,737,0,0,0
cpu,946,0,6295,487645,105938,502,744,0,0,0
cpu,948,0,6329,489142,107387,507,750,0,0,0
cpu,949,0,6366,490640,108831,513,757,0,0,0
cpu,950,0,6403,492135,110281,519,764,0,0,0
cpu,951,0,6430,493636,111735,524,769,0,0,0
cpu,952,0,6463,495134,113186,529,775,0,0,0
cpu,953,0,6495,496633,114638,533,781,0,0,0
cpu,955,0,6534,498129,116084,539,788,0,0,0
cpu,956,0,6571,499627,117530,545,794,0,0,0
cpu,958,0,6619,501122,118969,551,802,0,0,0
cpu,958,0,6657,502620,120412,556,808,0,0,0
cpu,962,0,6781,504137,121745,563,818,0,0,0
cpu,963,0,7176,505632,122803,574,853,0,0,0
cpu,965,0,7388,507120,124068,582,876,0,0,0
cpu,966,0,7510,508617,125418,589,891,0,0,0
cpu,967,0,7547,510117,126862,595,898,0,0,0
cpu,968,0,7586,511613,128312,601,904,0,0,0
cpu,970,0,7626,513111,129751,607,911,0,0,0
cpu,972,0,7664,514609,131196,613,919,0,0,0
cpu,974,0,7702,516108,132636,619,926,0,0,0
cpu,975,0,7740,517592,134091,625,933,0,0,0
cpu,979,0,7777,519089,135534,630,940,0,0,0
cpu,981,0,7814,520587,136975,636,947,0,0,0
cpu,983,0,7859,522086,138408,643,955,0,0,0
cpu,985,0,7902,523583,139849,649,962,0,0,0
cpu,987,0,7943,525081,141295,655,969,0,0,0
cpu,988,0,7981,526578,142737,661,976,0,0,0
cpu,990,0,8019,528076,144182,667,983,0,0,0
cpu,992,0,8058,529575,145621,673,990,0,0,0
cpu,994,0,8098,531073,147061,680,998,0,0,0
cpu,995,0,8142,532566,148503,686,1005,0,0,0
cpu,996,0,8183,534066,149947,692,1012,0,0,0
cpu,997,0,8220,535558,151395,698,1019,0,0,0
cpu,999,0,8266,537055,152831,705,1027,0,0,0
cpu,1003,0,8597,538561,153950,715,1052,0,0,0
cpu,1005,0,8832,540064,155176,723,1076,0,0,0
cpu,1005,0,9084,541499,156450,732,1103,0,0,0
cpu,1008,0,9124,542995,157891,738,1110,0,0,0
cpu,1010,0,9166,544494,159332,744,1117,0,0,0
cpu,1011,0,9208,545992,160772,750,1125,0,0,0
cpu,1013,0,9245,547487,162214,757,1132,0,0,0
cpu,1014,0,9290,548984,163652,763,1140,0,0,0
cpu,1016,0,9334,550482,165088,770,1148,0,0,0
cpu,1018,0,9378,551980,166520,776,1156,0,0,0
cpu,1019,0,9429,553480,167948,783,1164,0,0,0
cpu,1021,0,9480,554978,169377,790,1173,0,0,0
cpu,1024,0,9521,556472,170813,797,1181,0,0,0
cpu,1026,0,9569,557972,172245,803,1189,0,0,0
cpu,1028,0,9615,559466,173682,809,1197,0,0,0
cpu,1030,0,9658,560963,175114,816,1205,0,0,0
cpu,1031,0,9704,562462,176551,823,1213,0,0,0
cpu,1032,0,9742,563960,177990,829,1220,0,0,0
