total,used,free,shared,buffers,cached
7989,280,7708,0,19,175
7989,282,7706,0,19,175
7989,282,7706,0,19,175
7989,283,7706,0,19,175
7989,283,7706,0,19,175
7989,221,7768,0,1,136
7989,1131,6857,0,9,921
7989,1137,6852,0,9,925
7989,1139,6850,0,9,925
7989,1142,6847,0,10,926
7989,1147,6841,0,10,929
7989,1149,6839,0,10,929
7989,1151,6837,0,10,931
7989,1156,6833,0,11,932
7989,1157,6831,0,11,934
7989,1156,6832,0,11,934
7989,1159,6829,0,11,936
7989,1160,6829,0,11,937
7989,1162,6826,0,11,939
7989,1163,6826,0,11,939
7989,1167,6822,0,11,942
7989,1166,6822,0,11,942
7989,1170,6819,0,11,946
7989,1170,6819,0,11,946
7989,1173,6816,0,11,949
7989,1173,6815,0,11,949
7989,1177,6812,0,11,953
7989,1427,6562,0,11,1222
7989,1598,6391,0,11,1393
7989,1599,6389,0,11,1394
7989,1597,6391,0,11,1396
7989,1598,6391,0,11,1396
7989,1599,6390,0,11,1397
7989,1600,6389,0,11,1397
7989,1602,6387,0,11,1398
7989,1603,6386,0,11,1398
7989,1603,6386,0,11,1398
7989,1604,6384,0,11,1398
7989,1605,6384,0,11,1399
7989,1606,6383,0,11,1399
7989,1606,6383,0,11,1399
7989,1607,6382,0,11,1399
7989,1607,6382,0,11,1399
7989,1607,6382,0,11,1399
7989,1608,6381,0,11,1400
7989,1609,6380,0,11,1401
7989,1610,6378,0,11,1402
7989,1610,6379,0,11,1402
7989,1611,6377,0,11,1403
7989,1945,6044,0,11,1740
7989,1946,6042,0,11,1741
7989,1948,6041,0,11,1743
7989,1949,6040,0,11,1743
7989,1946,6043,0,11,1743
7989,1947,6042,0,11,1743
7989,1947,6041,0,11,1744
7989,1948,6040,0,11,1744
7989,1949,6039,0,11,1744
7989,1950,6039,0,11,1744
7989,1951,6038,0,11,1744
7989,1952,6037,0,11,1744
7989,1950,6038,0,11,1744
7989,1950,6038,0,11,1744
7989,1951,6038,0,11,1744
7989,1952,6037,0,11,1744
7989,1952,6036,0,11,1744
7989,1953,6035,0,11,1744
7989,1954,6035,0,11,1744
7989,1954,6035,0,11,1744
7989,1952,6037,0,11,1745
7989,1791,6198,0,11,1595
7989,2096,5893,0,11,1901
7989,2098,5891,0,11,1902
7989,2098,5891,0,11,1902
7989,2099,5890,0,11,1902
7989,2099,5890,0,11,1902
7989,2100,5888,0,11,1902
7989,2101,5888,0,11,1902
7989,2102,5886,0,11,1902
7989,2103,5886,0,11,1902
7989,2104,5885,0,11,1902
7989,2104,5885,0,11,1902
7989,2105,5884,0,11,1902
7989,2106,5883,0,11,1902
7989,2106,5882,0,11,1902
7989,2106,5882,0,11,1902
7989,2107,5882,0,11,1902
7989,2108,5881,0,11,1902
7989,2108,5881,0,11,1902
7989,2109,5880,0,11,1902
7989,2109,5879,0,11,1902
7989,2110,5879,0,11,1902
7989,1944,6045,0,11,1751
7989,2124,5864,0,11,1932
7989,2123,5865,0,11,1930
7989,2124,5864,0,11,1931
7989,2126,5863,0,11,1931
7989,2126,5863,0,11,1931
7989,2127,5862,0,11,1931
7989,2128,5860,0,11,1932
7989,2130,5858,0,11,1931
7989,2130,5859,0,11,1932
7989,2132,5856,0,11,1931
7989,2133,5856,0,11,1932
7989,2134,5855,0,11,1932
7989,2136,5853,0,11,1931
7989,2136,5853,0,11,1932
7989,2136,5853,0,11,1932
7989,2138,5851,0,11,1932
7989,2138,5850,0,11,1931
7989,2136,5852,0,11,1932
7989,2137,5852,0,11,1931
7989,2137,5851,0,11,1931
7989,2138,5851,0,11,1932
7989,2138,5850,0,11,1932
7989,2125,5864,0,11,1932
7989,2125,5864,0,11,1932
7989,2125,5864,0,11,1932
7989,2125,5863,0,11,1932
7989,2126,5863,0,11,1932
7989,2127,5862,0,11,1932
7989,2128,5861,0,11,1932
7989,2129,5859,0,11,1932
7989,2130,5859,0,11,1932
7989,2131,5858,0,11,1932
7989,2132,5857,0,11,1932
7989,2133,5855,0,11,1932
7989,2134,5855,0,11,1932
7989,2135,5854,0,11,1932
7989,2135,5854,0,11,1932
7989,2136,5853,0,11,1931
7989,2137,5852,0,11,1932
7989,2137,5851,0,11,1932
7989,2138,5851,0,11,1932
7989,2138,5850,0,11,1932
7989,2138,5851,0,11,1931
7989,2139,5850,0,11,1931
7989,2127,5861,0,11,1932
7989,2127,5861,0,11,1932
7989,2128,5860,0,11,1932
7989,2129,5860,0,11,1931
7989,2130,5859,0,11,1932
7989,2131,5857,0,11,1931
7989,2132,5857,0,11,1932
7989,2133,5856,0,11,1931
7989,2134,5855,0,11,1932
7989,2135,5854,0,11,1932
7989,2136,5853,0,11,1932
7989,2137,5852,0,11,1931
7989,2138,5851,0,11,1932
7989,2139,5850,0,11,1932
7989,2139,5849,0,11,1932
7989,2140,5848,0,11,1932
7989,2141,5848,0,11,1931
7989,2141,5847,0,11,1932
7989,2142,5847,0,11,1931
7989,2142,5846,0,11,1931
7989,2142,5847,0,11,1932
7989,2142,5846,0,11,1932
7989,2142,5847,0,11,1932
7989,2129,5860,0,11,1932
7989,2128,5860,0,11,1932
7989,2131,5858,0,11,1932
7989,2132,5857,0,11,1931
7989,2132,5857,0,11,1932
7989,2133,5855,0,11,1931
7989,2135,5854,0,11,1932
7989,2135,5853,0,11,1932
7989,2136,5852,0,11,1931
7989,2138,5851,0,11,1931
7989,2139,5850,0,11,1932
7989,2140,5849,0,11,1932
7989,2140,5848,0,11,1932
7989,2142,5847,0,11,1932
7989,2142,5846,0,11,1932
7989,2143,5846,0,11,1932
7989,2144,5845,0,11,1932
7989,2144,5845,0,11,1932
7989,2144,5845,0,11,1931
7989,2144,5845,0,11,1932
7989,2144,5844,0,11,1932
7989,2144,5844,0,11,1932
7989,2127,5862,0,11,1932
7989,2129,5859,0,11,1932
7989,2129,5859,0,11,1932
7989,2130,5859,0,11,1932
7989,2131,5858,0,11,1932
7989,2132,5856,0,11,1932
7989,2134,5855,0,11,1932
7989,2135,5853,0,11,1932
7989,2137,5852,0,11,1932
7989,2140,5849,0,11,1932
7989,2139,5849,0,11,1932
7989,2140,5848,0,11,1932
7989,2141,5847,0,11,1932
7989,2142,5847,0,11,1932
7989,2143,5846,0,11,1932
7989,2143,5846,0,11,1932
7989,2143,5846,0,11,1932
7989,2143,5845,0,11,1932
7989,2143,5845,0,11,1931
7989,2143,5845,0,11,1932
7989,2144,5845,0,11,1932
7989,2144,5845,0,11,1932
7989,1984,6005,0,11,1788
7989,2127,5861,0,11,1932
7989,2128,5861,0,11,1932
7989,2128,5861,0,11,1931
7989,2132,5857,0,11,1932
7989,2133,5856,0,11,1932
7989,2135,5854,0,11,1931
7989,2136,5853,0,11,1932
7989,2138,5851,0,11,1931
7989,2138,5850,0,11,1931
7989,2140,5848,0,11,1932
7989,2141,5848,0,11,1932
7989,2142,5846,0,11,1932
7989,2143,5846,0,11,1932
7989,2143,5845,0,11,1931
7989,2144,5845,0,11,1932
7989,2144,5845,0,11,1932
7989,2144,5845,0,11,1931
7989,2144,5844,0,11,1932
7989,2145,5844,0,11,1932
7989,2145,5844,0,11,1932
7989,2144,5844,0,11,1932
7989,1981,6007,0,11,1787
7989,2128,5861,0,11,1932
7989,2129,5860,0,11,1932
7989,2130,5859,0,11,1932
7989,2133,5856,0,11,1932
7989,2134,5855,0,11,1931
7989,2136,5853,0,11,1932
7989,2137,5852,0,11,1932
7989,2138,5850,0,11,1932
7989,2139,5850,0,11,1932
7989,2141,5848,0,11,1931
7989,2141,5847,0,11,1932
7989,2142,5847,0,11,1932
7989,2142,5847,0,11,1932
7989,2142,5846,0,11,1932
7989,2142,5846,0,11,1932
7989,2142,5846,0,11,1932
7989,2143,5846,0,11,1931
7989,2143,5846,0,11,1932
7989,2143,5846,0,11,1932
7989,2143,5845,0,11,1932
7989,2143,5845,0,11,1931
7989,2129,5859,0,11,1932
7989,2130,5859,0,11,1932
7989,2131,5857,0,11,1932
7989,2134,5855,0,11,1931
7989,2136,5853,0,11,1932
7989,2137,5851,0,11,1932
7989,2139,5850,0,11,1932
7989,2141,5848,0,11,1932
7989,2142,5847,0,11,1931
7989,2143,5846,0,11,1931
7989,2143,5845,0,11,1932
7989,2143,5845,0,11,1932
7989,2143,5845,0,11,1932
7989,2144,5845,0,11,1932
7989,2144,5844,0,11,1932
7989,2145,5844,0,11,1932
7989,2144,5844,0,11,1932
7989,2145,5844,0,11,1932
7989,2144,5844,0,11,1932
7989,2145,5844,0,11,1932
7989,2145,5843,0,11,1932
7989,2126,5862,0,11,1932
7989,2127,5862,0,11,1932
7989,2129,5860,0,11,1932
7989,2131,5858,0,11,1932
7989,2134,5855,0,11,1932
7989,2135,5854,0,11,1932
7989,2137,5851,0,11,1932
7989,2138,5851,0,11,1932
7989,2141,5847,0,11,1932
7989,2140,5848,0,11,1932
7989,2141,5848,0,11,1932
7989,2141,5848,0,11,1932
7989,2141,5847,0,11,1932
7989,2141,5848,0,11,1932
7989,2141,5847,0,11,1932
7989,2141,5847,0,11,1931
7989,2142,5847,0,11,1932
7989,2142,5847,0,11,1932
7989,2142,5846,0,11,1932
7989,2142,5846,0,11,1932
7989,2143,5846,0,11,1932
7989,2130,5859,0,11,1932
7989,2129,5860,0,11,1932
7989,2130,5858,0,11,1932
7989,2134,5855,0,11,1932
7989,2138,5851,0,11,1932
7989,2138,5851,0,11,1932
7989,2141,5848,0,11,1932
7989,2142,5847,0,11,1932
7989,2144,5845,0,11,1932
7989,2143,5845,0,11,1932
7989,2144,5845,0,11,1932
7989,2144,5845,0,11,1932
7989,2144,5844,0,11,1932
7989,2145,5844,0,11,1932
7989,2145,5844,0,11,1932
7989,2145,5844,0,11,1932
7989,2146,5843,0,11,1932
7989,2146,5843,0,11,1932
7989,2146,5843,0,11,1931
7989,2146,5843,0,11,1932
7989,2147,5842,0,11,1932
7989,1618,6371,0,11,1421
7989,2128,5861,0,11,1932
7989,2131,5858,0,11,1932
7989,2134,5855,0,11,1932
7989,2137,5851,0,11,1932
7989,2139,5849,0,11,1932
7989,2142,5846,0,11,1932
7989,2143,5846,0,11,1932
7989,2144,5845,0,11,1932
7989,2144,5845,0,11,1932
7989,2146,5842,0,11,1932
7989,2146,5843,0,11,1932
7989,2147,5842,0,11,1932
7989,2147,5842,0,11,1932
7989,2149,5840,0,11,1932
7989,2149,5840,0,11,1932
7989,2149,5839,0,11,1932
7989,2149,5839,0,11,1932
7989,2150,5839,0,11,1932
7989,2148,5840,0,11,1932
7989,2149,5840,0,11,1932
7989,2149,5840,0,11,1932
7989,2129,5860,0,11,1932
7989,2131,5857,0,11,1932
7989,2134,5855,0,11,1932
7989,2138,5851,0,11,1932
7989,2140,5849,0,11,1932
7989,2143,5846,0,11,1932
7989,2143,5845,0,11,1932
7989,2144,5844,0,11,1932
7989,2144,5845,0,11,1932
7989,2144,5844,0,11,1931
7989,2145,5844,0,11,1932
7989,2145,5843,0,11,1932
7989,2145,5844,0,11,1932
7989,2147,5841,0,11,1931
7989,2147,5842,0,11,1932
7989,2146,5842,0,11,1932
7989,2146,5842,0,11,1932
7989,2147,5842,0,11,1932
7989,2147,5842,0,11,1932
7989,2148,5841,0,11,1932
7989,2147,5841,0,11,1932
7989,2126,5863,0,11,1932
7989,2129,5859,0,11,1932
7989,2132,5856,0,11,1932
7989,2137,5852,0,11,1932
7989,2138,5850,0,11,1932
7989,2141,5848,0,11,1932
7989,2141,5847,0,11,1932
7989,2142,5846,0,11,1931
7989,2143,5846,0,11,1932
7989,2144,5845,0,11,1932
7989,2143,5845,0,11,1932
7989,2144,5844,0,11,1932
7989,2144,5844,0,11,1932
