x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,157,0,370,51058,39,9,6,0,0,0
cpu,158,0,371,51256,39,9,6,0,0,0
cpu,158,0,371,51455,39,9,6,0,0,0
cpu,158,0,372,51655,39,9,6,0,0,0
cpu,160,0,372,51854,39,9,6,0,0,0
cpu,160,0,373,52054,39,9,6,0,0,0
cpu,160,0,373,52254,39,9,6,0,0,0
cpu,160,0,374,52454,39,9,6,0,0,0
cpu,161,0,374,52654,39,9,6,0,0,0
cpu,161,0,375,52854,39,9,6,0,0,0
cpu,162,0,375,53053,39,9,6,0,0,0
cpu,162,0,376,53253,39,9,6,0,0,0
cpu,162,0,376,53453,39,9,6,0,0,0
cpu,162,0,376,53652,39,9,6,0,0,0
cpu,163,0,377,53852,39,9,6,0,0,0
cpu,163,0,378,54052,39,9,6,0,0,0
cpu,163,0,378,54252,39,9,6,0,0,0
cpu,163,0,379,54451,39,9,6,0,0,0
cpu,163,0,379,54651,39,9,6,0,0,0
cpu,163,0,379,54851,39,9,6,0,0,0
cpu,163,0,380,55051,39,9,6,0,0,0
cpu,163,0,380,55251,39,9,6,0,0,0
cpu,163,0,381,55450,39,9,6,0,0,0
cpu,163,0,382,55650,39,10,6,0,0,0
cpu,164,0,382,55850,39,10,6,0,0,0
cpu,164,0,382,56050,39,10,6,0,0,0
cpu,164,0,383,56250,39,10,7,0,0,0
cpu,164,0,383,56450,39,10,7,0,0,0
cpu,164,0,384,56649,39,10,7,0,0,0
cpu,164,0,384,56849,39,10,7,0,0,0
cpu,165,0,385,57049,39,10,7,0,0,0
cpu,165,0,385,57248,39,10,7,0,0,0
cpu,165,0,386,57448,39,10,7,0,0,0
cpu,165,0,386,57648,39,10,7,0,0,0
cpu,165,0,387,57848,39,10,7,0,0,0
cpu,166,0,387,58048,39,10,7,0,0,0
cpu,166,0,387,58247,39,10,7,0,0,0
cpu,166,0,388,58447,39,10,7,0,0,0
cpu,166,0,388,58647,39,10,7,0,0,0
cpu,167,0,389,58847,39,10,7,0,0,0
