total,used,free,shared,buffers,cached
7989,280,7709,0,18,174
7989,280,7708,0,18,174
7989,280,7708,0,18,174
7989,281,7708,0,18,174
7989,281,7707,0,18,174
7989,281,7707,0,18,174
7989,282,7707,0,18,174
7989,281,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7706,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7706,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7706,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7706,0,18,174
7989,282,7706,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7706,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7706,0,18,174
7989,282,7706,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7706,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7706,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7707,0,18,174
7989,282,7706,0,18,174
7989,247,7742,0,6,148
7989,302,7687,0,9,189
7989,331,7658,0,9,217
7989,364,7625,0,9,249
7989,405,7584,0,9,284
7989,451,7537,0,9,318
7989,486,7503,0,9,324
7989,518,7470,0,9,355
7989,551,7438,0,9,386
7989,576,7413,0,9,411
7989,601,7387,0,9,436
7989,629,7360,0,10,462
7989,654,7334,0,10,488
7989,689,7299,0,10,521
7989,728,7260,0,10,559
7989,763,7226,0,10,587
7989,783,7205,0,10,592
7989,817,7172,0,10,592
7989,844,7145,0,10,593
7989,869,7119,0,10,593
7989,1022,6967,0,10,598
7989,1022,6966,0,10,598
7989,1023,6966,0,10,598
7989,1002,6987,0,10,600
7989,1002,6987,0,10,600
7989,1002,6986,0,10,600
7989,916,7073,0,10,602
7989,1003,6985,0,10,602
7989,1004,6985,0,10,602
7989,873,7115,0,10,600
7989,1005,6984,0,10,604
7989,1008,6981,0,11,605
7989,880,7109,0,11,605
7989,1006,6983,0,11,606
7989,1006,6982,0,11,606
7989,1006,6982,0,11,606
7989,1010,6979,0,11,608
7989,1011,6978,0,11,608
7989,1011,6978,0,11,608
7989,1012,6977,0,11,609
7989,1012,6977,0,11,610
7989,1013,6976,0,11,610
7989,1013,6975,0,11,611
7989,1014,6975,0,11,611
7989,1014,6975,0,11,611
7989,884,7105,0,11,609
7989,1015,6973,0,11,613
7989,1016,6973,0,11,613
7989,882,7106,0,11,610
7989,1015,6974,0,11,615
7989,1015,6973,0,11,615
7989,1016,6973,0,11,615
7989,1019,6970,0,11,616
7989,1020,6969,0,11,616
7989,1019,6969,0,11,616
7989,1021,6968,0,11,618
7989,1021,6967,0,11,618
7989,1022,6967,0,11,618
7989,959,7030,0,11,620
7989,1023,6966,0,11,620
7989,1024,6964,0,11,620
7989,892,7097,0,11,618
7989,1024,6964,0,11,622
7989,1025,6964,0,11,622
7989,894,7095,0,11,619
7989,1024,6965,0,11,623
7989,1025,6964,0,11,624
7989,1025,6964,0,11,624
7989,1027,6961,0,11,625
7989,1028,6961,0,11,625
7989,1029,6959,0,11,625
7989,1029,6960,0,11,627
7989,1029,6959,0,11,627
7989,1029,6959,0,11,627
7989,900,7089,0,11,625
7989,1031,6957,0,11,628
7989,1032,6957,0,11,629
7989,901,7088,0,11,626
7989,1033,6956,0,11,630
7989,1033,6955,0,11,630
7989,1035,6954,0,11,630
7989,1035,6954,0,11,632
7989,1036,6953,0,11,632
7989,1036,6953,0,11,632
7989,1036,6952,0,11,633
7989,1037,6952,0,11,633
7989,1037,6952,0,11,634
7989,1040,6948,0,11,636
7989,1041,6948,0,11,636
7989,1041,6948,0,11,636
7989,908,7081,0,11,634
7989,1040,6949,0,11,637
7989,1041,6948,0,11,638
7989,1041,6948,0,11,638
7989,1042,6947,0,11,639
7989,1042,6947,0,11,639
7989,1042,6946,0,11,639
7989,1046,6943,0,11,641
7989,1046,6942,0,11,641
7989,1046,6942,0,11,641
7989,1045,6943,0,11,643
7989,1046,6943,0,11,643
7989,1046,6943,0,11,643
7989,920,7069,0,11,644
7989,1050,6939,0,11,645
