x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,186,0,413,464963,33,27,21,0,0,0
cpu,188,0,415,467958,33,27,22,0,0,0
cpu,189,0,416,470955,33,28,22,0,0,0
cpu,189,0,417,473954,33,28,22,0,0,0
cpu,189,0,417,476953,33,28,22,0,0,0
cpu,190,0,421,479950,34,28,23,0,0,0
cpu,1211,0,794,481432,46,55,88,0,0,0
cpu,1765,0,1256,483277,156,69,94,0,0,0
cpu,1956,0,1337,485903,244,74,99,0,0,0
cpu,3139,0,1676,487082,498,96,110,0,0,0
cpu,5397,0,2230,487207,498,132,111,0,0,0
cpu,7641,0,2788,487341,498,168,113,0,0,0
cpu,9885,0,3349,487475,498,205,115,0,0,0
cpu,11430,0,3791,488328,615,231,119,0,0,0
cpu,11632,0,3867,490876,773,237,124,0,0,0
cpu,12964,0,4221,491911,1004,261,136,0,0,0
cpu,15219,0,4790,492028,1004,299,137,0,0,0
cpu,17462,0,5369,492149,1005,336,139,0,0,0
cpu,19702,0,5948,492270,1005,373,141,0,0,0
cpu,21099,0,6347,493320,1120,398,143,0,0,0
cpu,21365,0,6438,495772,1291,404,150,0,0,0
cpu,22728,0,6788,496790,1509,430,160,0,0,0
cpu,24989,0,7342,496918,1509,466,162,0,0,0
cpu,27253,0,7896,497043,1509,503,164,0,0,0
cpu,29522,0,8434,497173,1509,539,165,0,0,0
cpu,30846,0,8801,498337,1619,562,168,0,0,0
cpu,31155,0,8908,500745,1777,569,175,0,0,0
cpu,32759,0,9313,501545,1920,595,184,0,0,0
cpu,34999,0,9874,501678,1920,631,186,0,0,0
cpu,37240,0,10444,501809,1920,668,187,0,0,0
cpu,39477,0,11014,501939,1920,704,189,0,0,0
cpu,40542,0,11343,503405,2025,723,192,0,0,0
cpu,40915,0,11449,505717,2211,731,200,0,0,0
cpu,42606,0,11885,506390,2356,760,208,0,0,0
cpu,44855,0,12463,506507,2356,796,209,0,0,0
cpu,47090,0,13042,506631,2356,832,211,0,0,0
cpu,49337,0,13613,506753,2357,869,213,0,0,0
cpu,50199,0,13888,508486,2456,885,215,0,0,0
cpu,50625,0,14010,510691,2672,897,226,0,0,0
cpu,52422,0,14478,511277,2776,927,233,0,0,0
cpu,54687,0,15033,511402,2776,962,234,0,0,0
cpu,56957,0,15574,511527,2776,996,236,0,0,0
cpu,59215,0,16130,511656,2777,1032,237,0,0,0
cpu,59912,0,16365,513544,2929,1045,240,0,0,0
cpu,60428,0,16511,515618,3159,1058,252,0,0,0
cpu,62453,0,17045,515956,3209,1091,257,0,0,0
cpu,64702,0,17617,516073,3209,1128,258,0,0,0
cpu,66939,0,18192,516197,3209,1164,260,0,0,0
cpu,69189,0,18766,516316,3210,1199,261,0,0,0
cpu,69563,0,18909,518664,3327,1207,264,0,0,0
cpu,70113,0,19067,520611,3629,1223,278,0,0,0
cpu,72192,0,19601,520901,3672,1256,281,0,0,0
cpu,74455,0,20154,521022,3672,1292,283,0,0,0
cpu,76698,0,20735,521145,3673,1328,284,0,0,0
cpu,78956,0,21291,521269,3673,1364,286,0,0,0
cpu,79246,0,21415,523720,3789,1371,288,0,0,0
cpu,79790,0,21578,525635,4134,1384,301,0,0,0
cpu,81870,0,22092,525945,4177,1417,305,0,0,0
cpu,84132,0,22637,526074,4177,1452,307,0,0,0
cpu,86392,0,23184,526204,4177,1486,308,0,0,0
cpu,88655,0,23738,526331,4177,1521,310,0,0,0
cpu,88967,0,23872,528740,4314,1528,312,0,0,0
cpu,89550,0,24044,530635,4625,1543,327,0,0,0
cpu,91720,0,24587,530848,4645,1577,330,0,0,0
cpu,93978,0,25145,530971,4645,1613,331,0,0,0
cpu,96232,0,25705,531096,4645,1648,333,0,0,0
cpu,98491,0,26261,531219,4645,1684,334,0,0,0
cpu,98666,0,26357,533796,4785,1689,337,0,0,0
cpu,99460,0,26575,535460,5062,1708,352,0,0,0
cpu,101731,0,27140,535566,5062,1742,354,0,0,0
cpu,103987,0,27711,535686,5062,1778,355,0,0,0
cpu,106247,0,28268,535809,5063,1813,357,0,0,0
cpu,108353,0,28793,536050,5137,1846,359,0,0,0
cpu,108401,0,28850,538851,5226,1849,361,0,0,0
cpu,109451,0,29125,540194,5512,1869,376,0,0,0
cpu,111709,0,29690,540308,5513,1904,377,0,0,0
cpu,113968,0,30255,540428,5513,1940,379,0,0,0
cpu,116236,0,30803,540549,5513,1976,380,0,0,0
cpu,118093,0,31290,541056,5606,2006,383,0,0,0
cpu,118212,0,31340,543796,5689,2009,386,0,0,0
cpu,119424,0,31650,544984,5934,2029,398,0,0,0
cpu,121696,0,32201,545101,5934,2064,400,0,0,0
cpu,123974,0,32753,545217,5934,2098,401,0,0,0
cpu,126251,0,33299,545335,5934,2132,403,0,0,0
cpu,127874,0,33733,546119,6043,2158,405,0,0,0
cpu,128069,0,33810,548727,6149,2164,410,0,0,0
cpu,129525,0,34194,549656,6323,2193,423,0,0,0
cpu,131785,0,34762,549773,6323,2228,425,0,0,0
cpu,134048,0,35325,549888,6323,2264,426,0,0,0
cpu,136302,0,35891,550006,6323,2299,428,0,0,0
cpu,137549,0,36255,551255,6425,2321,430,0,0,0
cpu,137865,0,36359,553654,6580,2331,439,0,0,0
cpu,139427,0,36773,554465,6743,2358,448,0,0,0
cpu,141663,0,37356,554584,6743,2394,450,0,0,0
cpu,143902,0,37943,554701,6743,2429,451,0,0,0
cpu,146137,0,38532,554820,6743,2464,453,0,0,0
cpu,147185,0,38857,556318,6834,2483,455,0,0,0
cpu,147578,0,38968,558608,7012,2493,465,0,0,0
cpu,149210,0,39399,559331,7174,2521,473,0,0,0
cpu,151464,0,39959,559457,7174,2556,474,0,0,0
cpu,153713,0,40526,559581,7174,2592,476,0,0,0
cpu,155978,0,41081,559706,7174,2627,477,0,0,0
cpu,156880,0,41360,561412,7257,2643,480,0,0,0
cpu,157328,0,41490,563615,7450,2652,490,0,0,0
cpu,159232,0,41977,564087,7535,2682,495,0,0,0
cpu,161495,0,42533,564212,7535,2717,497,0,0,0
cpu,163763,0,43097,564325,7535,2753,498,0,0,0
cpu,166009,0,43672,564447,7535,2790,500,0,0,0
cpu,166594,0,43877,566552,7618,2801,503,0,0,0
cpu,167142,0,44032,568564,7869,2816,517,0,0,0
cpu,169259,0,44550,568837,7909,2849,520,0,0,0
cpu,171526,0,45099,568963,7909,2884,522,0,0,0
cpu,173790,0,45655,569084,7909,2919,523,0,0,0
cpu,176056,0,46205,569208,7909,2954,525,0,0,0
cpu,176336,0,46323,571699,8004,2961,527,0,0,0
cpu,177059,0,46531,573457,8272,2978,543,0,0,0
cpu,179326,0,47107,573557,8273,3013,545,0,0,0
cpu,181589,0,47674,573674,8273,3047,546,0,0,0
cpu,183852,0,48232,573796,8273,3082,548,0,0,0
cpu,186028,0,48784,573977,8301,3116,549,0,0,0
cpu,186048,0,48839,576807,8393,3119,551,0,0,0
cpu,187004,0,49100,578236,8697,3139,567,0,0,0
cpu,189258,0,49670,578346,8698,3175,569,0,0,0
cpu,191507,0,50239,578466,8698,3210,570,0,0,0
cpu,193761,0,50805,578588,8698,3246,572,0,0,0
cpu,195715,0,51328,578993,8756,3278,575,0,0,0
cpu,195804,0,51374,581787,8820,3282,578,0,0,0
cpu,197056,0,51711,582928,9044,3304,591,0,0,0
cpu,199295,0,52278,583058,9044,3341,593,0,0,0
cpu,201528,0,52856,583184,9045,3378,595,0,0,0
cpu,203777,0,53429,583307,9045,3415,597,0,0,0
cpu,205358,0,53874,584127,9149,3442,599,0,0,0
cpu,205559,0,53951,586685,9301,3447,604,0,0,0
cpu,206885,0,54302,587730,9526,3473,616,0,0,0
cpu,209138,0,54864,587858,9526,3509,618,0,0,0
cpu,211387,0,55434,587980,9526,3544,620,0,0,0
