total,used,free,shared,buffers,cached
7989,279,7709,0,18,174
7989,282,7707,0,19,175
7989,282,7706,0,19,175
7989,282,7706,0,19,175
7989,283,7706,0,19,175
7989,262,7726,0,0,175
7989,818,7171,0,10,592
7989,1214,6775,0,10,679
7989,1385,6603,0,10,777
7989,1676,6313,0,10,997
7989,1681,6308,0,11,1000
7989,1684,6305,0,11,1001
7989,1686,6302,0,11,1002
7989,1247,6742,0,11,766
7989,1429,6559,0,11,872
7989,1720,6269,0,11,1092
7989,1721,6268,0,11,1093
7989,1722,6267,0,11,1094
7989,1724,6264,0,11,1096
7989,1343,6646,0,11,859
7989,1567,6421,0,11,986
7989,1813,6175,0,11,1181
7989,1815,6174,0,11,1182
7989,1815,6174,0,11,1182
7989,1818,6171,0,11,1183
7989,1432,6556,0,11,947
7989,1693,6296,0,11,1097
7989,1906,6083,0,11,1274
7989,1908,6081,0,11,1275
7989,1908,6081,0,11,1276
7989,1910,6079,0,11,1277
7989,1530,6459,0,11,1048
7989,1849,6140,0,11,1234
7989,1996,5993,0,11,1368
7989,1998,5991,0,11,1368
7989,1999,5990,0,11,1369
7989,1999,5989,0,11,1370
7989,1621,6367,0,11,1141
7989,1961,6028,0,11,1351
7989,2085,5903,0,11,1459
7989,2089,5899,0,11,1460
7989,2090,5899,0,11,1460
7989,2090,5898,0,11,1461
7989,1713,6276,0,11,1232
7989,2101,5887,0,11,1494
7989,2172,5817,0,11,1551
7989,2173,5816,0,11,1552
7989,2174,5815,0,11,1553
7989,2174,5814,0,11,1554
7989,1799,6190,0,11,1324
7989,2206,5782,0,11,1599
7989,2267,5722,0,11,1645
7989,2268,5721,0,11,1645
7989,2266,5723,0,11,1646
7989,2266,5722,0,11,1647
7989,1888,6101,0,11,1418
7989,2295,5694,0,11,1692
7989,2353,5636,0,11,1737
7989,2357,5631,0,11,1737
7989,2360,5629,0,11,1738
7989,2360,5628,0,11,1739
7989,1979,6010,0,11,1510
7989,2396,5592,0,11,1795
7989,2446,5542,0,11,1828
7989,2447,5542,0,11,1828
7989,2447,5541,0,11,1829
7989,2449,5540,0,11,1830
7989,2064,5924,0,11,1601
7989,2524,5465,0,11,1911
7989,2526,5463,0,11,1911
7989,2526,5463,0,11,1911
7989,2528,5461,0,11,1911
7989,2059,5929,0,11,1627
7989,2171,5818,0,11,1688
7989,2525,5463,0,11,1911
7989,2526,5462,0,11,1911
7989,2526,5463,0,11,1911
7989,2527,5462,0,11,1911
7989,2135,5853,0,11,1669
7989,2220,5769,0,11,1712
7989,2522,5467,0,11,1911
7989,2525,5464,0,11,1911
7989,2525,5464,0,11,1911
7989,2524,5464,0,11,1911
7989,2137,5852,0,11,1669
7989,2284,5705,0,11,1744
7989,2525,5463,0,11,1911
7989,2527,5462,0,11,1911
7989,2527,5462,0,11,1911
7989,2528,5461,0,11,1911
7989,2146,5843,0,11,1676
7989,2379,5610,0,11,1791
7989,2527,5462,0,11,1911
7989,2527,5461,0,11,1911
7989,2530,5459,0,11,1911
7989,2530,5459,0,11,1911
7989,2142,5847,0,11,1676
7989,2416,5573,0,11,1815
7989,2526,5463,0,11,1911
7989,2526,5462,0,11,1911
7989,2526,5463,0,11,1911
7989,2527,5462,0,11,1911
7989,2142,5847,0,11,1676
7989,2438,5550,0,11,1839
7989,2523,5465,0,11,1911
7989,2524,5464,0,11,1911
7989,2524,5464,0,11,1911
7989,2526,5463,0,11,1911
7989,2141,5848,0,11,1676
7989,2481,5508,0,11,1879
7989,2528,5461,0,11,1911
7989,2527,5461,0,11,1911
7989,2527,5461,0,11,1911
7989,2529,5459,0,11,1911
7989,2146,5843,0,11,1676
7989,2520,5469,0,11,1911
7989,2526,5463,0,11,1911
7989,2526,5462,0,11,1911
7989,2528,5461,0,11,1911
7989,2047,5942,0,11,1615
7989,2143,5846,0,11,1676
7989,2526,5463,0,11,1911
7989,2528,5461,0,11,1911
7989,2528,5461,0,11,1911
