x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,189,0,361,4058,13,6,3,0,0,0
cpu,192,0,362,7053,13,7,3,0,0,0
cpu,192,0,363,10050,13,7,4,0,0,0
cpu,193,0,364,13047,13,7,4,0,0,0
cpu,193,0,365,16046,13,7,4,0,0,0
cpu,195,0,369,19042,13,7,4,0,0,0
cpu,1249,0,737,20500,25,35,66,0,0,0
cpu,1890,0,1230,22256,94,51,79,0,0,0
cpu,2452,0,1292,24595,122,57,82,0,0,0
cpu,5217,0,1480,24608,126,79,91,0,0,0
cpu,7972,0,1682,24616,129,103,101,0,0,0
cpu,10719,0,1896,24622,129,126,112,0,0,0
cpu,13472,0,2101,24628,133,150,123,0,0,0
cpu,16173,0,2328,24654,144,174,137,0,0,0
cpu,18764,0,2578,24730,187,199,151,0,0,0
cpu,21188,0,2877,24846,297,225,169,0,0,0
cpu,23546,0,3181,24984,448,250,186,0,0,0
cpu,25030,0,3436,26028,625,268,201,0,0,0
cpu,25927,0,3520,27988,671,276,204,0,0,0
cpu,28685,0,3713,28002,675,299,214,0,0,0
cpu,31443,0,3914,28010,676,322,225,0,0,0
cpu,34200,0,4121,28014,677,345,236,0,0,0
cpu,36944,0,4333,28021,679,369,248,0,0,0
cpu,39629,0,4569,28045,697,394,262,0,0,0
cpu,42194,0,4817,28131,755,419,277,0,0,0
cpu,44635,0,5098,28256,858,444,293,0,0,0
cpu,47009,0,5391,28382,1012,470,311,0,0,0
cpu,48105,0,5605,29828,1223,484,321,0,0,0
cpu,49388,0,5695,31391,1273,495,326,0,0,0
cpu,52155,0,5889,31396,1275,518,336,0,0,0
cpu,54923,0,6086,31399,1276,541,346,0,0,0
cpu,57693,0,6283,31399,1276,565,357,0,0,0
cpu,60438,0,6504,31399,1276,589,369,0,0,0
cpu,63090,0,6739,31445,1304,614,384,0,0,0
cpu,65627,0,7001,31538,1368,639,399,0,0,0
cpu,68057,0,7277,31672,1477,664,415,0,0,0
cpu,70401,0,7574,31829,1629,689,434,0,0,0
cpu,71267,0,7753,33557,1829,701,442,0,0,0
cpu,72873,0,7869,34795,1852,715,448,0,0,0
