total,used,free,shared,buffers,cached
7989,280,7709,0,19,174
7989,282,7707,0,19,175
7989,282,7706,0,19,175
7989,283,7706,0,19,175
7989,282,7706,0,19,175
7989,264,7724,0,1,175
7989,848,7141,0,9,609
7989,1284,6705,0,10,719
7989,1348,6641,0,10,751
7989,1458,6530,0,10,826
7989,1559,6430,0,11,896
7989,1662,6327,0,11,972
7989,1756,6232,0,11,1043
7989,1850,6138,0,11,1128
7989,1959,6030,0,11,1234
7989,2098,5891,0,11,1371
7989,2246,5743,0,11,1519
7989,1931,6058,0,11,1423
7989,2003,5986,0,11,1459
7989,2110,5879,0,11,1531
7989,2222,5767,0,11,1610
7989,2308,5681,0,11,1674
7989,2414,5575,0,11,1754
7989,2511,5478,0,11,1845
7989,2532,5457,0,11,1864
7989,2547,5441,0,11,1880
7989,2556,5432,0,11,1888
7989,2220,5769,0,11,1710
7989,2291,5698,0,11,1737
7989,2355,5633,0,11,1769
7989,2407,5582,0,11,1793
7989,2453,5535,0,11,1817
7989,2494,5494,0,11,1833
7989,2521,5468,0,11,1857
7989,2540,5449,0,11,1873
7989,2547,5441,0,11,1881
7989,2557,5432,0,11,1889
7989,2214,5775,0,11,1711
7989,2297,5691,0,11,1745
7989,2352,5637,0,11,1769
7989,2406,5582,0,11,1793
7989,2455,5534,0,11,1817
7989,2499,5490,0,11,1841
7989,2519,5470,0,11,1857
7989,2536,5452,0,11,1873
7989,2537,5452,0,11,1881
7989,2545,5444,0,11,1889
7989,2206,5782,0,11,1711
7989,2296,5692,0,11,1745
7989,2359,5629,0,11,1777
7989,2412,5577,0,11,1801
7989,2459,5530,0,11,1825
7989,2497,5492,0,11,1849
7989,2508,5481,0,11,1865
7989,2516,5472,0,11,1873
7989,2524,5464,0,11,1881
7989,2168,5821,0,11,1686
7989,2235,5754,0,11,1721
7989,2306,5682,0,11,1753
7989,2369,5620,0,11,1785
7989,2417,5571,0,11,1809
7989,2457,5532,0,11,1825
7989,2491,5497,0,11,1849
7989,2509,5480,0,11,1865
7989,2517,5472,0,11,1873
7989,2534,5455,0,11,1889
7989,2195,5794,0,11,1704
7989,2256,5733,0,11,1729
7989,2322,5667,0,11,1761
7989,2373,5616,0,11,1785
7989,2421,5567,0,11,1809
7989,2468,5520,0,11,1833
7989,2493,5496,0,11,1849
7989,2511,5478,0,11,1865
7989,2518,5471,0,11,1873
7989,2536,5453,0,11,1889
7989,2191,5798,0,11,1704
7989,2251,5737,0,11,1729
7989,2319,5669,0,11,1761
7989,2372,5617,0,11,1785
7989,2422,5567,0,11,1809
7989,2468,5521,0,11,1833
7989,2496,5493,0,11,1852
7989,2509,5479,0,11,1865
7989,2525,5464,0,11,1881
7989,2534,5454,0,11,1889
7989,2163,5825,0,11,1711
7989,2267,5722,0,11,1737
7989,2325,5664,0,11,1761
7989,2385,5603,0,11,1793
7989,2434,5554,0,11,1817
7989,2475,5514,0,11,1833
7989,2502,5487,0,11,1857
7989,2519,5469,0,11,1873
7989,2527,5462,0,11,1881
7989,2537,5451,0,11,1889
7989,2199,5790,0,11,1711
7989,2282,5707,0,11,1745
7989,2338,5651,0,11,1769
7989,2392,5597,0,11,1793
7989,2439,5549,0,11,1817
7989,2484,5505,0,11,1841
7989,2501,5488,0,11,1857
7989,2519,5470,0,11,1873
7989,2526,5463,0,11,1881
7989,2534,5454,0,11,1889
7989,2200,5788,0,11,1711
7989,2301,5688,0,11,1753
7989,2358,5631,0,11,1777
7989,2408,5581,0,11,1801
7989,2455,5534,0,11,1825
7989,2493,5496,0,11,1849
7989,2511,5477,0,11,1865
7989,2520,5469,0,11,1873
7989,2536,5453,0,11,1889
7989,2195,5793,0,11,1704
7989,2250,5739,0,11,1729
7989,2319,5670,0,11,1761
7989,2375,5614,0,11,1785
7989,2425,5564,0,11,1809
7989,2469,5519,0,11,1833
7989,2495,5494,0,11,1849
7989,2515,5474,0,11,1865
7989,2522,5467,0,11,1873
7989,2539,5450,0,11,1889
7989,2193,5795,0,11,1704
7989,2258,5731,0,11,1729
7989,2324,5665,0,11,1761
7989,2384,5604,0,11,1793
7989,2426,5562,0,11,1809
7989,2470,5518,0,11,1833
7989,2504,5485,0,11,1857
7989,2512,5477,0,11,1865
7989,2527,5461,0,11,1881
7989,2537,5452,0,11,1889
7989,2164,5825,0,11,1711
7989,2270,5719,0,11,1737
7989,2335,5654,0,11,1769
7989,2388,5600,0,11,1793
7989,2434,5555,0,11,1817
7989,2474,5514,0,11,1833
7989,2502,5487,0,11,1857
7989,2519,5469,0,12,1873
7989,2528,5461,0,12,1881
7989,2535,5453,0,12,1889
7989,2198,5791,0,12,1711
7989,2270,5719,0,12,1737
7989,2333,5656,0,12,1769
7989,2383,5605,0,12,1793
7989,2423,5565,0,12,1809
7989,2471,5518,0,12,1833
7989,2499,5489,0,12,1857
7989,2509,5480,0,12,1865
7989,2525,5464,0,12,1881
7989,2533,5455,0,12,1889
7989,2163,5825,0,12,1711
7989,2271,5718,0,12,1737
7989,2333,5656,0,12,1769
7989,2385,5604,0,12,1793
7989,2433,5556,0,12,1817
7989,2472,5517,0,12,1833
7989,2499,5489,0,12,1857
7989,2509,5480,0,12,1865
7989,2525,5464,0,12,1881
7989,2533,5455,0,12,1889
7989,2197,5792,0,12,1711
7989,2284,5705,0,12,1745
7989,2342,5647,0,12,1769
7989,2403,5586,0,12,1801
7989,2440,5549,0,12,1817
7989,2485,5504,0,12,1841
7989,2502,5486,0,12,1857
7989,2520,5469,0,12,1873
7989,2527,5461,0,12,1881
7989,2128,5861,0,12,1676
7989,2237,5752,0,12,1721
7989,2307,5682,0,12,1753
7989,2368,5620,0,12,1785
7989,2421,5568,0,12,1809
7989,2459,5530,0,12,1825
7989,2493,5495,0,12,1849
7989,2511,5478,0,12,1865
7989,2520,5469,0,12,1873
7989,2536,5453,0,12,1889
7989,2193,5796,0,12,1704
7989,2255,5733,0,12,1729
7989,2319,5669,0,12,1761
7989,2382,5607,0,12,1793
7989,2430,5559,0,12,1817
7989,2471,5518,0,12,1833
7989,2498,5491,0,12,1857
7989,2515,5474,0,12,1873
7989,2523,5466,0,12,1881
7989,2532,5457,0,12,1889
7989,2200,5789,0,12,1711
7989,2275,5714,0,12,1737
7989,2336,5653,0,12,1769
7989,2391,5597,0,12,1793
7989,2438,5551,0,12,1817
7989,2485,5503,0,12,1841
7989,2502,5486,0,12,1857
7989,2519,5469,0,12,1873
7989,2527,5462,0,12,1881
7989,2536,5452,0,12,1889
7989,2198,5790,0,12,1711
7989,2289,5700,0,12,1745
7989,2341,5648,0,12,1769
7989,2401,5587,0,12,1801
7989,2439,5549,0,12,1817
7989,2485,5504,0,12,1841
7989,2502,5487,0,12,1857
7989,2520,5469,0,12,1873
7989,2527,5461,0,12,1881
7989,2535,5453,0,12,1889
7989,2200,5789,0,12,1711
7989,2287,5702,0,12,1745
7989,2339,5650,0,12,1769
7989,2391,5598,0,12,1793
7989,2437,5552,0,12,1817
7989,2477,5512,0,12,1833
7989,2503,5486,0,12,1857
7989,2520,5468,0,12,1873
7989,2528,5461,0,12,1881
7989,2537,5452,0,12,1889
7989,2199,5790,0,12,1711
7989,2273,5716,0,12,1737
7989,2337,5652,0,12,1769
7989,2390,5599,0,12,1793
7989,2436,5553,0,12,1817
7989,2476,5513,0,12,1833
7989,2504,5484,0,12,1857
7989,2521,5467,0,12,1873
7989,2530,5459,0,12,1881
7989,2538,5451,0,12,1889
7989,2201,5788,0,12,1711
7989,2273,5716,0,12,1737
7989,2336,5653,0,12,1769
7989,2389,5599,0,12,1793
7989,2437,5552,0,12,1817
7989,2486,5503,0,12,1841
7989,2503,5485,0,12,1857
7989,2512,5476,0,12,1865
7989,2528,5460,0,12,1881
7989,2538,5451,0,12,1889
7989,2193,5795,0,12,1704
7989,2249,5740,0,12,1729
7989,2317,5672,0,12,1761
7989,2369,5620,0,12,1785
7989,2417,5572,0,12,1809
7989,2454,5534,0,12,1825
7989,2490,5498,0,12,1849
7989,2508,5480,0,12,1865
7989,2515,5473,0,12,1873
7989,2533,5455,0,12,1889
7989,2097,5892,0,12,1650
7989,2097,5892,0,12,1650
7989,2097,5892,0,12,1650
7989,2097,5892,0,12,1650
