x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,208,0,425,340002,38,23,17,0,0,0
cpu,208,0,426,340201,38,23,17,0,0,0
cpu,208,0,426,340401,38,23,17,0,0,0
cpu,208,0,427,340601,38,23,17,0,0,0
cpu,208,0,427,340801,38,23,17,0,0,0
cpu,209,0,428,341000,38,23,17,0,0,0
cpu,209,0,428,341201,38,23,17,0,0,0
cpu,210,0,428,341401,38,23,17,0,0,0
cpu,210,0,429,341601,38,23,17,0,0,0
cpu,210,0,429,341801,38,23,17,0,0,0
cpu,210,0,429,342001,38,23,17,0,0,0
cpu,210,0,429,342202,38,23,17,0,0,0
cpu,210,0,430,342402,38,23,17,0,0,0
cpu,211,0,430,342602,38,23,17,0,0,0
cpu,211,0,430,342802,38,23,17,0,0,0
cpu,211,0,431,343002,38,23,17,0,0,0
cpu,211,0,431,343202,38,23,17,0,0,0
cpu,211,0,431,343403,38,23,17,0,0,0
cpu,211,0,431,343603,38,23,17,0,0,0
cpu,211,0,432,343803,38,23,17,0,0,0
cpu,211,0,432,344003,38,23,17,0,0,0
cpu,211,0,433,344203,38,23,17,0,0,0
cpu,211,0,433,344403,38,23,17,0,0,0
cpu,211,0,433,344603,38,23,17,0,0,0
cpu,212,0,434,344804,38,24,17,0,0,0
cpu,212,0,434,345004,38,24,17,0,0,0
cpu,212,0,434,345204,38,24,18,0,0,0
cpu,212,0,435,345404,38,24,18,0,0,0
cpu,212,0,435,345604,38,24,18,0,0,0
cpu,212,0,435,345805,38,24,18,0,0,0
cpu,212,0,436,346004,38,24,18,0,0,0
cpu,212,0,437,346205,38,24,18,0,0,0
cpu,212,0,437,346405,38,24,18,0,0,0
cpu,212,0,437,346605,38,24,18,0,0,0
cpu,212,0,438,346805,38,24,18,0,0,0
cpu,212,0,438,347005,38,24,18,0,0,0
cpu,212,0,438,347205,38,24,18,0,0,0
cpu,212,0,439,347405,38,24,18,0,0,0
cpu,212,0,439,347606,38,24,18,0,0,0
