total,used,free,shared,buffers,cached
80561,842,79719,0,19,174
80561,842,79718,0,19,174
80561,843,79718,0,19,174
80561,843,79718,0,19,174
80561,843,79718,0,19,174
80561,843,79717,0,19,174
80561,843,79718,0,19,174
80561,844,79716,0,19,174
80561,844,79716,0,19,174
80561,844,79716,0,19,174
80561,844,79716,0,19,174
80561,844,79716,0,19,174
80561,845,79716,0,19,174
80561,845,79716,0,19,174
80561,845,79716,0,19,174
80561,846,79715,0,19,174
80561,846,79715,0,19,174
80561,847,79714,0,19,174
80561,846,79714,0,19,174
80561,846,79714,0,19,174
80561,846,79715,0,19,174
80561,846,79715,0,19,174
80561,847,79714,0,19,174
80561,846,79714,0,19,174
80561,846,79714,0,19,174
80561,845,79716,0,19,174
80561,846,79715,0,19,174
80561,846,79715,0,19,174
80561,846,79714,0,19,174
80561,846,79715,0,19,174
80561,847,79714,0,19,174
80561,846,79714,0,19,174
80561,847,79714,0,19,174
80561,846,79714,0,19,174
80561,846,79714,0,19,174
80561,847,79714,0,19,174
80561,846,79714,0,19,174
80561,847,79713,0,19,174
80561,847,79713,0,19,174
80561,847,79714,0,19,174
80561,848,79713,0,19,174
80561,848,79713,0,19,174
80561,848,79712,0,19,174
80561,849,79712,0,19,174
80561,848,79713,0,19,174
80561,848,79713,0,19,174
80561,848,79713,0,19,174
80561,848,79712,0,19,174
80561,848,79712,0,19,174
80561,848,79713,0,19,174
80561,848,79712,0,19,174
80561,849,79712,0,19,174
80561,848,79712,0,19,174
80561,848,79713,0,19,174
80561,848,79712,0,19,174
80561,848,79713,0,19,174
80561,849,79712,0,19,174
80561,849,79712,0,19,174
80561,850,79711,0,19,174
80561,850,79711,0,19,174
80561,850,79711,0,19,174
80561,849,79711,0,19,174
80561,850,79711,0,19,174
80561,849,79711,0,19,174
80561,849,79711,0,19,174
80561,849,79712,0,19,174
80561,849,79712,0,19,174
80561,849,79712,0,19,174
80561,849,79712,0,19,174
80561,849,79712,0,19,174
80561,848,79713,0,19,174
80561,848,79713,0,19,174
80561,848,79712,0,19,174
80561,848,79713,0,19,174
80561,848,79712,0,19,174
80561,812,79749,0,5,148
80561,854,79706,0,9,178
80561,889,79672,0,9,208
80561,923,79638,0,9,241
80561,962,79598,0,9,277
80561,1011,79550,0,9,313
80561,1027,79534,0,9,319
80561,1063,79497,0,9,334
80561,1100,79460,0,9,369
80561,1140,79421,0,9,408
80561,1164,79396,0,9,415
80561,1181,79380,0,9,415
80561,1200,79360,0,9,416
80561,1230,79331,0,9,417
80561,1271,79290,0,10,441
80561,1271,79290,0,10,442
80561,1272,79289,0,10,442
80561,1271,79289,0,10,442
80561,1271,79289,0,10,442
80561,1272,79289,0,10,442
80561,1272,79289,0,10,442
80561,1272,79289,0,10,442
80561,1271,79290,0,10,442
80561,1271,79289,0,10,442
80561,1271,79290,0,10,442
80561,1270,79291,0,10,442
80561,1271,79290,0,10,442
80561,1270,79291,0,10,442
80561,1270,79290,0,10,442
80561,1270,79290,0,10,442
80561,1269,79291,0,10,442
80561,1269,79292,0,10,442
80561,1269,79291,0,10,442
80561,1269,79291,0,10,442
80561,1269,79292,0,10,442
80561,1272,79289,0,10,442
80561,1271,79289,0,10,442
80561,1272,79289,0,10,442
80561,1271,79290,0,10,442
80561,1270,79290,0,10,442
80561,1270,79290,0,10,442
80561,1270,79290,0,10,442
80561,1270,79291,0,10,442
80561,1270,79291,0,10,442
80561,1270,79291,0,10,442
80561,1269,79292,0,10,442
80561,1269,79291,0,10,442
80561,1269,79291,0,10,443
80561,1269,79292,0,10,443
80561,1269,79291,0,10,443
80561,1269,79292,0,10,443
80561,1269,79292,0,10,443
80561,1272,79288,0,11,443
80561,1271,79290,0,11,444
80561,1270,79290,0,11,444
80561,1270,79291,0,11,444
80561,1270,79290,0,11,444
80561,1270,79290,0,11,444
80561,1270,79290,0,11,444
80561,1271,79290,0,11,444
80561,1270,79290,0,11,444
80561,1270,79290,0,11,444
80561,1270,79291,0,11,444
80561,1270,79290,0,11,444
80561,1270,79290,0,11,444
