total,used,free,shared,buffers,cached
80561,829,79731,0,19,175
80561,829,79731,0,19,175
80561,830,79730,0,19,175
80561,830,79730,0,19,175
80561,831,79730,0,19,175
80561,832,79729,0,19,175
80561,833,79728,0,19,175
80561,833,79728,0,19,175
80561,833,79728,0,19,175
80561,833,79727,0,19,175
80561,834,79727,0,19,175
80561,834,79726,0,19,175
80561,835,79726,0,19,175
80561,835,79726,0,19,175
80561,835,79726,0,19,175
80561,835,79725,0,19,175
80561,835,79725,0,19,175
80561,835,79726,0,19,175
80561,836,79725,0,19,175
80561,836,79725,0,19,175
80561,836,79725,0,19,175
80561,836,79724,0,19,175
80561,837,79724,0,19,175
80561,836,79724,0,19,175
80561,836,79725,0,19,175
80561,836,79724,0,19,175
80561,836,79724,0,19,175
80561,836,79724,0,19,175
80561,836,79724,0,19,175
80561,836,79724,0,19,175
80561,837,79724,0,19,175
80561,837,79724,0,19,175
80561,837,79723,0,19,175
80561,837,79724,0,19,175
80561,837,79724,0,19,175
80561,837,79723,0,19,175
80561,837,79723,0,19,175
80561,838,79723,0,19,175
80561,837,79723,0,19,175
80561,838,79723,0,19,175
80561,838,79722,0,19,175
80561,839,79722,0,19,175
80561,839,79722,0,19,175
80561,839,79722,0,19,175
80561,839,79721,0,19,175
80561,839,79722,0,19,175
80561,839,79722,0,19,175
80561,839,79722,0,19,175
80561,839,79722,0,19,175
80561,839,79722,0,19,175
80561,838,79723,0,19,175
80561,839,79722,0,19,175
80561,839,79722,0,19,175
80561,839,79722,0,19,175
80561,839,79722,0,19,175
80561,840,79721,0,19,175
80561,839,79722,0,19,175
80561,839,79721,0,19,175
80561,840,79721,0,19,175
80561,839,79721,0,19,175
80561,839,79721,0,19,175
80561,839,79721,0,19,175
80561,840,79721,0,19,175
80561,840,79721,0,19,175
80561,839,79722,0,19,175
80561,839,79722,0,19,175
80561,839,79722,0,19,175
80561,839,79722,0,19,175
80561,839,79721,0,19,175
80561,840,79720,0,19,175
80561,840,79721,0,19,175
80561,840,79720,0,19,175
80561,841,79720,0,19,175
80561,840,79721,0,19,175
80561,840,79721,0,19,175
80561,810,79750,0,7,149
80561,846,79715,0,10,177
80561,877,79683,0,10,200
80561,903,79658,0,10,226
80561,944,79617,0,10,263
80561,995,79565,0,10,302
80561,1024,79537,0,10,319
80561,1044,79517,0,10,320
80561,1079,79482,0,10,344
80561,1117,79443,0,10,382
80561,1152,79409,0,10,413
80561,1163,79398,0,10,413
80561,1181,79380,0,10,415
80561,1208,79352,0,10,416
80561,1232,79329,0,10,417
80561,1249,79311,0,10,419
80561,1283,79278,0,10,420
80561,1412,79149,0,11,528
80561,1526,79034,0,11,626
80561,1598,78962,0,11,679
80561,1660,78901,0,11,724
80561,1716,78845,0,11,768
80561,1765,78796,0,11,814
80561,1813,78747,0,11,851
80561,1872,78689,0,11,891
80561,1907,78653,0,11,929
80561,1962,78599,0,11,965
80561,1982,78579,0,11,994
80561,2023,78538,0,11,1021
80561,2060,78501,0,11,1052
80561,2059,78502,0,11,1062
80561,2117,78443,0,11,1107
80561,2163,78398,0,11,1142
80561,2194,78366,0,11,1188
80561,2235,78326,0,11,1210
80561,2252,78308,0,11,1243
80561,2317,78243,0,11,1295
80561,2377,78184,0,11,1325
80561,2397,78163,0,11,1358
80561,2442,78119,0,11,1409
80561,2470,78090,0,11,1430
80561,2533,78028,0,11,1489
80561,2560,78001,0,11,1509
80561,2597,77964,0,11,1553
80561,2610,77951,0,11,1570
80561,2719,77841,0,11,1644
80561,2745,77816,0,11,1672
80561,2767,77794,0,11,1710
80561,2847,77714,0,11,1770
80561,2856,77705,0,11,1787
80561,2940,77620,0,11,1869
80561,2973,77588,0,11,1892
80561,2961,77600,0,11,1890
80561,2954,77606,0,11,1891
80561,3030,77531,0,11,1959
80561,3069,77491,0,11,1975
80561,3057,77504,0,11,1975
80561,3048,77512,0,11,1977
80561,3133,77428,0,11,2041
80561,3140,77421,0,11,2048
80561,3184,77376,0,11,2067
80561,3177,77383,0,11,2066
80561,3152,77409,0,11,2071
80561,3231,77330,0,11,2134
80561,3268,77293,0,11,2150
80561,3236,77325,0,11,2151
80561,3232,77328,0,11,2151
80561,3232,77328,0,11,2152
80561,3314,77246,0,11,2209
80561,3327,77234,0,11,2217
80561,3383,77178,0,11,2235
80561,3347,77213,0,11,2235
80561,3376,77184,0,11,2235
80561,3385,77175,0,11,2279
80561,3395,77166,0,11,2296
80561,3469,77091,0,11,2354
80561,3523,77037,0,11,2388
80561,3528,77033,0,11,2409
80561,3586,76974,0,11,2462
80561,3615,76946,0,11,2495
80561,3667,76894,0,11,2538
80561,3648,76913,0,11,2547
80561,3745,76815,0,11,2584
80561,3710,76851,0,11,2583
80561,3726,76835,0,11,2583
80561,3708,76853,0,11,2583
80561,3719,76841,0,11,2606
80561,3763,76798,0,11,2642
80561,3784,76777,0,11,2662
80561,3796,76765,0,11,2677
80561,3790,76770,0,11,2677
80561,3790,76771,0,11,2677
80561,3785,76776,0,11,2677
80561,3874,76687,0,11,2745
80561,3859,76701,0,11,2739
80561,3926,76634,0,11,2780
80561,3908,76653,0,11,2778
80561,3902,76658,0,11,2778
80561,3902,76659,0,11,2785
80561,3980,76580,0,11,2838
80561,3971,76590,0,11,2842
80561,4015,76545,0,11,2877
80561,4074,76487,0,11,2925
80561,4074,76487,0,11,2921
80561,4099,76462,0,11,2961
80561,4106,76454,0,11,2961
80561,4148,76413,0,11,2991
80561,4147,76413,0,11,2989
80561,4175,76386,0,11,3016
80561,4174,76387,0,11,3014
80561,4172,76388,0,11,3030
80561,4238,76322,0,11,3048
80561,4270,76291,0,11,3053
80561,4208,76353,0,11,3052
80561,4199,76362,0,11,3052
80561,4195,76366,0,11,3052
80561,4192,76368,0,11,3052
80561,4258,76302,0,11,3076
80561,4242,76318,0,11,3087
80561,4270,76291,0,11,3092
80561,4266,76295,0,11,3093
80561,4250,76311,0,11,3091
80561,4276,76285,0,11,3091
80561,4248,76313,0,11,3092
80561,4310,76251,0,11,3133
80561,4321,76240,0,11,3128
80561,4298,76262,0,11,3138
80561,4289,76272,0,11,3136
80561,4286,76275,0,11,3136
80561,4294,76267,0,11,3140
80561,4357,76203,0,11,3173
80561,4339,76222,0,11,3168
80561,4360,76201,0,11,3181
80561,4362,76198,0,11,3179
80561,4384,76177,0,11,3208
80561,4390,76171,0,11,3214
80561,4396,76164,0,11,3222
80561,4442,76119,0,11,3248
80561,4412,76149,0,11,3241
80561,4465,76095,0,11,3274
80561,4441,76119,0,11,3269
80561,4467,76093,0,11,3290
80561,4480,76081,0,11,3304
80561,4532,76029,0,11,3308
80561,4491,76070,0,11,3309
80561,4483,76078,0,11,3308
80561,4479,76082,0,11,3308
80561,4477,76084,0,11,3308
80561,4535,76026,0,11,3346
80561,4545,76016,0,11,3338
80561,4559,76002,0,11,3346
80561,4542,76019,0,11,3346
80561,4579,75982,0,11,3346
80561,4523,76038,0,11,3346
80561,4517,76044,0,11,3346
80561,4575,75985,0,11,3381
80561,4556,76004,0,11,3376
80561,4632,75929,0,11,3385
80561,4600,75961,0,11,3385
80561,4568,75992,0,11,3384
80561,4559,76002,0,11,3384
80561,4610,75951,0,11,3422
80561,4609,75951,0,11,3416
80561,4645,75915,0,11,3428
80561,4637,75924,0,11,3439
80561,4682,75879,0,11,3455
80561,4654,75906,0,11,3457
80561,4733,75828,0,11,3484
80561,4703,75857,0,11,3481
80561,4716,75844,0,11,3510
80561,4712,75849,0,11,3513
80561,4739,75822,0,11,3515
80561,4781,75780,0,11,3544
80561,4767,75793,0,11,3544
80561,4813,75748,0,11,3553
80561,4771,75790,0,11,3553
80561,4758,75802,0,11,3553
80561,4758,75803,0,11,3553
80561,4753,75808,0,11,3553
80561,4805,75756,0,11,3583
80561,4786,75774,0,11,3582
80561,4811,75750,0,11,3592
80561,4806,75754,0,11,3596
80561,4800,75761,0,11,3594
80561,4795,75765,0,11,3594
80561,4790,75770,0,11,3594
80561,4836,75725,0,11,3620
80561,4826,75734,0,11,3620
80561,4870,75691,0,11,3632
80561,4884,75677,0,11,3632
80561,4866,75694,0,11,3640
80561,4857,75704,0,11,3640
80561,4874,75686,0,11,3640
80561,4853,75708,0,11,3641
80561,4900,75660,0,11,3670
80561,4909,75652,0,11,3670
80561,4898,75663,0,11,3686
80561,4921,75639,0,11,3703
80561,4929,75631,0,11,3703
80561,4961,75600,0,11,3735
80561,4984,75576,0,11,3735
80561,4999,75562,0,11,3757
80561,4989,75571,0,11,3758
80561,4991,75570,0,11,3766
80561,5017,75544,0,11,3777
80561,5000,75561,0,11,3777
80561,5021,75539,0,11,3792
80561,5021,75539,0,11,3791
80561,5047,75514,0,11,3797
80561,5032,75528,0,11,3797
80561,5035,75525,0,11,3797
80561,5020,75540,0,11,3797
80561,5017,75544,0,11,3797
80561,5064,75497,0,11,3832
80561,5065,75496,0,11,3825
80561,5063,75497,0,11,3825
80561,5068,75493,0,11,3833
80561,5065,75496,0,11,3834
80561,5062,75498,0,11,3833
80561,5059,75502,0,11,3832
80561,4477,76084,0,11,3254
80561,2420,78140,0,11,1427
80561,2413,78147,0,11,1427
80561,2506,78055,0,11,1515
80561,2527,78034,0,11,1530
80561,2525,78036,0,11,1531
80561,2523,78038,0,11,1530
80561,2520,78040,0,11,1530
80561,2583,77978,0,11,1596
80561,2614,77947,0,11,1614
80561,2613,77948,0,11,1616
80561,2613,77948,0,11,1617
80561,2610,77951,0,11,1616
80561,2639,77921,0,11,1648
80561,2670,77890,0,11,1664
80561,2677,77883,0,11,1679
80561,2685,77876,0,11,1686
80561,2723,77838,0,11,1714
80561,2757,77803,0,11,1753
80561,2796,77765,0,11,1781
80561,2820,77740,0,11,1808
80561,2851,77709,0,11,1839
80561,2878,77683,0,11,1860
80561,2902,77658,0,11,1882
80561,2925,77635,0,11,1905
80561,2952,77609,0,11,1927
80561,3007,77554,0,11,1969
80561,3036,77524,0,11,1995
80561,3046,77515,0,11,2005
80561,3067,77494,0,11,2020
80561,3109,77451,0,11,2045
80561,3124,77436,0,11,2068
80561,3157,77404,0,11,2095
80561,3193,77368,0,11,2132
80561,3193,77367,0,11,2151
80561,3236,77324,0,11,2159
80561,3222,77339,0,11,2162
80561,3218,77342,0,11,2174
80561,3283,77277,0,11,2207
80561,3276,77284,0,11,2214
80561,3288,77272,0,11,2238
80561,3329,77231,0,11,2255
80561,3338,77222,0,11,2269
80561,3361,77199,0,11,2302
80561,3379,77182,0,11,2308
80561,3414,77147,0,11,2342
80561,3433,77127,0,11,2346
80561,3475,77086,0,11,2383
80561,3473,77088,0,11,2390
80561,3509,77052,0,11,2412
80561,3499,77061,0,11,2428
80561,3543,77018,0,11,2455
80561,3557,77004,0,11,2465
80561,3565,76996,0,11,2479
80561,3587,76973,0,11,2498
80561,3593,76968,0,11,2505
80561,3636,76924,0,11,2534
80561,3632,76928,0,11,2539
80561,3675,76885,0,11,2572
80561,3678,76882,0,11,2577
80561,3717,76843,0,11,2614
80561,3726,76835,0,11,2613
80561,3730,76831,0,11,2634
80561,3765,76795,0,11,2643
80561,3771,76790,0,11,2660
80561,3802,76759,0,11,2676
80561,3790,76770,0,11,2681
80561,3807,76754,0,11,2706
80561,3828,76733,0,11,2709
80561,3848,76713,0,11,2716
80561,3849,76711,0,11,2716
80561,3835,76725,0,11,2716
80561,3834,76727,0,11,2726
80561,3851,76710,0,11,2750
80561,3872,76689,0,11,2756
80561,3858,76703,0,11,2756
80561,3854,76706,0,11,2756
80561,3852,76709,0,11,2756
80561,3874,76686,0,11,2765
80561,3905,76656,0,11,2793
80561,3928,76632,0,11,2796
80561,3936,76624,0,11,2796
80561,3909,76651,0,11,2796
80561,3906,76654,0,11,2799
80561,3953,76608,0,11,2836
80561,3950,76611,0,11,2833
80561,3963,76597,0,11,2853
80561,4001,76560,0,11,2871
80561,4007,76553,0,11,2883
80561,4035,76526,0,11,2903
80561,4022,76538,0,11,2907
80561,4075,76486,0,11,2935
80561,4082,76478,0,11,2939
80561,4100,76460,0,11,2973
80561,4099,76462,0,11,2973
80561,4158,76403,0,11,2995
80561,4142,76418,0,11,2999
80561,4170,76390,0,11,3022
80561,4155,76405,0,11,3027
80561,4189,76371,0,11,3057
80561,4227,76333,0,11,3059
80561,4232,76329,0,11,3056
80561,4193,76367,0,11,3056
80561,4190,76370,0,11,3056
80561,4177,76383,0,11,3056
80561,4246,76315,0,11,3092
80561,4218,76342,0,11,3088
80561,4236,76324,0,11,3093
80561,4248,76312,0,11,3093
80561,4224,76337,0,11,3093
80561,4224,76337,0,11,3093
80561,4285,76276,0,11,3132
80561,4270,76291,0,11,3127
80561,4274,76287,0,11,3137
80561,4285,76276,0,11,3138
80561,4285,76276,0,11,3138
80561,4289,76272,0,11,3140
80561,4319,76241,0,11,3171
80561,4315,76245,0,11,3169
80561,4352,76208,0,11,3176
80561,4350,76211,0,11,3177
80561,4355,76205,0,11,3214
80561,4350,76211,0,11,3208
80561,4390,76170,0,11,3246
