x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,7314,0,20959,739643319,572,8063,10721,0,0,0
cpu,7316,0,20961,739646545,572,8063,10721,0,0,0
cpu,7317,0,20962,739649760,572,8064,10721,0,0,0
cpu,7317,0,20963,739652981,572,8064,10722,0,0,0
cpu,7318,0,20963,739656200,572,8064,10722,0,0,0
cpu,7321,0,20964,739659412,572,8064,10722,0,0,0
cpu,7322,0,20965,739662628,572,8064,10722,0,0,0
cpu,7322,0,20965,739665844,572,8064,10722,0,0,0
cpu,7322,0,20966,739669061,572,8064,10722,0,0,0
cpu,7322,0,20967,739672280,572,8064,10722,0,0,0
cpu,7325,0,20969,739675488,572,8065,10722,0,0,0
cpu,7326,0,20970,739678702,572,8065,10722,0,0,0
cpu,7326,0,20971,739681915,572,8065,10723,0,0,0
cpu,7326,0,20973,739685131,572,8065,10723,0,0,0
cpu,7330,0,20974,739688346,572,8066,10723,0,0,0
cpu,7330,0,20975,739691560,572,8066,10723,0,0,0
cpu,7331,0,20976,739694774,572,8066,10723,0,0,0
cpu,7331,0,20977,739697995,572,8066,10724,0,0,0
cpu,7331,0,20978,739701215,572,8066,10724,0,0,0
cpu,7332,0,20980,739704435,572,8066,10724,0,0,0
cpu,7332,0,20981,739707648,572,8067,10724,0,0,0
cpu,7333,0,20982,739710863,572,8067,10724,0,0,0
cpu,7333,0,20983,739714084,573,8067,10724,0,0,0
cpu,7333,0,20984,739717297,573,8067,10724,0,0,0
cpu,7334,0,20986,739720511,573,8067,10724,0,0,0
cpu,7334,0,20987,739723723,573,8068,10725,0,0,0
cpu,7334,0,20989,739726941,573,8068,10725,0,0,0
cpu,7335,0,20990,739730156,573,8068,10725,0,0,0
cpu,7335,0,20991,739733369,573,8068,10725,0,0,0
cpu,7335,0,20992,739736591,573,8068,10725,0,0,0
cpu,7336,0,20993,739739806,573,8069,10726,0,0,0
cpu,7336,0,20994,739743020,573,8069,10726,0,0,0
cpu,7337,0,20996,739746240,573,8069,10726,0,0,0
