total,used,free,shared,buffers,cached
80561,851,79710,0,19,191
80561,853,79708,0,19,191
80561,853,79708,0,19,191
80561,853,79707,0,19,191
80561,854,79707,0,19,191
80561,854,79707,0,19,191
80561,855,79706,0,19,191
80561,855,79706,0,19,191
80561,855,79705,0,19,191
80561,856,79705,0,19,191
80561,856,79705,0,19,191
80561,856,79705,0,19,191
80561,856,79704,0,19,191
80561,856,79704,0,19,191
80561,857,79704,0,19,191
80561,856,79704,0,19,191
80561,856,79704,0,19,191
80561,857,79704,0,19,191
80561,857,79703,0,19,191
80561,858,79703,0,19,191
80561,858,79702,0,19,191
80561,857,79704,0,19,191
80561,858,79703,0,19,191
80561,858,79703,0,19,191
80561,858,79703,0,19,191
80561,858,79703,0,19,191
80561,858,79703,0,19,191
80561,857,79703,0,19,191
80561,858,79703,0,19,191
80561,857,79703,0,19,191
80561,857,79703,0,19,191
80561,858,79703,0,19,191
80561,858,79703,0,19,191
80561,858,79703,0,19,191
80561,858,79702,0,19,191
80561,858,79702,0,19,191
80561,859,79702,0,19,191
80561,859,79701,0,19,191
80561,859,79701,0,19,191
80561,859,79701,0,19,191
80561,860,79701,0,19,191
80561,859,79701,0,19,191
80561,860,79701,0,19,191
80561,860,79701,0,19,191
80561,860,79701,0,19,191
80561,860,79701,0,19,191
80561,860,79700,0,19,191
80561,859,79701,0,19,191
80561,860,79701,0,19,191
80561,861,79700,0,19,191
80561,860,79700,0,19,191
80561,860,79701,0,19,191
80561,860,79701,0,19,191
80561,859,79701,0,19,191
80561,860,79701,0,19,191
80561,859,79701,0,19,191
80561,860,79701,0,19,191
80561,859,79702,0,19,191
80561,859,79702,0,19,191
80561,859,79702,0,19,191
80561,859,79702,0,19,191
80561,859,79702,0,19,191
80561,859,79702,0,19,191
80561,859,79701,0,19,191
80561,860,79701,0,19,191
80561,860,79701,0,19,191
80561,860,79701,0,19,191
80561,860,79701,0,19,191
80561,860,79700,0,19,191
80561,860,79701,0,19,191
80561,860,79701,0,19,191
80561,860,79701,0,19,191
80561,859,79702,0,19,191
80561,859,79701,0,19,191
80561,860,79701,0,19,191
80561,827,79734,0,6,166
80561,857,79704,0,10,189
80561,890,79671,0,10,212
80561,922,79639,0,10,244
80561,960,79601,0,10,279
80561,1013,79548,0,10,317
80561,1042,79519,0,10,335
80561,1072,79489,0,10,343
80561,1107,79454,0,10,375
80561,1141,79420,0,10,408
80561,1174,79387,0,10,431
80561,1182,79378,0,10,432
80561,1207,79354,0,10,433
80561,1235,79325,0,10,434
80561,1258,79302,0,10,435
80561,1307,79254,0,10,473
80561,1364,79197,0,10,507
80561,1423,79138,0,10,551
80561,1486,79075,0,10,586
80561,1547,79014,0,10,634
80561,1610,78951,0,10,671
80561,1669,78891,0,10,712
80561,1741,78820,0,10,754
80561,1822,78739,0,10,807
