x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,383,0,801,354358,74,65,23,0,0,0
cpu,386,0,802,357578,74,65,23,0,0,0
cpu,386,0,803,360795,74,65,23,0,0,0
cpu,386,0,804,364018,74,66,23,0,0,0
cpu,389,0,805,367235,74,66,23,0,0,0
cpu,390,0,806,370452,74,66,23,0,0,0
cpu,390,0,807,373667,74,66,23,0,0,0
cpu,390,0,807,376884,74,66,24,0,0,0
cpu,390,0,808,380100,74,66,24,0,0,0
cpu,392,0,810,383322,74,66,24,0,0,0
cpu,394,0,812,386531,74,67,24,0,0,0
cpu,395,0,813,389745,74,67,24,0,0,0
cpu,395,0,814,392959,74,67,25,0,0,0
cpu,396,0,816,396173,74,68,25,0,0,0
cpu,399,0,817,399387,74,68,25,0,0,0
cpu,400,0,818,402600,74,68,25,0,0,0
cpu,400,0,820,405815,74,68,25,0,0,0
cpu,402,0,822,409028,74,68,25,0,0,0
cpu,402,0,823,412250,74,69,25,0,0,0
cpu,402,0,825,415466,74,69,26,0,0,0
cpu,403,0,826,418680,74,69,26,0,0,0
cpu,403,0,827,421895,74,69,26,0,0,0
cpu,404,0,828,425108,74,69,26,0,0,0
cpu,404,0,829,428322,74,69,26,0,0,0
cpu,405,0,830,431536,74,70,26,0,0,0
cpu,405,0,831,434756,74,70,26,0,0,0
cpu,406,0,832,437977,74,70,26,0,0,0
cpu,406,0,833,441191,74,70,26,0,0,0
cpu,407,0,834,444404,74,70,26,0,0,0
cpu,407,0,835,447622,74,70,26,0,0,0
cpu,407,0,836,450842,74,71,26,0,0,0
cpu,408,0,838,454060,74,71,26,0,0,0
cpu,408,0,839,457273,74,71,27,0,0,0
cpu,408,0,840,460489,74,71,27,0,0,0
cpu,409,0,842,463703,74,71,27,0,0,0
cpu,410,0,842,466919,74,72,27,0,0,0
cpu,410,0,843,470139,74,72,28,0,0,0
cpu,411,0,845,473353,74,72,28,0,0,0
cpu,411,0,846,476566,74,72,28,0,0,0
cpu,411,0,847,479781,74,72,28,0,0,0
cpu,412,0,848,482994,74,73,28,0,0,0
cpu,413,0,849,486208,74,73,28,0,0,0
cpu,413,0,851,489422,74,73,28,0,0,0
cpu,413,0,852,492635,74,73,28,0,0,0
cpu,414,0,853,495850,74,74,28,0,0,0
cpu,414,0,855,499070,74,74,28,0,0,0
cpu,414,0,856,502283,74,74,28,0,0,0
cpu,414,0,857,505496,74,74,29,0,0,0
cpu,415,0,859,508711,74,74,29,0,0,0
cpu,415,0,860,511924,74,74,29,0,0,0
cpu,415,0,861,515138,74,75,29,0,0,0
cpu,416,0,862,518353,74,75,29,0,0,0
cpu,416,0,863,521575,74,75,29,0,0,0
cpu,417,0,864,524788,74,75,29,0,0,0
cpu,417,0,865,528002,74,76,29,0,0,0
cpu,418,0,867,531215,74,76,29,0,0,0
cpu,418,0,868,534429,74,76,29,0,0,0
cpu,418,0,869,537642,74,76,30,0,0,0
cpu,419,0,870,540863,74,76,30,0,0,0
cpu,419,0,872,544076,74,76,30,0,0,0
cpu,419,0,873,547290,74,76,30,0,0,0
cpu,420,0,874,550505,74,77,30,0,0,0
cpu,420,0,875,553718,74,77,30,0,0,0
cpu,420,0,877,556933,74,77,31,0,0,0
cpu,421,0,878,560149,74,77,31,0,0,0
cpu,421,0,879,563364,74,77,31,0,0,0
cpu,422,0,879,566577,74,78,31,0,0,0
cpu,422,0,881,569797,74,78,31,0,0,0
cpu,423,0,882,573010,74,78,31,0,0,0
cpu,423,0,883,576224,74,78,31,0,0,0
cpu,424,0,884,579440,74,78,31,0,0,0
cpu,424,0,886,582657,74,78,31,0,0,0
cpu,424,0,887,585871,74,79,31,0,0,0
cpu,424,0,888,589084,74,79,31,0,0,0
cpu,425,0,889,592301,74,79,32,0,0,0
cpu,426,0,890,595516,74,79,32,0,0,0
cpu,426,0,891,598729,74,79,32,0,0,0
