total,used,free,shared,buffers,cached
80561,849,79711,0,18,174
80561,850,79711,0,18,174
80561,850,79711,0,18,174
80561,850,79711,0,18,174
80561,851,79710,0,18,174
80561,851,79709,0,18,174
80561,852,79709,0,18,174
80561,853,79707,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,852,79708,0,18,174
80561,853,79707,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,852,79708,0,18,174
80561,852,79708,0,18,174
80561,852,79709,0,18,174
80561,852,79709,0,18,174
80561,852,79709,0,18,174
80561,852,79709,0,18,174
80561,852,79709,0,18,174
80561,852,79709,0,18,174
80561,852,79709,0,18,174
80561,852,79709,0,18,174
80561,852,79709,0,18,174
80561,852,79709,0,18,174
80561,852,79708,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,853,79707,0,18,174
80561,854,79707,0,18,174
80561,852,79708,0,18,174
80561,852,79708,0,18,174
80561,852,79709,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,852,79708,0,18,174
80561,853,79708,0,18,174
80561,853,79708,0,18,174
80561,853,79707,0,18,174
80561,853,79707,0,18,174
80561,853,79708,0,18,174
80561,854,79707,0,18,174
80561,854,79707,0,18,174
80561,854,79707,0,18,174
80561,854,79707,0,18,174
80561,853,79707,0,18,174
80561,854,79707,0,18,174
80561,854,79707,0,18,174
80561,854,79707,0,18,174
80561,854,79706,0,18,174
80561,853,79707,0,18,174
80561,854,79707,0,18,174
80561,854,79706,0,18,174
80561,855,79706,0,18,174
80561,854,79706,0,18,174
80561,855,79706,0,18,174
80561,854,79706,0,18,174
80561,854,79707,0,18,174
80561,854,79707,0,18,174
80561,853,79708,0,18,174
80561,852,79709,0,18,174
80561,852,79708,0,18,174
80561,852,79708,0,18,174
80561,817,79744,0,5,147
80561,864,79696,0,9,183
80561,895,79666,0,9,213
80561,933,79627,0,9,247
80561,973,79587,0,9,279
80561,1002,79558,0,9,298
80561,1034,79527,0,9,306
80561,1087,79474,0,9,358
80561,1130,79430,0,9,401
80561,1141,79420,0,9,401
80561,1166,79394,0,9,406
80561,1196,79365,0,10,410
80561,1199,79362,0,10,414
80561,1199,79362,0,10,415
80561,1199,79362,0,10,415
