x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,296,0,671,87562,56,51,16,0,0,0
cpu,304,0,676,135561,56,53,17,0,0,0
cpu,310,0,680,183568,56,54,17,0,0,0
cpu,312,0,685,231580,57,55,18,0,0,0
cpu,313,0,687,279588,57,55,19,0,0,0
cpu,315,0,690,327595,57,56,19,0,0,0
cpu,656,0,839,375026,87,74,54,0,0,0
cpu,1023,0,1219,421554,762,96,97,0,0,0
cpu,1024,0,1592,468058,1843,108,132,0,0,0
cpu,1026,0,1928,514556,2958,122,167,0,0,0
cpu,1028,0,1947,561050,4373,139,178,0,0,0
cpu,1031,0,2054,607545,5782,156,189,0,0,0
cpu,1032,0,2071,654047,7199,169,200,0,0,0
cpu,1033,0,2178,700549,8606,184,210,0,0,0
cpu,1034,0,2192,747054,10018,197,222,0,0,0
cpu,1038,0,2296,793546,11425,216,234,0,0,0
cpu,1038,0,2311,840047,12844,230,245,0,0,0
cpu,1041,0,2412,886541,14257,246,255,0,0,0
cpu,1043,0,2429,933043,15673,262,267,0,0,0
cpu,1047,0,2530,979535,17086,277,281,0,0,0
cpu,1047,0,2552,1026035,18503,291,291,0,0,0
cpu,1049,0,2639,1072537,19918,309,302,0,0,0
cpu,1050,0,2671,1119036,21332,324,314,0,0,0
cpu,1053,0,2760,1165533,22743,341,326,0,0,0
cpu,1054,0,2785,1212032,24160,357,337,0,0,0
cpu,1055,0,2878,1258536,25570,375,348,0,0,0
cpu,1057,0,2904,1305037,26986,389,359,0,0,0
cpu,1062,0,2989,1351532,28398,407,370,0,0,0
cpu,1063,0,3021,1398035,29810,424,382,0,0,0
cpu,1070,0,3201,1444509,31123,445,398,0,0,0
cpu,1073,0,3594,1490997,32181,462,439,0,0,0
cpu,1076,0,3983,1537485,33243,480,481,0,0,0
cpu,1077,0,4147,1583917,34581,498,505,0,0,0
cpu,1080,0,4215,1630417,35995,515,516,0,0,0
cpu,1081,0,4256,1676919,37409,530,528,0,0,0
cpu,1085,0,4329,1723415,38822,546,540,0,0,0
cpu,1086,0,4378,1769909,40237,564,552,0,0,0
cpu,1088,0,4434,1816405,41654,581,564,0,0,0
cpu,1089,0,4490,1862905,43068,598,575,0,0,0
cpu,1092,0,4546,1909405,44485,615,589,0,0,0
cpu,1093,0,4603,1955905,45900,632,600,0,0,0
cpu,1095,0,4660,2002404,47319,646,611,0,0,0
cpu,1096,0,4712,2048906,48735,662,621,0,0,0
cpu,1099,0,4776,2095400,50148,679,633,0,0,0
cpu,1100,0,4823,2141909,51565,693,643,0,0,0
cpu,1102,0,4877,2188407,52984,708,653,0,0,0
cpu,1102,0,4932,2234909,54399,722,664,0,0,0
cpu,1105,0,4987,2281405,55816,738,674,0,0,0
cpu,1106,0,5040,2327907,57231,754,686,0,0,0
cpu,1107,0,5082,2374407,58648,770,697,0,0,0
cpu,1109,0,5146,2420909,60062,785,708,0,0,0
cpu,1113,0,5187,2467410,61476,799,720,0,0,0
cpu,1120,0,5524,2513897,62620,818,748,0,0,0
cpu,1123,0,5913,2560387,63679,835,789,0,0,0
cpu,1124,0,6273,2606869,64779,853,829,0,0,0
cpu,1127,0,6308,2653361,66194,871,841,0,0,0
cpu,1128,0,6392,2699858,67607,889,853,0,0,0
cpu,1130,0,6415,2746358,69026,904,864,0,0,0
cpu,1131,0,6500,2792856,70437,921,876,0,0,0
cpu,1134,0,6524,2839349,71852,937,890,0,0,0
cpu,1135,0,6620,2885851,73266,954,901,0,0,0
cpu,1136,0,6637,2932353,74681,968,912,0,0,0
cpu,1138,0,6730,2978853,76094,986,923,0,0,0
cpu,1142,0,6747,3025350,77513,1000,935,0,0,0
cpu,1143,0,6846,3071849,78923,1018,947,0,0,0
cpu,1144,0,6864,3118353,80339,1033,958,0,0,0
cpu,1145,0,6961,3164855,81751,1050,969,0,0,0
