total,used,free,shared,buffers,cached
80561,842,79719,0,18,174
80561,841,79720,0,18,174
80561,841,79720,0,18,174
80561,838,79723,0,18,174
80561,836,79725,0,18,174
80561,837,79724,0,18,174
80561,1711,78850,0,10,938
80561,3800,76761,0,10,3029
80561,5892,74669,0,10,5118
80561,6392,74169,0,10,5615
80561,6466,74095,0,10,5689
80561,6532,74029,0,10,5756
80561,6605,73955,0,10,5828
80561,6673,73887,0,10,5896
80561,6745,73815,0,10,5970
80561,6815,73745,0,10,6040
80561,6889,73671,0,10,6112
80561,6958,73603,0,10,6179
80561,7028,73532,0,10,6250
80561,7097,73463,0,10,6317
80561,7170,73391,0,10,6389
80561,7236,73325,0,10,6455
80561,7309,73252,0,10,6527
80561,7327,73234,0,10,6546
80561,7327,73234,0,10,6546
80561,7326,73235,0,10,6546
80561,7330,73231,0,11,6547
80561,7328,73232,0,11,6547
80561,7329,73232,0,11,6547
80561,3712,76848,0,11,2947
80561,5796,74764,0,11,5026
80561,7319,73242,0,11,6547
80561,7318,73243,0,11,6547
80561,7316,73245,0,11,6547
80561,7319,73242,0,11,6547
80561,7317,73243,0,11,6547
80561,7315,73245,0,11,6547
80561,7315,73245,0,11,6547
80561,7313,73248,0,11,6547
80561,7313,73248,0,11,6546
80561,7312,73248,0,11,6547
80561,7313,73247,0,11,6547
80561,7315,73246,0,11,6547
80561,7314,73247,0,11,6547
80561,7314,73247,0,11,6547
80561,7314,73246,0,11,6547
80561,7316,73245,0,11,6547
80561,7315,73246,0,11,6547
80561,7315,73245,0,11,6547
80561,7315,73245,0,11,6547
80561,7315,73245,0,11,6547
80561,2544,78017,0,11,1786
80561,4664,75896,0,11,3907
80561,6748,73812,0,11,5990
80561,7305,73255,0,11,6547
80561,7306,73255,0,11,6547
80561,7306,73255,0,11,6547
80561,7305,73255,0,11,6547
80561,7306,73255,0,11,6547
80561,7305,73256,0,11,6547
80561,7305,73256,0,11,6547
80561,7304,73256,0,11,6547
80561,7304,73256,0,11,6547
80561,7303,73257,0,11,6547
80561,7303,73258,0,11,6547
80561,7303,73258,0,11,6547
80561,7303,73257,0,11,6547
80561,7305,73256,0,11,6547
80561,7303,73257,0,11,6547
80561,7304,73257,0,11,6547
80561,7303,73257,0,11,6547
80561,7305,73255,0,11,6547
80561,7305,73256,0,11,6547
80561,7305,73256,0,11,6547
80561,3540,77021,0,11,2787
80561,5664,74896,0,11,4907
80561,7307,73253,0,11,6547
80561,7307,73254,0,11,6547
80561,7306,73255,0,11,6547
80561,7305,73256,0,11,6547
80561,7304,73256,0,11,6547
80561,7304,73257,0,11,6547
80561,7304,73256,0,11,6547
80561,7304,73257,0,11,6547
80561,7304,73256,0,11,6547
80561,7303,73257,0,11,6547
80561,7305,73255,0,11,6547
80561,7305,73256,0,11,6547
80561,7305,73256,0,11,6547
80561,7305,73256,0,11,6547
80561,7305,73256,0,11,6547
80561,7305,73255,0,11,6547
80561,7305,73255,0,11,6547
80561,7304,73256,0,11,6547
80561,7305,73256,0,11,6547
80561,7307,73254,0,11,6547
80561,2418,78142,0,11,1667
80561,4542,76018,0,11,3787
80561,6625,73935,0,11,5867
80561,7308,73253,0,11,6547
80561,7309,73252,0,11,6547
80561,7308,73252,0,11,6547
80561,7308,73252,0,11,6547
80561,7308,73252,0,11,6547
80561,7308,73253,0,11,6547
80561,7307,73253,0,11,6547
80561,7307,73253,0,11,6547
80561,7308,73253,0,11,6547
80561,7307,73253,0,11,6547
80561,7307,73254,0,11,6547
80561,7308,73253,0,11,6547
80561,7308,73252,0,11,6547
80561,7309,73252,0,11,6547
80561,7308,73253,0,11,6547
80561,7308,73253,0,11,6547
80561,7308,73253,0,11,6547
80561,7308,73253,0,11,6547
80561,7308,73253,0,11,6547
80561,7307,73254,0,11,6547
80561,3377,77184,0,11,2627
80561,5499,75062,0,11,4747
80561,7306,73255,0,11,6547
