x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,318,0,693,103725,51,56,18,0,0,0
cpu,330,0,698,151724,51,57,19,0,0,0
cpu,333,0,701,199735,51,58,19,0,0,0
cpu,335,0,706,247741,51,58,20,0,0,0
cpu,335,0,708,295757,51,59,21,0,0,0
cpu,336,0,710,343768,51,59,21,0,0,0
cpu,687,0,853,391215,89,74,45,0,0,0
cpu,1050,0,1257,437689,790,96,86,0,0,0
cpu,1052,0,1676,484185,1813,116,130,0,0,0
cpu,1053,0,2058,530688,2867,136,176,0,0,0
cpu,1053,0,2125,577188,4284,150,186,0,0,0
cpu,1056,0,2180,623692,5692,163,196,0,0,0
cpu,1056,0,2245,670198,7105,176,206,0,0,0
cpu,1058,0,2301,716695,8523,189,217,0,0,0
cpu,1060,0,2366,763192,9939,203,228,0,0,0
cpu,1064,0,2425,809693,11349,217,238,0,0,0
cpu,1064,0,2493,856195,12759,231,249,0,0,0
cpu,1065,0,2550,902699,14166,245,260,0,0,0
cpu,1068,0,2608,949192,15580,261,274,0,0,0
cpu,1071,0,2671,995689,16992,276,285,0,0,0
cpu,1072,0,2725,1042183,18409,292,296,0,0,0
cpu,1074,0,2778,1088686,19822,307,307,0,0,0
cpu,1075,0,2836,1135186,21233,322,318,0,0,0
cpu,1078,0,2899,1181681,22646,338,330,0,0,0
cpu,1079,0,2951,1228176,24064,354,341,0,0,0
cpu,1081,0,3007,1274675,25475,370,352,0,0,0
cpu,1085,0,3061,1321167,26888,387,364,0,0,0
cpu,1090,0,3120,1367656,28303,404,375,0,0,0
cpu,1092,0,3179,1414147,29715,422,387,0,0,0
cpu,1101,0,3269,1460627,31082,440,401,0,0,0
cpu,1102,0,3734,1506880,32273,464,451,0,0,0
cpu,1105,0,4213,1553257,33352,487,493,0,0,0
cpu,1107,0,4519,1599655,34584,508,524,0,0,0
cpu,1108,0,4557,1646158,36002,522,534,0,0,0
cpu,1110,0,4639,1692650,37411,540,546,0,0,0
cpu,1114,0,4678,1739148,38821,555,557,0,0,0
cpu,1115,0,4758,1785606,40276,571,569,0,0,0
cpu,1117,0,4788,1832108,41688,585,580,0,0,0
cpu,1119,0,4881,1878599,43099,602,595,0,0,0
cpu,1123,0,4918,1925094,44512,617,607,0,0,0
cpu,1124,0,5006,1971587,45925,634,619,0,0,0
cpu,1126,0,5028,2018086,47342,648,630,0,0,0
cpu,1129,0,5118,2064584,48757,663,641,0,0,0
cpu,1132,0,5147,2111083,50173,676,651,0,0,0
cpu,1133,0,5243,2157581,51582,693,664,0,0,0
cpu,1134,0,5274,2204083,52994,707,675,0,0,0
cpu,1135,0,5350,2250567,54425,723,687,0,0,0
cpu,1138,0,5381,2297069,55841,737,698,0,0,0
cpu,1140,0,5472,2343563,57247,755,711,0,0,0
cpu,1141,0,5509,2390060,58658,771,723,0,0,0
cpu,1144,0,5595,2436559,60068,786,734,0,0,0
cpu,1147,0,5636,2483059,61476,801,746,0,0,0
cpu,1155,0,5850,2529495,62781,817,768,0,0,0
cpu,1157,0,6504,2575651,63874,854,815,0,0,0
cpu,1158,0,6974,2622042,64917,885,868,0,0,0
cpu,1162,0,7097,2668537,66233,905,891,0,0,0
cpu,1164,0,7176,2715037,67646,921,902,0,0,0
cpu,1164,0,7218,2761537,69061,935,913,0,0,0
cpu,1167,0,7291,2808033,70473,952,928,0,0,0
cpu,1170,0,7332,2854526,71893,967,939,0,0,0
cpu,1172,0,7411,2901022,73307,984,951,0,0,0
cpu,1173,0,7444,2947528,74721,997,962,0,0,0
cpu,1174,0,7517,2994027,76137,1011,973,0,0,0
cpu,1177,0,7563,3040522,77555,1027,984,0,0,0
cpu,1178,0,7630,3087020,78968,1043,996,0,0,0
cpu,1179,0,7676,3133523,80384,1057,1006,0,0,0
cpu,1182,0,7740,3180026,81797,1073,1018,0,0,0
cpu,1185,0,7788,3226521,83214,1088,1030,0,0,0
cpu,1187,0,7850,3273022,84629,1103,1042,0,0,0
cpu,1188,0,7900,3319521,86048,1119,1053,0,0,0
cpu,1190,0,7955,3366020,87465,1134,1064,0,0,0
cpu,1193,0,8012,3412514,88880,1150,1076,0,0,0
cpu,1195,0,8063,3459015,90296,1164,1088,0,0,0
cpu,1196,0,8127,3505516,91706,1180,1100,0,0,0
cpu,1198,0,8174,3552027,93118,1193,1111,0,0,0
cpu,1208,0,8550,3598489,94215,1216,1148,0,0,0
cpu,1210,0,8975,3644977,95231,1239,1194,0,0,0
cpu,1211,0,9417,3691296,96394,1266,1235,0,0,0
cpu,1212,0,9455,3737801,97815,1279,1249,0,0,0
cpu,1215,0,9528,3784272,99255,1294,1260,0,0,0
cpu,1217,0,9568,3830776,100669,1307,1270,0,0,0
cpu,1218,0,9640,3877278,102082,1321,1281,0,0,0
cpu,1220,0,9683,3923782,103497,1334,1292,0,0,0
cpu,1224,0,9749,3970268,104925,1348,1302,0,0,0
cpu,1226,0,9786,4016771,106342,1362,1313,0,0,0
cpu,1227,0,9864,4063268,107750,1379,1326,0,0,0
cpu,1228,0,9895,4109769,109169,1392,1336,0,0,0
cpu,1232,0,9978,4156253,110593,1408,1349,0,0,0
cpu,1233,0,10006,4202752,112010,1423,1360,0,0,0
cpu,1234,0,10086,4249236,113434,1441,1372,0,0,0
cpu,1236,0,10112,4295737,114853,1454,1382,0,0,0
cpu,1239,0,10193,4342234,116270,1470,1394,0,0,0
cpu,1240,0,10216,4388735,117690,1484,1404,0,0,0
cpu,1242,0,10302,4435227,119106,1501,1416,0,0,0
cpu,1246,0,10326,4481733,120521,1512,1427,0,0,0
cpu,1250,0,10410,4528229,121936,1528,1439,0,0,0
cpu,1251,0,10432,4574729,123353,1543,1449,0,0,0
cpu,1259,0,10591,4621219,124691,1560,1465,0,0,0
cpu,1260,0,11010,4667714,125709,1578,1516,0,0,0
cpu,1262,0,11426,4714188,126748,1597,1568,0,0,0
cpu,1263,0,11600,4760693,128013,1613,1595,0,0,0
cpu,1266,0,11688,4807194,129428,1629,1606,0,0,0
cpu,1267,0,11713,4853695,130846,1643,1618,0,0,0
cpu,1270,0,11798,4900189,132260,1659,1629,0,0,0
cpu,1271,0,11826,4946692,133680,1673,1640,0,0,0
cpu,1272,0,11913,4993187,135093,1690,1651,0,0,0
cpu,1274,0,11942,5039691,136508,1703,1662,0,0,0
cpu,1278,0,12029,5086185,137924,1720,1673,0,0,0
cpu,1278,0,12063,5132682,139342,1734,1684,0,0,0
cpu,1281,0,12139,5179182,140755,1748,1694,0,0,0
cpu,1282,0,12172,5225685,142174,1761,1705,0,0,0
cpu,1286,0,12244,5272184,143591,1775,1715,0,0,0
cpu,1287,0,12284,5318686,145006,1788,1726,0,0,0
cpu,1289,0,12354,5365189,146419,1801,1736,0,0,0
cpu,1290,0,12395,5411690,147836,1814,1747,0,0,0
cpu,1294,0,12473,5458185,149252,1830,1758,0,0,0
cpu,1296,0,12513,5504688,150664,1845,1769,0,0,0
cpu,1297,0,12589,5551188,152077,1860,1781,0,0,0
cpu,1298,0,12625,5597664,153527,1873,1795,0,0,0
cpu,1301,0,12697,5644168,154939,1887,1806,0,0,0
cpu,1308,0,12989,5690638,156122,1906,1836,0,0,0
cpu,1310,0,13402,5737138,157132,1929,1882,0,0,0
cpu,1312,0,13830,5783598,158175,1952,1925,0,0,0
cpu,1316,0,13925,5830091,159572,1970,1939,0,0,0
cpu,1318,0,13976,5876590,160990,1985,1950,0,0,0
cpu,1319,0,14046,5923086,162408,2000,1961,0,0,0
cpu,1320,0,14096,5969589,163826,2015,1972,0,0,0
cpu,1324,0,14165,6016086,165239,2030,1984,0,0,0
