total,used,free,shared,buffers,cached
80561,851,79709,0,18,174
80561,852,79709,0,18,174
80561,852,79709,0,18,174
80561,851,79710,0,18,174
80561,850,79711,0,18,174
80561,849,79712,0,18,174
80561,1700,78861,0,10,922
80561,1710,78851,0,10,924
80561,1709,78851,0,10,926
80561,1716,78845,0,10,926
80561,1715,78846,0,11,926
80561,1717,78844,0,11,930
80561,1717,78844,0,11,930
80561,1719,78842,0,11,931
80561,1721,78839,0,11,931
80561,1721,78840,0,11,933
80561,1722,78839,0,11,932
80561,1722,78839,0,11,935
80561,1722,78838,0,11,935
80561,1723,78838,0,11,937
80561,1720,78840,0,11,937
80561,1722,78839,0,11,939
80561,1720,78840,0,11,940
80561,1725,78835,0,11,943
80561,1726,78834,0,11,943
80561,1730,78831,0,11,946
80561,1733,78828,0,11,946
80561,1739,78822,0,11,950
80561,1739,78822,0,11,950
80561,2176,78384,0,11,1388
80561,2184,78377,0,11,1391
80561,2184,78377,0,11,1396
80561,2184,78377,0,11,1396
80561,2186,78375,0,11,1400
80561,2186,78374,0,11,1400
80561,2185,78375,0,11,1403
80561,2185,78375,0,11,1404
80561,2188,78373,0,11,1404
80561,2187,78373,0,11,1403
80561,2186,78375,0,11,1404
80561,2185,78376,0,11,1403
80561,2187,78374,0,11,1405
80561,2188,78372,0,11,1405
80561,2191,78370,0,11,1407
80561,2193,78367,0,11,1409
80561,2195,78366,0,11,1410
80561,2196,78365,0,11,1409
80561,2196,78364,0,11,1410
80561,2199,78362,0,11,1411
80561,2202,78359,0,11,1414
80561,2205,78356,0,11,1414
80561,2184,78377,0,11,1393
80561,2529,78031,0,11,1743
80561,2530,78031,0,11,1744
80561,2527,78034,0,11,1746
80561,2526,78035,0,11,1746
80561,2529,78032,0,11,1747
80561,2528,78033,0,11,1748
80561,2524,78036,0,11,1746
80561,2525,78036,0,11,1748
80561,2526,78035,0,11,1747
80561,2525,78036,0,11,1748
80561,2528,78032,0,11,1749
80561,2526,78035,0,11,1749
80561,2526,78034,0,11,1751
80561,2528,78033,0,11,1750
80561,2529,78032,0,11,1750
80561,2527,78034,0,11,1750
80561,2530,78031,0,11,1751
80561,2527,78034,0,11,1752
80561,2528,78033,0,11,1752
80561,2526,78035,0,11,1751
80561,2528,78033,0,11,1752
80561,2528,78032,0,11,1753
80561,2677,77883,0,11,1894
80561,2680,77881,0,11,1895
80561,2678,77883,0,11,1897
80561,2679,77881,0,11,1897
80561,2674,77886,0,11,1897
80561,2672,77889,0,11,1897
80561,2671,77890,0,11,1897
80561,2672,77889,0,11,1897
80561,2675,77885,0,11,1897
80561,2673,77887,0,11,1896
80561,2673,77887,0,11,1897
80561,2672,77888,0,11,1897
80561,2674,77887,0,11,1897
80561,2672,77889,0,11,1897
80561,2672,77888,0,11,1896
80561,2673,77887,0,11,1897
80561,2674,77886,0,11,1897
80561,2675,77886,0,11,1897
80561,2675,77885,0,11,1897
80561,2676,77885,0,11,1897
80561,2679,77881,0,11,1896
80561,2678,77882,0,11,1897
80561,2677,77883,0,11,1897
80561,2698,77862,0,11,1927
80561,2698,77863,0,11,1927
80561,2701,77859,0,11,1927
80561,2698,77863,0,11,1927
80561,2697,77864,0,11,1926
80561,2697,77864,0,11,1927
80561,2698,77863,0,11,1927
80561,2698,77863,0,11,1927
80561,2696,77865,0,11,1926
80561,2698,77863,0,11,1926
80561,2697,77864,0,11,1926
80561,2697,77863,0,11,1926
80561,2698,77863,0,11,1927
80561,2700,77861,0,11,1927
80561,2699,77861,0,11,1927
80561,2700,77861,0,11,1927
80561,2700,77861,0,11,1927
80561,2703,77858,0,11,1926
80561,2701,77859,0,11,1927
80561,2701,77859,0,11,1927
80561,2701,77859,0,11,1927
80561,2702,77858,0,11,1927
80561,2632,77929,0,11,1867
80561,2707,77853,0,11,1932
80561,2707,77854,0,11,1932
80561,2708,77853,0,11,1931
80561,2704,77857,0,11,1931
80561,2702,77859,0,11,1931
80561,2701,77860,0,11,1931
80561,2703,77858,0,11,1931
80561,2703,77858,0,11,1931
80561,2703,77858,0,11,1931
80561,2704,77857,0,11,1931
80561,2705,77855,0,11,1931
80561,2705,77856,0,11,1930
80561,2705,77856,0,11,1932
80561,2707,77854,0,11,1932
80561,2708,77853,0,11,1932
80561,2710,77851,0,11,1931
80561,2710,77851,0,11,1931
80561,2711,77850,0,11,1932
80561,2710,77850,0,11,1931
80561,2710,77851,0,11,1930
80561,2710,77851,0,11,1931
80561,2710,77851,0,11,1931
80561,2709,77851,0,11,1932
80561,2705,77856,0,11,1932
80561,2707,77854,0,11,1932
80561,2707,77854,0,11,1931
80561,2708,77853,0,11,1931
80561,2707,77853,0,11,1932
80561,2706,77855,0,11,1932
80561,2706,77855,0,11,1931
80561,2707,77854,0,11,1931
80561,2707,77854,0,11,1931
80561,2706,77854,0,11,1931
80561,2708,77853,0,11,1932
80561,2709,77851,0,11,1931
80561,2710,77851,0,11,1932
80561,2709,77852,0,11,1932
80561,2710,77851,0,11,1932
80561,2709,77851,0,11,1931
80561,2709,77852,0,11,1932
80561,2709,77852,0,11,1931
80561,2709,77852,0,11,1931
80561,2712,77848,0,11,1931
80561,2712,77848,0,11,1931
80561,2453,78108,0,11,1667
80561,2704,77857,0,11,1932
80561,2703,77858,0,11,1932
80561,2702,77858,0,11,1931
80561,2702,77858,0,11,1931
80561,2704,77857,0,11,1932
80561,2706,77854,0,11,1932
80561,2703,77858,0,11,1931
80561,2703,77858,0,11,1932
80561,2703,77858,0,11,1931
80561,2705,77856,0,11,1931
80561,2705,77855,0,11,1931
80561,2705,77855,0,11,1931
80561,2705,77855,0,11,1931
80561,2706,77855,0,11,1931
80561,2705,77856,0,11,1931
80561,2707,77854,0,11,1931
80561,2707,77854,0,11,1931
80561,2708,77852,0,11,1931
80561,2708,77853,0,11,1931
80561,2710,77851,0,11,1931
80561,2709,77852,0,11,1931
80561,2710,77851,0,11,1931
80561,2706,77855,0,11,1933
80561,2705,77856,0,11,1932
80561,2703,77857,0,11,1931
80561,2705,77856,0,11,1931
80561,2703,77858,0,11,1932
80561,2704,77857,0,11,1932
80561,2703,77857,0,11,1932
80561,2705,77856,0,11,1932
80561,2705,77855,0,11,1931
80561,2706,77855,0,11,1931
80561,2706,77855,0,11,1932
80561,2706,77855,0,11,1931
80561,2704,77856,0,11,1931
80561,2705,77855,0,11,1931
80561,2705,77855,0,11,1931
80561,2708,77852,0,11,1931
80561,2709,77852,0,11,1931
80561,2709,77851,0,11,1932
80561,2708,77852,0,11,1931
80561,2713,77848,0,11,1932
80561,2711,77850,0,11,1931
80561,2709,77851,0,11,1931
80561,2710,77851,0,11,1931
80561,2703,77857,0,11,1931
80561,2701,77859,0,11,1932
80561,2704,77857,0,11,1931
80561,2702,77858,0,11,1931
80561,2703,77857,0,11,1932
80561,2700,77860,0,11,1932
80561,2699,77861,0,11,1932
80561,2698,77862,0,11,1932
80561,2699,77862,0,11,1931
80561,2700,77861,0,11,1931
80561,2701,77860,0,11,1932
80561,2701,77860,0,11,1931
80561,2704,77857,0,11,1932
80561,2705,77856,0,11,1932
80561,2705,77855,0,11,1932
80561,2707,77853,0,11,1932
80561,2707,77854,0,11,1931
80561,2708,77852,0,11,1931
80561,2710,77850,0,11,1932
80561,2711,77849,0,11,1932
80561,2710,77851,0,11,1932
80561,2711,77849,0,11,1932
80561,2707,77854,0,11,1932
80561,2706,77855,0,11,1931
80561,2705,77856,0,11,1931
80561,2707,77854,0,11,1931
80561,2705,77855,0,11,1931
80561,2704,77856,0,11,1931
80561,2706,77854,0,11,1931
80561,2705,77856,0,11,1931
80561,2705,77855,0,11,1931
80561,2704,77857,0,11,1932
