x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,359,0,792,2782390,60,81,55,0,0,0
cpu,361,0,794,2785604,60,81,55,0,0,0
cpu,362,0,795,2788822,60,81,55,0,0,0
cpu,362,0,795,2792036,60,81,55,0,0,0
cpu,366,0,796,2795251,60,81,55,0,0,0
cpu,366,0,797,2798470,60,81,55,0,0,0
cpu,367,0,798,2801685,60,82,55,0,0,0
cpu,367,0,798,2804901,60,82,55,0,0,0
cpu,367,0,799,2808117,60,82,55,0,0,0
cpu,367,0,801,2811340,60,82,56,0,0,0
cpu,370,0,803,2814550,60,82,56,0,0,0
cpu,371,0,804,2817764,60,82,56,0,0,0
cpu,372,0,804,2820984,60,83,56,0,0,0
cpu,372,0,806,2824199,60,83,56,0,0,0
cpu,373,0,807,2827412,60,83,56,0,0,0
cpu,373,0,808,2830625,60,83,56,0,0,0
cpu,373,0,809,2833844,60,83,57,0,0,0
cpu,373,0,811,2837058,60,83,57,0,0,0
cpu,374,0,812,2840271,60,83,57,0,0,0
cpu,377,0,813,2843483,60,84,57,0,0,0
cpu,379,0,814,2846693,60,84,57,0,0,0
cpu,379,0,815,2849908,60,84,57,0,0,0
cpu,380,0,816,2853125,60,84,57,0,0,0
cpu,380,0,817,2856339,60,85,58,0,0,0
cpu,380,0,819,2859554,60,85,58,0,0,0
cpu,380,0,820,2862766,60,85,58,0,0,0
cpu,381,0,821,2865979,60,85,58,0,0,0
cpu,381,0,822,2869200,60,85,58,0,0,0
cpu,381,0,824,2872414,60,85,58,0,0,0
cpu,382,0,825,2875629,60,86,58,0,0,0
cpu,382,0,826,2878844,60,86,58,0,0,0
cpu,383,0,827,2882053,60,86,62,0,0,0
cpu,383,0,828,2885267,60,86,62,0,0,0
cpu,385,0,830,2888484,61,86,62,0,0,0
cpu,385,0,831,2891699,61,86,62,0,0,0
cpu,385,0,832,2894919,61,87,62,0,0,0
cpu,386,0,833,2898134,61,87,63,0,0,0
cpu,386,0,835,2901354,61,87,63,0,0,0
cpu,388,0,837,2904567,61,87,63,0,0,0
cpu,388,0,838,2907780,61,88,64,0,0,0
cpu,389,0,840,2910997,61,88,64,0,0,0
cpu,389,0,841,2914212,61,88,64,0,0,0
cpu,390,0,842,2917431,61,88,64,0,0,0
cpu,390,0,843,2920646,61,88,64,0,0,0
cpu,391,0,844,2923869,61,88,64,0,0,0
cpu,391,0,845,2927083,61,89,64,0,0,0
cpu,391,0,846,2930297,61,89,64,0,0,0
cpu,392,0,847,2933510,61,89,64,0,0,0
cpu,392,0,848,2936725,61,89,64,0,0,0
cpu,392,0,850,2939937,61,89,65,0,0,0
cpu,393,0,851,2943150,61,89,65,0,0,0
cpu,393,0,852,2946365,61,90,65,0,0,0
cpu,394,0,853,2949581,61,90,65,0,0,0
cpu,394,0,854,2952796,61,90,65,0,0,0
cpu,394,0,855,2956015,61,90,65,0,0,0
cpu,395,0,857,2959230,61,90,65,0,0,0
cpu,395,0,858,2962443,61,90,65,0,0,0
cpu,395,0,859,2965657,61,91,65,0,0,0
cpu,396,0,860,2968878,61,91,65,0,0,0
cpu,396,0,862,2972092,61,91,65,0,0,0
cpu,396,0,863,2975308,61,91,66,0,0,0
cpu,397,0,864,2978528,61,91,66,0,0,0
cpu,397,0,865,2981744,61,91,66,0,0,0
cpu,397,0,866,2984959,61,91,66,0,0,0
cpu,398,0,868,2988179,61,92,66,0,0,0
cpu,398,0,869,2991395,61,92,66,0,0,0
cpu,398,0,871,2994608,61,92,66,0,0,0
cpu,399,0,872,2997822,61,92,66,0,0,0
cpu,399,0,873,3001036,61,92,66,0,0,0
cpu,400,0,874,3004249,61,93,66,0,0,0
cpu,400,0,876,3007465,61,93,66,0,0,0
cpu,400,0,877,3010680,61,93,66,0,0,0
cpu,400,0,879,3013893,61,93,67,0,0,0
cpu,400,0,880,3017110,61,93,67,0,0,0
cpu,401,0,881,3020324,61,94,67,0,0,0
cpu,401,0,883,3023538,61,94,67,0,0,0
cpu,402,0,884,3026751,61,94,67,0,0,0
cpu,402,0,885,3029965,61,94,67,0,0,0
cpu,402,0,886,3033179,61,94,67,0,0,0
cpu,403,0,887,3036392,61,94,67,0,0,0
cpu,403,0,889,3039612,61,94,68,0,0,0
cpu,403,0,890,3042827,61,95,68,0,0,0
cpu,404,0,891,3046040,61,95,68,0,0,0
cpu,404,0,892,3049253,61,95,68,0,0,0
cpu,404,0,893,3052471,61,95,68,0,0,0
cpu,411,0,937,3055636,72,98,69,0,0,0
cpu,447,0,960,3058778,84,101,72,0,0,0
cpu,533,0,976,3061880,84,103,78,0,0,0
cpu,625,0,985,3064983,84,106,84,0,0,0
cpu,716,0,999,3068087,84,108,87,0,0,0
cpu,788,0,1043,3071142,116,111,93,0,0,0
cpu,836,0,1081,3074245,130,113,95,0,0,0
cpu,910,0,1099,3077358,133,115,99,0,0,0
cpu,1003,0,1108,3080460,133,117,105,0,0,0
cpu,1072,0,1114,3083596,133,119,108,0,0,0
cpu,1124,0,1118,3086754,133,120,110,0,0,0
cpu,1175,0,1121,3089912,133,121,111,0,0,0
cpu,1240,0,1128,3093054,133,122,114,0,0,0
cpu,1323,0,1135,3096172,133,124,118,0,0,0
cpu,1418,0,1140,3099283,133,124,118,0,0,0
cpu,1506,0,1152,3102395,133,127,127,0,0,0
cpu,1593,0,1162,3105509,133,129,131,0,0,0
cpu,1648,0,1227,3108598,136,130,132,0,0,0
cpu,1648,0,1235,3111703,228,131,136,0,0,0
cpu,1670,0,1253,3114849,251,133,138,0,0,0
cpu,1722,0,1294,3117968,254,134,139,0,0,0
cpu,1777,0,1329,3121078,262,136,139,0,0,0
cpu,1832,0,1364,3124193,268,137,140,0,0,0
cpu,1881,0,1405,3127308,280,140,141,0,0,0
cpu,4716,0,1515,3127541,284,178,144,0,0,0
cpu,7900,0,1517,3127558,284,221,146,0,0,0
cpu,11055,0,1562,3127558,284,260,149,0,0,0
cpu,14240,0,1563,3127558,284,302,151,0,0,0
cpu,17418,0,1573,3127558,284,351,154,0,0,0
cpu,20612,0,1574,3127558,284,401,156,0,0,0
cpu,23795,0,1578,3127558,284,450,158,0,0,0
cpu,26987,0,1580,3127558,284,501,161,0,0,0
cpu,30168,0,1582,3127558,284,552,163,0,0,0
cpu,33346,0,1587,3127560,284,607,166,0,0,0
cpu,36529,0,1589,3127560,284,660,169,0,0,0
cpu,38705,0,1617,3128550,286,698,171,0,0,0
cpu,39156,0,1775,3131120,311,709,175,0,0,0
cpu,42328,0,1781,3131129,311,747,177,0,0,0
cpu,45510,0,1798,3131129,311,784,179,0,0,0
cpu,48659,0,1801,3131129,311,861,182,0,0,0
cpu,51840,0,1811,3131129,311,905,184,0,0,0
cpu,55026,0,1813,3131129,311,959,186,0,0,0
cpu,58195,0,1817,3131129,311,1011,189,0,0,0
cpu,61381,0,1820,3131129,311,1064,191,0,0,0
cpu,64559,0,1822,3131129,311,1116,194,0,0,0
cpu,67741,0,1827,3131129,311,1171,197,0,0,0
cpu,70920,0,1830,3131129,311,1222,199,0,0,0
cpu,74056,0,1831,3131129,311,1307,202,0,0,0
cpu,75582,0,1883,3132706,313,1356,205,0,0,0
cpu,76928,0,2019,3134400,336,1375,207,0,0,0
cpu,80131,0,2021,3134400,336,1416,210,0,0,0
cpu,83316,0,2031,3134400,336,1455,212,0,0,0
cpu,86510,0,2034,3134400,336,1492,214,0,0,0
cpu,89685,0,2042,3134400,336,1540,216,0,0,0
cpu,92865,0,2044,3134400,336,1590,219,0,0,0
cpu,96048,0,2049,3134400,336,1639,221,0,0,0
cpu,99233,0,2051,3134400,336,1688,224,0,0,0
cpu,102426,0,2052,3134400,336,1738,226,0,0,0
cpu,105615,0,2059,3134400,336,1791,229,0,0,0
cpu,108725,0,2061,3134400,336,1896,232,0,0,0
cpu,111894,0,2064,3134410,336,1948,235,0,0,0
cpu,112474,0,2126,3136951,349,1961,237,0,0,0
cpu,114673,0,2252,3137802,360,1993,240,0,0,0
cpu,117869,0,2253,3137802,360,2031,241,0,0,0
cpu,121053,0,2270,3137802,360,2075,244,0,0,0
cpu,124247,0,2272,3137802,360,2115,246,0,0,0
cpu,127427,0,2278,3137802,360,2164,249,0,0,0
cpu,130609,0,2280,3137802,360,2214,252,0,0,0
cpu,133799,0,2285,3137802,360,2263,254,0,0,0
cpu,136982,0,2287,3137802,360,2313,257,0,0,0
cpu,140156,0,2289,3137802,360,2373,259,0,0,0
cpu,143335,0,2296,3137802,360,2426,262,0,0,0
