total,used,free,shared,buffers,cached
80561,840,79721,0,19,175
80561,840,79720,0,19,175
80561,841,79719,0,19,175
80561,842,79719,0,19,175
80561,842,79718,0,19,175
80561,842,79718,0,19,175
80561,843,79718,0,19,175
80561,842,79718,0,19,175
80561,843,79717,0,19,175
80561,843,79717,0,19,175
80561,844,79717,0,19,175
80561,844,79716,0,19,175
80561,845,79716,0,19,175
80561,844,79716,0,19,175
80561,844,79716,0,19,175
80561,845,79715,0,19,175
80561,845,79715,0,19,175
80561,845,79716,0,19,175
80561,845,79715,0,19,175
80561,846,79715,0,19,175
80561,846,79715,0,19,175
80561,844,79716,0,19,175
80561,844,79716,0,19,175
80561,845,79716,0,19,175
80561,844,79716,0,19,175
80561,844,79716,0,19,175
80561,844,79716,0,19,175
80561,844,79716,0,19,175
80561,845,79715,0,19,175
80561,845,79716,0,19,175
80561,844,79716,0,19,175
80561,845,79716,0,19,175
80561,846,79715,0,19,175
80561,845,79715,0,19,175
80561,845,79715,0,19,175
80561,845,79716,0,19,175
80561,845,79716,0,19,175
80561,845,79716,0,19,175
80561,845,79715,0,19,175
80561,845,79715,0,19,175
80561,845,79716,0,19,175
80561,845,79715,0,19,175
80561,846,79715,0,19,175
80561,845,79716,0,19,175
80561,845,79716,0,19,175
80561,845,79716,0,19,175
80561,846,79715,0,19,175
80561,846,79715,0,19,175
80561,846,79715,0,19,175
80561,845,79716,0,19,175
80561,845,79716,0,19,175
80561,845,79716,0,19,175
80561,845,79716,0,19,175
80561,844,79716,0,19,175
80561,844,79717,0,19,175
80561,845,79716,0,19,175
80561,845,79716,0,19,175
80561,845,79715,0,19,175
80561,845,79715,0,19,175
80561,845,79715,0,19,175
80561,845,79715,0,19,175
80561,845,79715,0,19,175
80561,845,79716,0,19,175
80561,845,79715,0,19,175
80561,846,79715,0,19,175
80561,845,79715,0,19,175
80561,845,79716,0,19,175
80561,845,79715,0,19,175
80561,845,79715,0,19,175
80561,845,79715,0,19,175
80561,845,79716,0,19,175
80561,846,79715,0,19,175
80561,846,79715,0,19,175
80561,845,79715,0,19,175
80561,845,79715,0,19,175
80561,811,79750,0,6,147
80561,847,79714,0,9,177
80561,879,79682,0,9,200
80561,911,79649,0,9,232
80561,955,79606,0,9,271
80561,1008,79553,0,9,311
80561,1026,79534,0,9,319
80561,1065,79496,0,9,334
80561,1103,79458,0,9,370
80561,1125,79436,0,9,392
80561,1142,79418,0,9,407
80561,1157,79404,0,9,422
80561,1176,79384,0,9,441
80561,1201,79360,0,10,464
80561,1230,79331,0,10,492
80561,1272,79289,0,10,532
80561,1313,79248,0,10,574
80561,1340,79220,0,10,587
80561,1346,79214,0,10,589
80561,1349,79211,0,10,591
80561,1375,79186,0,10,592
80561,1403,79158,0,10,593
80561,1431,79130,0,10,593
80561,1454,79107,0,10,593
80561,3506,77054,0,10,598
80561,3510,77051,0,10,598
80561,3515,77046,0,10,598
80561,3513,77048,0,10,598
80561,3512,77049,0,10,598
80561,3512,77049,0,10,598
80561,3510,77050,0,10,598
80561,3508,77052,0,10,598
80561,3508,77052,0,10,598
80561,3507,77054,0,10,599
80561,3504,77056,0,10,599
80561,1473,79088,0,10,599
80561,2342,78219,0,10,600
80561,3493,77068,0,10,600
80561,3496,77064,0,10,600
80561,3496,77065,0,10,600
80561,3495,77066,0,10,600
80561,3493,77068,0,10,600
80561,3493,77067,0,10,600
80561,3490,77070,0,10,600
80561,3489,77072,0,10,601
80561,3488,77073,0,10,601
80561,3487,77074,0,10,601
80561,3486,77075,0,10,601
80561,1463,79098,0,10,601
80561,3493,77068,0,10,601
80561,3496,77065,0,10,602
80561,3498,77063,0,10,602
80561,3497,77064,0,10,602
80561,3494,77067,0,10,602
80561,3494,77067,0,10,602
80561,3493,77068,0,10,602
80561,3490,77071,0,10,602
80561,3489,77071,0,10,602
80561,3488,77073,0,10,602
80561,3486,77074,0,10,602
80561,3486,77075,0,10,602
80561,1461,79099,0,10,603
80561,3496,77064,0,10,604
80561,3500,77061,0,10,604
80561,3500,77061,0,10,604
80561,3499,77062,0,10,604
80561,3495,77066,0,10,604
80561,3495,77066,0,10,604
80561,3494,77067,0,10,604
80561,3492,77069,0,10,604
80561,3491,77070,0,10,604
80561,3491,77070,0,10,604
80561,3489,77071,0,10,604
80561,3427,77134,0,10,604
80561,1462,79099,0,10,602
80561,3495,77066,0,10,605
80561,3501,77059,0,10,605
80561,3503,77057,0,10,605
80561,3501,77059,0,10,605
80561,3499,77062,0,10,605
80561,3500,77061,0,10,606
80561,3498,77062,0,10,606
80561,3497,77064,0,10,606
80561,3496,77064,0,10,606
80561,3494,77066,0,10,606
80561,3494,77067,0,10,606
80561,2100,78461,0,10,606
80561,1467,79094,0,10,604
80561,3502,77058,0,10,607
80561,3505,77056,0,10,607
80561,3506,77054,0,10,607
80561,3503,77058,0,10,607
80561,3501,77059,0,10,607
80561,3502,77059,0,10,607
80561,3499,77062,0,10,607
80561,3497,77063,0,10,607
80561,3497,77064,0,10,607
80561,3494,77066,0,10,607
80561,3494,77067,0,10,607
80561,1464,79097,0,10,607
80561,2311,78250,0,10,609
80561,3502,77058,0,10,608
80561,3509,77052,0,10,608
80561,3506,77055,0,10,609
80561,3503,77058,0,10,609
80561,3502,77058,0,10,609
80561,3501,77059,0,10,609
80561,3500,77060,0,10,609
80561,3500,77061,0,10,609
80561,3499,77061,0,10,609
80561,3498,77063,0,10,609
80561,3370,77191,0,10,609
80561,1476,79084,0,10,610
80561,3504,77056,0,10,610
80561,3508,77052,0,10,610
80561,3507,77054,0,10,610
80561,3505,77056,0,10,610
80561,3503,77057,0,10,611
80561,3502,77058,0,10,611
80561,3500,77060,0,10,611
80561,3499,77061,0,10,611
80561,3498,77062,0,10,611
80561,3497,77064,0,10,611
