x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,525,0,1218,15937809,63,219,249,0,0,0
cpu,534,0,1223,15985812,63,220,250,0,0,0
cpu,539,0,1226,16033823,63,221,250,0,0,0
cpu,539,0,1228,16081830,63,222,251,0,0,0
cpu,540,0,1230,16129843,63,222,251,0,0,0
cpu,543,0,1234,16177848,63,224,252,0,0,0
cpu,923,0,1338,16225284,85,240,289,0,0,0
cpu,1824,0,1771,16271712,232,268,341,0,0,0
cpu,2393,0,2185,16318467,441,289,359,0,0,0
cpu,4304,0,2318,16364149,663,314,378,0,0,0
cpu,10681,0,2556,16404667,1332,387,437,0,0,0
cpu,17088,0,2806,16445126,2017,460,504,0,0,0
cpu,23393,0,3038,16485614,2736,556,575,0,0,0
cpu,29648,0,3266,16526245,3420,630,645,0,0,0
cpu,35621,0,3487,16567158,4099,702,716,0,0,0
cpu,39862,0,3678,16609947,4726,761,763,0,0,0
cpu,43809,0,3912,16652762,5559,816,814,0,0,0
cpu,46958,0,4146,16696505,6321,862,857,0,0,0
cpu,49349,0,4291,16741164,7033,896,885,0,0,0
cpu,51642,0,4452,16785971,7703,928,912,0,0,0
cpu,54313,0,4708,16829939,8690,972,951,0,0,0
cpu,56894,0,4991,16874024,9657,1013,985,0,0,0
cpu,59298,0,5212,16918288,10654,1051,1016,0,0,0
cpu,61625,0,5488,16962670,11584,1089,1047,0,0,0
cpu,62576,0,5721,17008828,12182,1114,1068,0,0,0
cpu,65983,0,5860,17052840,12532,1155,1100,0,0,0
cpu,72392,0,6090,17093254,13264,1233,1172,0,0,0
cpu,78707,0,6346,17133691,14009,1335,1248,0,0,0
cpu,85003,0,6586,17174225,14699,1417,1330,0,0,0
cpu,91212,0,6832,17214820,15435,1495,1409,0,0,0
cpu,96674,0,7071,17256153,16186,1567,1485,0,0,0
cpu,100900,0,7370,17298597,17070,1628,1540,0,0,0
cpu,104301,0,7636,17341831,18018,1683,1588,0,0,0
cpu,107322,0,7923,17385459,18968,1733,1632,0,0,0
cpu,110074,0,8199,17429338,19913,1783,1676,0,0,0
cpu,112692,0,8490,17473382,20845,1831,1718,0,0,0
cpu,115156,0,8762,17517534,21815,1877,1761,0,0,0
cpu,117541,0,9044,17561795,22793,1922,1802,0,0,0
cpu,118683,0,9290,17607726,23401,1951,1825,0,0,0
cpu,121911,0,9421,17651958,23722,1989,1856,0,0,0
cpu,128334,0,9650,17692423,24356,2079,1927,0,0,0
cpu,134716,0,9894,17732901,25034,2157,2005,0,0,0
cpu,141013,0,10135,17773449,25719,2235,2084,0,0,0
cpu,147304,0,10370,17813996,26428,2311,2163,0,0,0
cpu,153054,0,10612,17855029,27149,2405,2236,0,0,0
cpu,157220,0,10879,17897572,28011,2465,2293,0,0,0
cpu,160692,0,11153,17940759,28910,2524,2343,0,0,0
cpu,163606,0,11430,17984516,29842,2575,2387,0,0,0
cpu,166337,0,11691,18028401,30821,2626,2426,0,0,0
cpu,168817,0,11963,18072611,31761,2670,2464,0,0,0
cpu,171282,0,12240,18116787,32712,2715,2502,0,0,0
cpu,173722,0,12532,18161024,33637,2760,2541,0,0,0
cpu,175056,0,12768,18206661,34342,2791,2565,0,0,0
cpu,177551,0,12913,18251650,34636,2825,2591,0,0,0
cpu,183986,0,13154,18292000,35371,2913,2666,0,0,0
cpu,190341,0,13394,18332444,36117,2992,2747,0,0,0
cpu,196658,0,13629,18372962,36816,3071,2829,0,0,0
cpu,202982,0,13871,18413390,37593,3152,2911,0,0,0
cpu,208851,0,14116,18454233,38423,3229,2983,0,0,0
cpu,213307,0,14405,18496405,39287,3315,3045,0,0,0
cpu,216944,0,14680,18539402,40224,3371,3096,0,0,0
cpu,219994,0,14982,18582981,41163,3422,3141,0,0,0
cpu,222784,0,15260,18626874,42072,3472,3184,0,0,0
cpu,225316,0,15545,18670996,43020,3518,3228,0,0,0
cpu,227804,0,15830,18715149,43967,3566,3268,0,0,0
cpu,230210,0,16106,18759415,44908,3610,3307,0,0,0
cpu,231709,0,16347,18804817,45677,3644,3335,0,0,0
cpu,233826,0,16474,18850287,45895,3671,3355,0,0,0
cpu,240312,0,16708,18890709,46548,3746,3425,0,0,0
cpu,246744,0,16949,18931151,47221,3820,3492,0,0,0
cpu,253068,0,17186,18971667,47912,3906,3560,0,0,0
cpu,259376,0,17429,19012173,48635,3982,3634,0,0,0
cpu,265254,0,17678,19053065,49410,4054,3706,0,0,0
cpu,269671,0,17956,19095410,50239,4114,3758,0,0,0
cpu,273336,0,18237,19138364,51179,4197,3807,0,0,0
cpu,276273,0,18476,19182117,52146,4239,3839,0,0,0
cpu,278920,0,18734,19226096,53152,4281,3873,0,0,0
cpu,281500,0,18969,19270213,54120,4319,3903,0,0,0
cpu,283905,0,19243,19314490,55062,4360,3938,0,0,0
cpu,286253,0,19507,19358782,56053,4402,3975,0,0,0
cpu,287451,0,19763,19404632,56670,4432,3999,0,0,0
cpu,290474,0,19907,19449061,56976,4470,4031,0,0,0
cpu,296913,0,20150,19489431,57701,4549,4109,0,0,0
cpu,303254,0,20390,19529943,58377,4630,4185,0,0,0
cpu,309577,0,20638,19570415,59067,4734,4263,0,0,0
cpu,315862,0,20876,19610933,59805,4811,4341,0,0,0
cpu,321676,0,21122,19651833,60617,4903,4412,0,0,0
cpu,326054,0,21418,19694087,61505,4969,4473,0,0,0
cpu,329542,0,21686,19737269,62431,5023,4519,0,0,0
cpu,332489,0,21972,19780957,63380,5072,4560,0,0,0
cpu,335255,0,22277,19824806,64338,5120,4603,0,0,0
cpu,337766,0,22560,19868929,65292,5170,4642,0,0,0
cpu,340247,0,22844,19913055,66293,5215,4681,0,0,0
cpu,342679,0,23090,19957285,67277,5257,4716,0,0,0
cpu,343736,0,23339,20003336,67852,5285,4735,0,0,0
cpu,347055,0,23476,20047416,68211,5325,4771,0,0,0
cpu,353475,0,23720,20087794,68939,5407,4845,0,0,0
cpu,359868,0,23954,20128214,69660,5486,4926,0,0,0
cpu,366220,0,24193,20168649,70416,5563,5001,0,0,0
cpu,372490,0,24431,20209135,71167,5650,5084,0,0,0
cpu,377933,0,24689,20250445,71967,5720,5150,0,0,0
cpu,382136,0,24988,20292875,72862,5782,5206,0,0,0
cpu,385652,0,25290,20335997,73795,5836,5251,0,0,0
cpu,388603,0,25588,20379696,74712,5885,5293,0,0,0
cpu,391323,0,25901,20423593,75663,5934,5339,0,0,0
cpu,393874,0,26165,20467687,76619,5981,5383,0,0,0
cpu,396279,0,26427,20511906,77623,6027,5424,0,0,0
cpu,398577,0,26691,20556242,78596,6072,5465,0,0,0
cpu,399723,0,26949,20602175,79188,6104,5491,0,0,0
cpu,402906,0,27079,20646411,79526,6144,5524,0,0,0
cpu,409233,0,27314,20686920,80265,6218,5588,0,0,0
cpu,415553,0,27540,20727385,81027,6297,5658,0,0,0
cpu,421878,0,27786,20767878,81739,6376,5730,0,0,0
cpu,428127,0,28021,20808446,82460,6451,5800,0,0,0
cpu,433691,0,28278,20849674,83214,6519,5864,0,0,0
cpu,438110,0,28549,20891916,84091,6585,5926,0,0,0
cpu,441788,0,28841,20934910,84979,6645,5980,0,0,0
cpu,444703,0,29129,20978636,85904,6695,6022,0,0,0
cpu,447454,0,29452,21022515,86837,6745,6067,0,0,0
cpu,449966,0,29713,21066621,87833,6789,6105,0,0,0
cpu,452411,0,29972,21110847,88815,6829,6136,0,0,0
cpu,454785,0,30251,21155111,89783,6872,6174,0,0,0
cpu,455990,0,30494,21200971,90413,6902,6198,0,0,0
cpu,458965,0,30636,21245436,90738,6939,6230,0,0,0
cpu,465384,0,30882,21285820,91433,7045,6299,0,0,0
cpu,471708,0,31103,21326311,92170,7122,6372,0,0,0
cpu,478003,0,31349,21366736,92945,7226,6453,0,0,0
cpu,484340,0,31596,21407159,93706,7306,6535,0,0,0
cpu,490149,0,31849,21448154,94445,7382,6611,0,0,0
cpu,494467,0,32099,21490543,95303,7447,6667,0,0,0
cpu,498329,0,32421,21533335,96181,7505,6720,0,0,0
cpu,501436,0,32701,21576866,97114,7557,6764,0,0,0
cpu,504253,0,32975,21620712,98062,7604,6805,0,0,0
cpu,506759,0,33224,21664864,99039,7646,6839,0,0,0
cpu,509393,0,33512,21708904,99967,7692,6878,0,0,0
cpu,511725,0,33761,21753223,100958,7734,6914,0,0,0
cpu,513711,0,34071,21797925,101863,7776,6948,0,0,0
cpu,514620,0,34161,21844775,101989,7790,6957,0,0,0
cpu,521063,0,34414,21885179,102685,7866,7028,0,0,0
cpu,527422,0,34639,21925673,103394,7944,7094,0,0,0
cpu,533770,0,34876,21966119,104150,8021,7166,0,0,0
cpu,540095,0,35130,22006591,104870,8100,7242,0,0,0
cpu,546214,0,35373,22047301,105588,8173,7311,0,0,0
cpu,550696,0,35647,22089545,106424,8235,7363,0,0,0
cpu,554354,0,35926,22132553,107344,8288,7408,0,0,0
cpu,557402,0,36212,22176163,108270,8340,7454,0,0,0
cpu,560251,0,36504,22219919,109248,8390,7493,0,0,0
cpu,562871,0,36766,22263935,110230,8437,7533,0,0,0
cpu,565371,0,37012,22308059,111253,8478,7566,0,0,0
cpu,567695,0,37286,22352355,112261,8519,7600,0,0,0
cpu,569597,0,37568,22397176,113154,8558,7629,0,0,0
cpu,570691,0,37660,22443805,113309,8575,7641,0,0,0
cpu,577228,0,37894,22484163,113979,8651,7709,0,0,0
cpu,583604,0,38141,22524541,114752,8730,7787,0,0,0
cpu,589914,0,38384,22565019,115482,8814,7868,0,0,0
cpu,596188,0,38623,22605524,116221,8910,7946,0,0,0
cpu,602336,0,38864,22646183,116942,8989,8027,0,0,0
cpu,607042,0,39118,22688246,117745,9053,8084,0,0,0
cpu,610925,0,39424,22731019,118616,9112,8138,0,0,0
cpu,614007,0,39701,22774592,119570,9163,8180,0,0,0
cpu,616867,0,39972,22818354,120547,9208,8218,0,0,0
cpu,619407,0,40241,22862462,121513,9255,8261,0,0,0
cpu,621931,0,40527,22906567,122475,9299,8298,0,0,0
cpu,624340,0,40763,22950871,123433,9340,8332,0,0,0
cpu,626701,0,41035,22995113,124443,9381,8365,0,0,0
cpu,627098,0,41176,23042188,124804,9397,8374,0,0,0
cpu,632194,0,41369,23084193,125345,9458,8429,0,0,0
cpu,638571,0,41620,23124647,126019,9547,8507,0,0,0
cpu,644891,0,41851,23165136,126746,9625,8585,0,0,0
cpu,651210,0,42090,23205663,127443,9705,8661,0,0,0
cpu,657488,0,42324,23246207,128160,9781,8736,0,0,0
cpu,662844,0,42573,23287575,129003,9851,8802,0,0,0
cpu,667020,0,42847,23330081,129873,9911,8856,0,0,0
cpu,670576,0,43128,23373201,130782,9968,8909,0,0,0
cpu,673533,0,43416,23416864,131732,10016,8950,0,0,0
cpu,676334,0,43692,23460734,132680,10062,8990,0,0,0
cpu,678846,0,43923,23504861,133692,10100,9021,0,0,0
cpu,681297,0,44186,23549072,134678,10141,9056,0,0,0
cpu,683715,0,44439,23593296,135660,10183,9092,0,0,0
cpu,685034,0,44672,23638966,136383,10214,9115,0,0,0
cpu,687495,0,44813,23683991,136679,10246,9141,0,0,0
cpu,693917,0,45065,23724362,137408,10332,9219,0,0,0
cpu,700290,0,45304,23764724,138155,10440,9297,0,0,0
cpu,706639,0,45540,23805160,138920,10520,9382,0,0,0
cpu,712930,0,45768,23845597,139713,10608,9465,0,0,0
cpu,718851,0,46029,23886390,140528,10688,9543,0,0,0
cpu,723158,0,46302,23928738,141415,10751,9605,0,0,0
cpu,726691,0,46605,23971872,142316,10806,9656,0,0,0
cpu,729647,0,46845,24015608,143245,10854,9697,0,0,0
cpu,732498,0,47136,24059398,144208,10902,9739,0,0,0
cpu,735025,0,47380,24103524,145196,10942,9773,0,0,0
cpu,737542,0,47656,24147702,146134,10985,9809,0,0,0
cpu,739930,0,47910,24191958,147109,11029,9847,0,0,0
cpu,741702,0,48209,24236971,147945,11069,9881,0,0,0
cpu,743218,0,48318,24283125,148116,11091,9898,0,0,0
cpu,749643,0,48568,24323612,148744,11170,9971,0,0,0
cpu,756015,0,48800,24364080,149453,11250,10043,0,0,0
cpu,762346,0,49040,24404547,150198,11327,10115,0,0,0
cpu,768628,0,49275,24444978,151003,11415,10186,0,0,0
cpu,774769,0,49519,24485590,151797,11489,10255,0,0,0
cpu,778911,0,49780,24528139,152671,11548,10309,0,0,0
cpu,782738,0,50092,24570933,153577,11614,10364,0,0,0
cpu,785785,0,50355,24614544,154520,11662,10407,0,0,0
cpu,788633,0,50687,24658281,155488,11711,10447,0,0,0
cpu,791229,0,50946,24702358,156427,11757,10487,0,0,0
cpu,793826,0,51244,24746387,157387,11804,10529,0,0,0
cpu,796202,0,51488,24790646,158387,11849,10569,0,0,0
cpu,798613,0,51756,24834903,159350,11894,10609,0,0,0
cpu,798956,0,51907,24882071,159654,11911,10620,0,0,0
cpu,804244,0,52119,24923850,160187,11995,10675,0,0,0
cpu,810614,0,52350,24964299,160891,12090,10746,0,0,0
cpu,816980,0,52584,25004760,161623,12164,10817,0,0,0
cpu,823296,0,52823,25045276,162321,12242,10895,0,0,0
cpu,829526,0,53057,25085842,163057,12323,10980,0,0,0
cpu,834536,0,53303,25127588,163864,12390,11045,0,0,0
cpu,838458,0,53576,25170331,164783,12448,11100,0,0,0
cpu,841719,0,53868,25213683,165702,12515,11155,0,0,0
cpu,844660,0,54154,25257382,166655,12566,11200,0,0,0
cpu,847314,0,54409,25301372,167627,12616,11244,0,0,0
cpu,849785,0,54672,25345556,168606,12660,11283,0,0,0
cpu,852285,0,54940,25389673,169599,12706,11325,0,0,0
cpu,854693,0,55197,25433970,170536,12750,11364,0,0,0
cpu,855815,0,55399,25479911,171195,12779,11387,0,0,0
cpu,858822,0,55550,25524342,171514,12817,11417,0,0,0
