total,used,free,shared,buffers,cached
80561,824,79737,0,19,175
80561,825,79736,0,19,175
80561,825,79735,0,19,175
80561,826,79735,0,19,176
80561,826,79734,0,19,176
80561,827,79734,0,19,175
80561,1331,79229,0,10,551
80561,1736,78825,0,10,659
80561,1848,78713,0,10,726
80561,2017,78543,0,11,821
80561,2113,78448,0,11,886
80561,2195,78365,0,11,948
80561,2286,78275,0,11,1019
80561,2353,78208,0,11,1070
80561,2405,78156,0,11,1121
80561,2462,78098,0,11,1177
80561,2526,78034,0,11,1242
80561,2573,77988,0,11,1289
80561,2623,77938,0,11,1341
80561,2692,77869,0,11,1407
80561,2783,77778,0,11,1496
80561,2870,77691,0,11,1582
80561,2953,77608,0,11,1665
80561,2622,77938,0,11,1541
80561,2685,77876,0,11,1574
80561,2802,77759,0,11,1650
80561,2889,77672,0,11,1715
80561,2979,77582,0,11,1781
80561,3038,77523,0,11,1824
80561,3065,77495,0,11,1840
80561,3078,77483,0,11,1856
80561,3086,77474,0,11,1864
80561,3098,77463,0,11,1872
80561,3096,77464,0,11,1872
80561,3109,77452,0,11,1880
80561,3121,77440,0,11,1888
80561,3118,77443,0,11,1888
80561,2793,77768,0,11,1703
80561,2847,77714,0,11,1728
80561,2916,77645,0,11,1760
80561,2965,77596,0,11,1784
80561,3012,77549,0,11,1808
80561,3042,77518,0,11,1824
80561,3071,77490,0,11,1840
80561,3089,77471,0,11,1856
80561,3096,77465,0,11,1863
80561,3093,77467,0,11,1864
80561,3104,77456,0,11,1872
80561,3112,77449,0,11,1880
80561,3112,77448,0,11,1880
80561,3122,77439,0,11,1888
80561,2727,77833,0,11,1672
80561,2832,77728,0,11,1720
80561,2920,77641,0,11,1760
80561,2970,77591,0,11,1784
80561,3008,77553,0,11,1800
80561,3047,77514,0,11,1824
80561,3077,77484,0,11,1840
80561,3092,77469,0,11,1856
80561,3090,77471,0,11,1856
80561,3100,77460,0,11,1864
80561,3111,77450,0,11,1872
80561,3111,77450,0,11,1880
80561,3119,77441,0,11,1888
80561,3119,77442,0,11,1888
80561,2704,77856,0,11,1658
80561,2794,77767,0,11,1713
80561,2896,77665,0,11,1752
80561,2956,77605,0,11,1784
80561,3003,77558,0,11,1808
80561,3031,77530,0,11,1824
80561,3063,77497,0,11,1840
80561,3078,77482,0,11,1856
80561,3087,77474,0,11,1864
80561,3095,77466,0,11,1872
80561,3093,77467,0,11,1872
80561,3102,77458,0,11,1880
80561,3103,77458,0,11,1880
80561,3106,77455,0,11,1888
80561,2773,77788,0,11,1702
80561,2830,77731,0,11,1728
80561,2904,77656,0,11,1760
80561,2953,77607,0,11,1784
80561,2997,77564,0,11,1808
80561,3034,77527,0,11,1824
80561,3061,77500,0,11,1840
80561,3076,77485,0,11,1856
80561,3081,77480,0,11,1864
80561,3090,77471,0,11,1872
80561,3089,77471,0,11,1872
80561,3099,77462,0,11,1880
80561,3108,77453,0,11,1888
80561,3106,77455,0,11,1888
80561,2785,77776,0,11,1703
80561,2840,77720,0,11,1728
80561,2907,77653,0,11,1760
80561,2953,77608,0,11,1784
80561,3001,77559,0,11,1808
80561,3037,77523,0,11,1824
80561,3061,77500,0,11,1840
80561,3080,77481,0,11,1856
80561,3081,77480,0,11,1856
80561,3089,77472,0,11,1864
80561,3096,77464,0,11,1872
80561,3106,77454,0,11,1880
80561,3104,77457,0,11,1880
80561,3111,77449,0,11,1888
80561,2783,77778,0,11,1703
80561,2836,77725,0,11,1728
80561,2917,77644,0,11,1760
80561,2962,77598,0,11,1784
80561,3006,77555,0,11,1808
80561,3040,77520,0,11,1824
80561,3065,77495,0,11,1840
80561,3080,77481,0,11,1856
80561,3081,77480,0,11,1856
80561,3096,77465,0,11,1872
80561,3099,77462,0,11,1872
80561,3108,77453,0,11,1880
80561,3121,77440,0,11,1888
80561,3117,77443,0,11,1888
80561,2780,77781,0,11,1704
