total,used,free,shared,buffers,cached
80561,837,79724,0,19,175
80561,837,79723,0,19,175
80561,839,79722,0,19,175
80561,839,79722,0,19,175
80561,839,79721,0,19,175
80561,840,79721,0,19,175
80561,840,79721,0,19,175
80561,841,79720,0,19,175
80561,841,79719,0,19,175
80561,843,79718,0,19,175
80561,842,79719,0,19,175
80561,842,79718,0,19,175
80561,843,79718,0,19,175
80561,843,79718,0,19,175
80561,843,79717,0,19,175
80561,843,79718,0,19,175
80561,843,79717,0,19,175
80561,842,79718,0,19,175
80561,843,79718,0,19,175
80561,843,79718,0,19,175
80561,843,79718,0,19,175
80561,843,79717,0,19,175
80561,843,79718,0,19,175
80561,843,79717,0,19,175
80561,843,79717,0,19,175
80561,844,79717,0,19,175
80561,843,79718,0,19,175
80561,844,79717,0,19,175
80561,844,79717,0,19,175
80561,844,79717,0,19,175
80561,844,79716,0,19,175
80561,844,79716,0,19,175
80561,845,79716,0,19,175
80561,845,79716,0,19,175
80561,845,79715,0,19,175
80561,845,79716,0,19,175
80561,845,79716,0,19,175
80561,845,79715,0,19,175
80561,845,79716,0,19,175
80561,845,79715,0,19,175
80561,846,79715,0,19,175
80561,846,79715,0,19,175
80561,846,79715,0,19,175
80561,846,79714,0,19,175
80561,846,79714,0,19,175
80561,846,79714,0,19,175
80561,847,79714,0,19,175
80561,847,79714,0,19,175
80561,846,79715,0,19,175
80561,846,79715,0,19,175
80561,847,79714,0,19,175
80561,847,79714,0,19,175
80561,846,79715,0,19,175
80561,846,79714,0,19,175
80561,846,79714,0,19,175
80561,847,79714,0,19,175
80561,847,79713,0,19,175
80561,847,79713,0,19,175
80561,847,79713,0,19,175
80561,847,79714,0,19,175
80561,847,79713,0,19,175
80561,847,79713,0,19,175
80561,847,79713,0,19,175
80561,846,79714,0,19,175
80561,847,79714,0,19,175
80561,847,79714,0,19,175
80561,847,79714,0,19,175
80561,847,79714,0,19,175
80561,847,79714,0,19,175
80561,847,79714,0,19,175
80561,847,79714,0,19,175
80561,847,79713,0,19,175
80561,847,79714,0,19,175
80561,847,79714,0,19,175
80561,847,79713,0,19,175
80561,810,79751,0,6,148
80561,845,79715,0,9,177
80561,879,79682,0,9,202
80561,913,79647,0,9,235
80561,950,79611,0,9,269
80561,1002,79559,0,9,309
80561,1024,79537,0,9,318
80561,1056,79504,0,9,330
80561,1073,79487,0,9,346
80561,1104,79456,0,9,376
80561,1146,79415,0,9,414
80561,1159,79401,0,9,415
80561,1177,79383,0,9,415
80561,1196,79365,0,9,416
80561,1225,79335,0,9,416
80561,1259,79301,0,9,431
80561,1328,79233,0,9,486
80561,1398,79163,0,9,526
80561,1449,79111,0,9,558
80561,1506,79054,0,9,608
80561,1587,78974,0,9,658
80561,1650,78911,0,9,693
80561,1700,78861,0,9,735
80561,1785,78776,0,9,781
80561,1828,78732,0,9,818
80561,1901,78660,0,9,863
80561,1959,78602,0,9,901
80561,2017,78544,0,9,940
80561,2094,78466,0,9,985
80561,2144,78417,0,9,1028
80561,2219,78342,0,9,1072
80561,2268,78292,0,9,1106
80561,2352,78209,0,9,1158
80561,2402,78159,0,9,1193
80561,2461,78099,0,9,1235
80561,2521,78040,0,9,1278
80561,2592,77968,0,9,1319
80561,2648,77913,0,9,1361
80561,2725,77836,0,9,1405
80561,2767,77794,0,9,1444
80561,2847,77713,0,9,1491
80561,2901,77660,0,9,1528
80561,2967,77594,0,9,1572
80561,3016,77544,0,9,1606
80561,3085,77475,0,9,1658
80561,3167,77394,0,9,1705
80561,3223,77338,0,9,1745
80561,3273,77287,0,10,1782
80561,3326,77235,0,10,1825
80561,3405,77156,0,10,1869
80561,3461,77100,0,10,1911
80561,3527,77033,0,10,1953
80561,3598,76963,0,10,1998
80561,3673,76888,0,10,2049
80561,3743,76818,0,10,2098
80561,3803,76758,0,10,2146
80561,3863,76698,0,10,2184
80561,3940,76621,0,10,2233
80561,4000,76560,0,10,2277
80561,4055,76505,0,10,2323
80561,4126,76435,0,10,2369
80561,4192,76368,0,10,2408
80561,4261,76300,0,10,2459
80561,4324,76237,0,10,2504
80561,4374,76187,0,10,2541
80561,4445,76116,0,10,2588
80561,4523,76037,0,10,2641
80561,4574,75987,0,10,2676
80561,4648,75912,0,10,2726
80561,4702,75859,0,10,2765
80561,4760,75801,0,10,2809
80561,4817,75744,0,10,2851
80561,4891,75670,0,10,2903
80561,4949,75611,0,10,2944
80561,5007,75554,0,10,2982
80561,5069,75492,0,10,3029
80561,5136,75425,0,10,3070
80561,5190,75370,0,10,3112
80561,5241,75319,0,10,3154
80561,5298,75262,0,10,3183
80561,5299,75262,0,10,3184
80561,5299,75261,0,10,3184
80561,5298,75263,0,10,3184
80561,5298,75263,0,10,3184
80561,5297,75264,0,10,3184
80561,5297,75264,0,10,3184
80561,5297,75264,0,10,3184
80561,5296,75264,0,10,3184
80561,5295,75265,0,10,3184
80561,5295,75265,0,10,3184
80561,5295,75265,0,10,3185
80561,5295,75266,0,10,3185
80561,5295,75266,0,10,3185
80561,5293,75268,0,10,3185
80561,5293,75268,0,10,3185
80561,5292,75268,0,10,3186
80561,5292,75269,0,10,3185
80561,5292,75269,0,10,3185
80561,5291,75270,0,10,3185
80561,5291,75269,0,10,3185
80561,5291,75269,0,10,3187
80561,5291,75270,0,10,3187
80561,5291,75269,0,10,3187
80561,5291,75269,0,10,3187
80561,5291,75269,0,10,3187
80561,5291,75270,0,10,3187
80561,5291,75269,0,10,3187
80561,5291,75270,0,10,3187
80561,5290,75270,0,10,3187
80561,5291,75270,0,10,3187
80561,5295,75266,0,10,3191
80561,5295,75265,0,10,3191
80561,5294,75267,0,10,3191
80561,5294,75267,0,10,3191
80561,5294,75267,0,10,3191
80561,5293,75267,0,10,3191
80561,5293,75268,0,10,3191
80561,5293,75268,0,10,3191
80561,5293,75267,0,10,3191
80561,5293,75268,0,10,3191
80561,5292,75269,0,10,3191
80561,5292,75269,0,10,3191
80561,5292,75268,0,10,3191
80561,5292,75268,0,10,3191
