x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,336,0,835,6131117,62,129,103,0,0,0
cpu,338,0,837,6134335,62,130,103,0,0,0
cpu,338,0,837,6137556,62,130,103,0,0,0
cpu,339,0,838,6140773,62,130,103,0,0,0
cpu,339,0,839,6143996,62,130,104,0,0,0
cpu,339,0,839,6147213,62,130,104,0,0,0
cpu,339,0,840,6150431,62,131,104,0,0,0
cpu,342,0,841,6153647,62,131,104,0,0,0
cpu,343,0,842,6156862,62,131,104,0,0,0
cpu,343,0,842,6160078,62,131,104,0,0,0
cpu,346,0,844,6163292,62,131,105,0,0,0
cpu,346,0,846,6166506,62,131,105,0,0,0
cpu,349,0,848,6169717,62,131,105,0,0,0
cpu,349,0,849,6172930,62,132,105,0,0,0
cpu,350,0,851,6176147,62,132,105,0,0,0
cpu,350,0,851,6179361,62,132,105,0,0,0
cpu,351,0,853,6182578,62,132,105,0,0,0
cpu,351,0,854,6185791,62,132,105,0,0,0
cpu,355,0,855,6189004,62,133,106,0,0,0
cpu,355,0,856,6192218,62,133,106,0,0,0
cpu,355,0,857,6195438,62,133,106,0,0,0
cpu,356,0,859,6198652,62,133,106,0,0,0
cpu,356,0,860,6201866,62,133,106,0,0,0
cpu,356,0,861,6205080,62,133,106,0,0,0
cpu,357,0,863,6208296,62,134,106,0,0,0
cpu,357,0,864,6211508,62,134,106,0,0,0
cpu,358,0,865,6214722,62,134,106,0,0,0
cpu,358,0,866,6217936,62,134,106,0,0,0
cpu,358,0,867,6221157,62,134,107,0,0,0
cpu,359,0,868,6224374,62,134,107,0,0,0
cpu,359,0,870,6227591,62,135,107,0,0,0
cpu,360,0,871,6230804,62,135,107,0,0,0
cpu,360,0,872,6234019,62,135,107,0,0,0
cpu,361,0,873,6237233,62,135,107,0,0,0
cpu,361,0,874,6240450,62,136,107,0,0,0
cpu,362,0,875,6243668,62,136,107,0,0,0
cpu,362,0,876,6246886,62,136,107,0,0,0
cpu,362,0,878,6250101,62,136,107,0,0,0
cpu,363,0,879,6253314,62,137,107,0,0,0
cpu,363,0,880,6256529,62,137,107,0,0,0
cpu,364,0,881,6259747,62,137,108,0,0,0
