x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,325,0,600,5765062,49,97,83,0,0,0
cpu,325,0,600,5768268,49,97,84,0,0,0
cpu,325,0,601,5771476,49,97,84,0,0,0
cpu,326,0,601,5774683,49,98,84,0,0,0
cpu,326,0,602,5777890,49,98,85,0,0,0
cpu,326,0,603,5781098,49,98,85,0,0,0
cpu,326,0,603,5784305,49,98,85,0,0,0
cpu,326,0,604,5787512,49,98,85,0,0,0
cpu,326,0,604,5790719,49,98,85,0,0,0
cpu,327,0,606,5793925,49,99,86,0,0,0
cpu,327,0,607,5797133,49,99,86,0,0,0
cpu,327,0,607,5800340,49,99,86,0,0,0
cpu,327,0,608,5803547,49,99,86,0,0,0
cpu,328,0,609,5806755,49,99,86,0,0,0
cpu,328,0,609,5809962,49,99,86,0,0,0
cpu,328,0,610,5813170,49,99,86,0,0,0
cpu,328,0,610,5816377,49,99,87,0,0,0
cpu,328,0,611,5819584,49,100,87,0,0,0
cpu,330,0,611,5822791,49,100,87,0,0,0
cpu,330,0,612,5825999,49,100,87,0,0,0
cpu,330,0,612,5829205,49,100,87,0,0,0
cpu,331,0,613,5832412,49,100,87,0,0,0
cpu,332,0,613,5835618,49,101,88,0,0,0
cpu,332,0,614,5838826,49,101,88,0,0,0
cpu,332,0,615,5842034,49,101,88,0,0,0
cpu,332,0,615,5845241,49,101,88,0,0,0
cpu,332,0,616,5848448,49,101,88,0,0,0
cpu,333,0,616,5851655,49,101,88,0,0,0
cpu,333,0,617,5854863,49,102,89,0,0,0
cpu,333,0,617,5858070,49,102,89,0,0,0
cpu,333,0,618,5861277,49,102,89,0,0,0
cpu,334,0,618,5864484,49,102,89,0,0,0
cpu,334,0,619,5867692,49,103,89,0,0,0
cpu,334,0,619,5870899,49,103,89,0,0,0
cpu,334,0,620,5874105,49,103,90,0,0,0
cpu,334,0,621,5877313,49,103,90,0,0,0
cpu,335,0,621,5880520,49,103,90,0,0,0
cpu,335,0,622,5883727,49,103,90,0,0,0
cpu,335,0,622,5886934,49,104,90,0,0,0
cpu,335,0,623,5890142,49,104,90,0,0,0
cpu,335,0,623,5893350,49,104,91,0,0,0
cpu,336,0,624,5896557,49,104,91,0,0,0
cpu,336,0,624,5899764,49,104,91,0,0,0
cpu,336,0,625,5902972,49,104,91,0,0,0
cpu,336,0,625,5906180,49,104,91,0,0,0
cpu,337,0,626,5909388,49,104,92,0,0,0
cpu,337,0,626,5912596,49,105,92,0,0,0
cpu,337,0,627,5915802,49,105,92,0,0,0
cpu,337,0,627,5919010,49,105,92,0,0,0
cpu,337,0,628,5922218,49,105,92,0,0,0
cpu,338,0,628,5925425,49,105,92,0,0,0
cpu,338,0,629,5928632,49,105,92,0,0,0
cpu,338,0,629,5931839,49,106,92,0,0,0
cpu,338,0,630,5935048,49,106,93,0,0,0
cpu,338,0,630,5938255,49,106,93,0,0,0
cpu,338,0,631,5941462,49,106,93,0,0,0
cpu,339,0,631,5944670,49,106,93,0,0,0
cpu,342,0,662,5947813,84,107,94,0,0,0
cpu,355,0,672,5951014,71,108,94,0,0,0
cpu,380,0,677,5954182,78,109,96,0,0,0
cpu,467,0,688,5957288,78,110,100,0,0,0
cpu,548,0,705,5960390,78,111,104,0,0,0
cpu,630,0,726,5963487,78,112,107,0,0,0
cpu,645,0,777,5966591,111,113,111,0,0,0
cpu,689,0,806,5969700,134,114,112,0,0,0
cpu,750,0,816,5972830,137,114,114,0,0,0
cpu,804,0,819,5975980,137,115,116,0,0,0
cpu,880,0,830,5979099,137,116,118,0,0,0
cpu,903,0,862,5982207,176,117,122,0,0,0
cpu,955,0,892,5985322,184,118,123,0,0,0
cpu,996,0,918,5988428,216,119,124,0,0,0
cpu,1096,0,918,5991535,216,119,124,0,0,0
cpu,1197,0,919,5994643,216,120,125,0,0,0
cpu,1297,0,919,5997749,216,120,125,0,0,0
cpu,1397,0,920,6000857,216,120,125,0,0,0
cpu,1497,0,920,6003965,216,121,126,0,0,0
cpu,1598,0,920,6007071,216,121,126,0,0,0
cpu,1698,0,921,6010177,216,121,126,0,0,0
cpu,1798,0,922,6013284,216,122,126,0,0,0
cpu,1898,0,922,6016390,216,122,126,0,0,0
cpu,1998,0,923,6019496,216,122,126,0,0,0
cpu,2099,0,923,6022603,216,123,126,0,0,0
cpu,2199,0,924,6025711,216,123,127,0,0,0
cpu,2300,0,924,6028818,216,123,127,0,0,0
cpu,2400,0,925,6031925,216,124,127,0,0,0
cpu,2500,0,925,6035032,216,124,127,0,0,0
cpu,2600,0,926,6038140,216,125,127,0,0,0
cpu,2701,0,926,6041247,216,125,128,0,0,0
cpu,2801,0,927,6044354,216,125,128,0,0,0
cpu,2901,0,927,6047461,216,126,128,0,0,0
cpu,3001,0,928,6050569,216,126,129,0,0,0
cpu,3102,0,928,6053675,216,126,129,0,0,0
cpu,3202,0,930,6056779,216,127,129,0,0,0
cpu,3302,0,930,6059886,216,127,129,0,0,0
cpu,3402,0,931,6062993,216,128,130,0,0,0
cpu,3503,0,931,6066099,216,128,130,0,0,0
cpu,3603,0,932,6069205,216,128,130,0,0,0
cpu,3703,0,932,6072312,216,129,130,0,0,0
cpu,3803,0,933,6075418,216,129,130,0,0,0
cpu,3903,0,933,6078524,216,129,130,0,0,0
cpu,4004,0,934,6081632,216,130,131,0,0,0
cpu,4104,0,934,6084739,216,130,131,0,0,0
cpu,4204,0,935,6087842,219,131,131,0,0,0
cpu,4304,0,935,6090949,219,131,131,0,0,0
cpu,4405,0,936,6094056,219,131,131,0,0,0
cpu,4505,0,936,6097164,219,132,131,0,0,0
cpu,4565,0,942,6100284,238,133,132,0,0,0
cpu,4665,0,943,6103390,238,133,133,0,0,0
cpu,4765,0,943,6106497,238,134,133,0,0,0
