total,used,free,shared,buffers,cached
257965,1756,256208,0,19,175
257965,1757,256207,0,19,175
257965,1758,256206,0,19,175
257965,1758,256206,0,19,175
257965,1758,256206,0,19,175
257965,1759,256205,0,19,175
257965,1759,256206,0,19,175
257965,1759,256205,0,19,175
257965,1759,256206,0,19,175
257965,1760,256205,0,19,175
257965,1760,256204,0,19,175
257965,1760,256204,0,19,175
257965,1760,256204,0,19,175
257965,1761,256204,0,19,175
257965,1761,256203,0,19,175
257965,1762,256203,0,19,175
257965,1762,256202,0,19,175
257965,1762,256202,0,19,175
257965,1763,256202,0,19,175
257965,1763,256201,0,19,175
257965,1763,256201,0,19,175
257965,1764,256200,0,19,175
257965,1764,256200,0,19,175
257965,1764,256200,0,19,175
257965,1764,256200,0,19,175
257965,1764,256200,0,19,175
257965,1764,256200,0,19,175
257965,1765,256199,0,19,175
257965,1764,256200,0,19,175
257965,1765,256199,0,19,175
257965,1765,256200,0,19,175
257965,1764,256200,0,19,175
257965,1765,256200,0,19,175
257965,1765,256200,0,19,175
257965,1765,256199,0,19,175
257965,1766,256199,0,19,175
257965,1766,256199,0,19,175
257965,1766,256198,0,19,175
257965,1766,256198,0,19,175
257965,1767,256197,0,19,175
257965,1767,256197,0,19,175
257965,1767,256197,0,19,175
257965,1767,256197,0,19,175
257965,1767,256197,0,19,175
257965,1767,256197,0,19,175
257965,1767,256197,0,19,175
257965,1768,256197,0,19,175
257965,1767,256197,0,19,175
257965,1768,256196,0,19,175
257965,1769,256195,0,19,175
257965,1768,256196,0,19,175
257965,1768,256196,0,19,175
257965,1767,256197,0,19,175
257965,1768,256196,0,19,175
257965,1769,256196,0,19,175
257965,1768,256196,0,19,175
257965,1768,256196,0,19,175
257965,1768,256196,0,19,175
257965,1729,256236,0,5,148
257965,1757,256207,0,9,172
257965,1770,256194,0,9,180
257965,1808,256157,0,9,215
257965,1849,256116,0,9,252
257965,1893,256071,0,9,291
257965,1909,256055,0,9,297
257965,1929,256036,0,9,298
257965,1967,255997,0,9,332
257965,1999,255965,0,9,364
257965,2037,255927,0,9,400
257965,2056,255908,0,10,402
257965,2084,255881,0,10,407
257965,2106,255858,0,10,415
257965,2105,255860,0,10,416
257965,2104,255860,0,10,416
257965,2104,255860,0,10,416
257965,2104,255860,0,10,416
257965,2104,255860,0,10,416
257965,2104,255860,0,10,416
257965,2104,255860,0,10,416
257965,2104,255860,0,10,416
257965,2104,255860,0,10,416
257965,2104,255860,0,10,416
257965,2105,255860,0,10,416
257965,2105,255860,0,10,416
257965,2104,255860,0,10,416
257965,2105,255859,0,10,416
257965,2104,255860,0,10,416
257965,2105,255860,0,10,416
257965,2105,255859,0,10,416
257965,2104,255860,0,10,416
257965,2103,255861,0,10,416
257965,2103,255861,0,10,416
257965,2103,255861,0,10,416
257965,2104,255861,0,10,416
257965,2104,255860,0,10,416
257965,2104,255860,0,10,416
257965,2104,255860,0,10,416
257965,2105,255860,0,10,416
257965,2104,255860,0,10,416
257965,2105,255860,0,10,416
257965,2104,255860,0,10,416
257965,2105,255859,0,10,416
257965,2105,255859,0,10,416
257965,2104,255860,0,10,416
257965,2104,255860,0,10,417
257965,2104,255860,0,10,417
257965,2104,255860,0,10,417
257965,2114,255850,0,10,424
257965,2114,255851,0,10,424
257965,2114,255850,0,10,424
257965,2113,255851,0,10,424
257965,2113,255851,0,10,424
257965,2114,255851,0,10,424
257965,2113,255851,0,10,424
257965,2114,255851,0,10,424
257965,2113,255851,0,10,424
257965,2113,255851,0,10,424
257965,2113,255851,0,10,424
257965,2113,255851,0,10,424
257965,2113,255851,0,10,424
257965,2113,255851,0,10,424
257965,2113,255851,0,10,424
257965,2113,255852,0,10,424
257965,2113,255851,0,10,424
257965,2113,255851,0,10,424
257965,2113,255851,0,10,424
257965,2112,255852,0,10,424
257965,2112,255853,0,10,424
257965,2112,255852,0,10,424
257965,2112,255852,0,10,424
257965,2112,255853,0,10,424
257965,2112,255852,0,10,424
257965,2112,255853,0,10,424
257965,2111,255853,0,10,424
257965,2111,255853,0,10,424
257965,2112,255852,0,10,424
257965,2112,255852,0,10,424
257965,2112,255852,0,10,424
257965,2112,255852,0,10,425
257965,2112,255852,0,10,425
257965,2112,255852,0,10,425
257965,2112,255852,0,10,425
257965,2116,255848,0,11,426
257965,2123,255841,0,11,434
257965,2122,255842,0,11,434
257965,2124,255841,0,11,434
257965,2124,255840,0,11,434
257965,2124,255840,0,11,434
257965,2124,255840,0,11,434
257965,2124,255840,0,11,434
257965,2125,255840,0,11,434
257965,2124,255840,0,11,434
257965,2124,255840,0,11,434
257965,2125,255840,0,11,434
257965,2124,255840,0,11,434
