x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,257,0,563,145198,49,59,22,0,0,0
cpu,259,0,564,148407,49,59,23,0,0,0
cpu,259,0,565,151614,49,60,23,0,0,0
cpu,259,0,566,154821,49,60,23,0,0,0
cpu,260,0,567,158027,49,60,23,0,0,0
cpu,260,0,567,161234,49,60,23,0,0,0
cpu,260,0,568,164442,49,61,23,0,0,0
cpu,260,0,569,167647,49,61,24,0,0,0
cpu,262,0,569,170854,49,61,24,0,0,0
cpu,262,0,570,174061,49,61,24,0,0,0
cpu,262,0,570,177269,49,61,24,0,0,0
cpu,262,0,571,180477,49,61,24,0,0,0
cpu,262,0,571,183685,49,61,24,0,0,0
cpu,263,0,572,186893,49,61,25,0,0,0
cpu,263,0,572,190100,49,61,25,0,0,0
cpu,263,0,573,193307,49,62,25,0,0,0
cpu,263,0,573,196515,49,62,25,0,0,0
cpu,264,0,574,199722,49,62,25,0,0,0
cpu,264,0,574,202929,49,62,26,0,0,0
cpu,264,0,575,206136,49,62,26,0,0,0
cpu,264,0,576,209344,49,63,26,0,0,0
cpu,264,0,576,212550,49,63,26,0,0,0
cpu,265,0,577,215758,49,63,26,0,0,0
cpu,265,0,579,218963,49,64,26,0,0,0
cpu,265,0,579,222171,49,64,27,0,0,0
cpu,265,0,580,225378,49,64,27,0,0,0
cpu,267,0,581,228584,49,64,27,0,0,0
cpu,267,0,582,231792,49,64,27,0,0,0
cpu,267,0,583,234999,49,64,27,0,0,0
cpu,267,0,583,238206,49,65,27,0,0,0
cpu,267,0,584,241414,49,65,28,0,0,0
cpu,267,0,585,244621,49,65,28,0,0,0
cpu,267,0,586,247829,49,65,28,0,0,0
cpu,267,0,586,251035,49,65,28,0,0,0
cpu,267,0,586,254243,49,65,28,0,0,0
cpu,267,0,587,257452,49,66,28,0,0,0
cpu,268,0,587,260660,49,66,28,0,0,0
cpu,268,0,588,263867,49,66,29,0,0,0
cpu,268,0,589,267074,49,66,29,0,0,0
cpu,268,0,589,270281,49,66,29,0,0,0
cpu,268,0,590,273488,49,66,29,0,0,0
cpu,268,0,591,276695,49,66,30,0,0,0
cpu,268,0,591,279903,49,67,30,0,0,0
