total,used,free,shared,buffers,cached
257965,1767,256197,0,18,174
257965,1769,256195,0,18,174
257965,1769,256195,0,18,175
257965,1769,256195,0,18,175
257965,1770,256195,0,18,175
257965,1770,256194,0,18,175
257965,1770,256194,0,18,175
257965,1770,256194,0,18,175
257965,1770,256194,0,18,175
257965,1771,256194,0,18,175
257965,1772,256193,0,18,175
257965,1771,256193,0,18,175
257965,1771,256193,0,18,175
257965,1771,256193,0,18,175
257965,1772,256192,0,18,175
257965,1772,256193,0,18,175
257965,1771,256194,0,18,175
257965,1770,256194,0,18,175
257965,1770,256194,0,18,175
257965,1770,256194,0,18,175
257965,1770,256194,0,18,175
257965,1770,256194,0,18,175
257965,1771,256194,0,18,175
257965,1771,256193,0,18,175
257965,1771,256193,0,18,175
257965,1771,256193,0,18,175
257965,1772,256192,0,18,175
257965,1773,256191,0,18,175
257965,1773,256192,0,18,175
257965,1772,256193,0,18,175
257965,1772,256192,0,18,175
257965,1772,256192,0,18,175
257965,1772,256192,0,18,175
257965,1773,256191,0,18,175
257965,1773,256192,0,18,175
257965,1773,256191,0,18,175
257965,1772,256192,0,18,175
257965,1772,256192,0,18,175
257965,1772,256192,0,18,175
257965,1771,256193,0,18,175
257965,1771,256193,0,18,175
257965,1772,256192,0,18,175
257965,1773,256192,0,18,175
257965,1773,256192,0,18,175
257965,1773,256191,0,18,175
257965,1773,256191,0,18,175
257965,1773,256191,0,18,175
257965,1772,256192,0,18,175
257965,1773,256191,0,18,175
257965,1773,256192,0,18,175
257965,1773,256192,0,18,175
257965,1772,256192,0,18,175
257965,1773,256192,0,18,175
257965,1772,256192,0,18,175
257965,1773,256191,0,18,175
257965,1772,256192,0,18,175
257965,1773,256191,0,18,175
257965,1772,256192,0,18,175
257965,1772,256193,0,18,175
257965,1772,256192,0,18,175
257965,1773,256191,0,18,175
257965,1773,256191,0,18,175
257965,1773,256191,0,18,175
257965,1773,256191,0,18,175
257965,1773,256191,0,18,175
257965,1773,256192,0,18,175
257965,1773,256192,0,18,175
257965,1772,256192,0,18,175
257965,1772,256192,0,18,175
257965,1773,256192,0,18,175
257965,1773,256191,0,18,175
257965,1773,256191,0,18,175
257965,1773,256191,0,18,175
257965,1773,256191,0,18,175
257965,1773,256191,0,18,175
257965,1727,256237,0,5,146
257965,1762,256202,0,9,172
257965,1783,256181,0,9,184
257965,1811,256153,0,9,211
257965,1841,256124,0,9,240
257965,1878,256086,0,9,274
257965,1920,256044,0,9,308
257965,1945,256019,0,9,318
257965,1970,255994,0,10,322
257965,2003,255961,0,10,354
257965,2038,255926,0,10,389
257965,2072,255893,0,10,415
257965,2085,255880,0,10,416
257965,2110,255855,0,10,417
257965,2136,255828,0,10,418
257965,2156,255809,0,10,419
257965,2188,255776,0,10,441
257965,2188,255776,0,10,442
257965,2188,255776,0,10,442
257965,2189,255776,0,10,442
257965,2195,255770,0,10,442
257965,2204,255761,0,10,442
257965,2214,255750,0,10,443
257965,2227,255737,0,10,444
257965,2245,255719,0,10,444
257965,2259,255706,0,10,445
257965,2288,255676,0,10,446
257965,2290,255674,0,10,447
257965,2289,255675,0,10,448
257965,2290,255674,0,10,449
257965,2289,255675,0,10,449
257965,2290,255675,0,10,450
257965,2290,255674,0,10,451
257965,2292,255672,0,10,452
257965,2289,255675,0,10,453
257965,2290,255674,0,10,453
257965,2287,255677,0,10,454
257965,2288,255676,0,10,455
257965,2289,255675,0,10,456
257965,2288,255676,0,10,457
257965,2290,255674,0,10,457
257965,2290,255674,0,10,458
257965,2293,255671,0,10,459
257965,2292,255673,0,10,460
257965,2295,255669,0,10,461
257965,2302,255662,0,10,461
257965,2305,255659,0,10,462
257965,2307,255658,0,10,463
257965,2305,255660,0,10,463
257965,2304,255660,0,10,465
257965,2304,255660,0,10,465
257965,2304,255661,0,10,466
257965,2300,255664,0,10,467
257965,2299,255665,0,10,468
257965,2290,255674,0,10,469
