x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,234,0,574,128243,46,62,23,0,0,0
cpu,236,0,575,131453,46,62,23,0,0,0
cpu,236,0,576,134662,46,63,24,0,0,0
cpu,236,0,576,137868,46,63,24,0,0,0
cpu,238,0,576,141074,46,63,24,0,0,0
cpu,239,0,577,144281,46,63,24,0,0,0
cpu,239,0,578,147487,46,64,24,0,0,0
cpu,240,0,579,150695,46,64,24,0,0,0
cpu,240,0,579,153901,46,64,25,0,0,0
cpu,241,0,580,157107,46,64,25,0,0,0
cpu,241,0,580,160315,46,64,25,0,0,0
cpu,242,0,581,163523,46,64,25,0,0,0
cpu,242,0,581,166730,46,64,26,0,0,0
cpu,242,0,582,169937,46,64,26,0,0,0
cpu,242,0,583,173144,46,65,26,0,0,0
cpu,243,0,583,176352,46,65,26,0,0,0
cpu,243,0,583,179559,46,65,26,0,0,0
cpu,243,0,584,182766,46,65,27,0,0,0
cpu,244,0,584,185973,46,65,27,0,0,0
cpu,244,0,585,189180,46,66,27,0,0,0
cpu,244,0,585,192387,46,66,27,0,0,0
cpu,245,0,586,195595,46,66,28,0,0,0
cpu,245,0,586,198802,46,66,28,0,0,0
cpu,245,0,586,202010,46,66,28,0,0,0
cpu,245,0,587,205216,46,66,28,0,0,0
cpu,245,0,588,208424,46,67,28,0,0,0
cpu,246,0,588,211631,46,67,28,0,0,0
cpu,246,0,589,214842,46,67,28,0,0,0
cpu,246,0,590,218047,46,67,29,0,0,0
cpu,247,0,591,221255,46,67,29,0,0,0
cpu,247,0,591,224461,46,67,29,0,0,0
cpu,247,0,592,227669,46,67,29,0,0,0
cpu,247,0,593,230876,46,68,29,0,0,0
cpu,247,0,593,234084,46,68,29,0,0,0
cpu,247,0,594,237291,46,68,29,0,0,0
cpu,247,0,595,240499,46,68,30,0,0,0
cpu,247,0,595,243705,46,68,30,0,0,0
cpu,248,0,596,246913,46,69,30,0,0,0
cpu,248,0,596,250120,46,69,30,0,0,0
cpu,248,0,596,253327,46,69,31,0,0,0
cpu,248,0,597,256534,46,69,31,0,0,0
cpu,248,0,598,259741,46,69,31,0,0,0
cpu,249,0,598,262949,46,69,31,0,0,0
cpu,249,0,599,266156,46,69,31,0,0,0
cpu,249,0,599,269364,46,70,31,0,0,0
cpu,249,0,600,272571,46,70,32,0,0,0
cpu,250,0,601,275778,46,70,32,0,0,0
cpu,250,0,601,278986,46,70,32,0,0,0
cpu,251,0,602,282191,46,71,32,0,0,0
cpu,251,0,602,285398,46,71,32,0,0,0
cpu,251,0,603,288605,46,71,32,0,0,0
cpu,251,0,604,291813,46,71,32,0,0,0
cpu,252,0,605,295020,46,71,33,0,0,0
cpu,252,0,605,298227,46,71,33,0,0,0
cpu,252,0,605,301434,46,72,33,0,0,0
cpu,252,0,606,304643,46,72,33,0,0,0
cpu,253,0,606,307850,46,72,33,0,0,0
cpu,253,0,607,311060,46,72,33,0,0,0
cpu,253,0,607,314268,46,72,33,0,0,0
cpu,253,0,608,317475,46,72,33,0,0,0
cpu,253,0,609,320682,46,72,34,0,0,0
cpu,253,0,610,323890,46,73,34,0,0,0
cpu,253,0,610,327097,46,73,34,0,0,0
cpu,253,0,610,330304,46,73,34,0,0,0
