total,used,free,shared,buffers,cached
257965,1764,256200,0,18,173
257965,1767,256197,0,18,174
257965,1766,256198,0,18,175
257965,1766,256198,0,18,175
257965,1766,256198,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1768,256196,0,18,175
257965,1768,256196,0,18,175
257965,1768,256196,0,18,175
257965,1769,256196,0,18,175
257965,1768,256196,0,18,175
257965,1768,256196,0,18,175
257965,1768,256196,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1768,256197,0,18,175
257965,1768,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1768,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1768,256196,0,18,175
257965,1768,256197,0,18,175
257965,1768,256196,0,18,175
257965,1768,256197,0,18,175
257965,1768,256196,0,18,175
257965,1768,256196,0,18,175
257965,1768,256196,0,18,175
257965,1768,256196,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1766,256198,0,18,175
257965,1766,256198,0,18,175
257965,1766,256199,0,18,175
257965,1767,256198,0,18,175
257965,1768,256197,0,18,175
257965,1768,256196,0,18,175
257965,1767,256197,0,18,175
257965,1768,256197,0,18,175
257965,1767,256197,0,18,175
257965,1768,256196,0,18,175
257965,1768,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1767,256197,0,18,175
257965,1766,256198,0,18,175
257965,1767,256197,0,18,175
257965,1767,256198,0,18,175
257965,1766,256198,0,18,175
257965,1766,256199,0,18,175
257965,1767,256198,0,18,175
257965,1767,256197,0,18,175
257965,1766,256198,0,18,175
257965,1765,256199,0,18,175
257965,1766,256198,0,18,175
257965,1766,256198,0,18,175
257965,1765,256199,0,18,175
257965,1765,256199,0,18,175
257965,1766,256198,0,18,175
257965,1766,256199,0,18,175
257965,1722,256242,0,5,147
257965,1766,256198,0,9,176
257965,1797,256167,0,9,201
257965,1825,256139,0,9,228
257965,1859,256105,0,9,260
257965,1900,256065,0,9,293
257965,1942,256022,0,9,319
257965,1947,256017,0,9,319
257965,1988,255976,0,9,342
257965,2022,255942,0,9,374
257965,2061,255903,0,9,411
257965,2078,255886,0,9,412
257965,2098,255866,0,9,414
257965,2132,255833,0,10,415
257965,2159,255805,0,10,416
257965,2185,255779,0,10,417
257965,2259,255706,0,10,471
257965,2441,255523,0,10,622
257965,2498,255466,0,10,679
257965,2552,255412,0,10,728
257965,2606,255358,0,10,777
257965,2664,255300,0,10,830
257965,2747,255218,0,10,874
257965,2797,255168,0,10,931
257965,2824,255140,0,10,966
257965,2862,255103,0,10,997
257965,2892,255072,0,10,1027
257965,2935,255029,0,10,1063
257965,2991,254973,0,10,1107
257965,3088,254876,0,10,1168
257965,3118,254847,0,10,1209
257965,3168,254796,0,10,1259
257965,3233,254731,0,10,1313
257965,3311,254653,0,10,1390
257965,3345,254619,0,10,1413
257965,3376,254589,0,10,1430
257965,3464,254500,0,10,1508
257965,3503,254462,0,10,1563
257965,3558,254406,0,10,1614
257965,3618,254346,0,10,1671
257965,3654,254311,0,10,1702
257965,3706,254259,0,10,1731
257965,3759,254205,0,10,1789
257965,3812,254152,0,10,1854
257965,3917,254047,0,10,1924
257965,3965,253999,0,10,1987
257965,3972,253992,0,10,1987
257965,4031,253933,0,10,2009
257965,4070,253894,0,10,2073
257965,4101,253864,0,10,2118
