x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,244,0,563,166513,36,61,22,0,0,0
cpu,249,0,567,214514,36,61,24,0,0,0
cpu,249,0,567,262519,36,62,25,0,0,0
cpu,250,0,568,310524,36,62,26,0,0,0
cpu,251,0,569,358527,36,63,27,0,0,0
cpu,252,0,572,406527,36,63,27,0,0,0
cpu,941,0,929,452994,453,75,80,0,0,0
cpu,942,0,1259,499493,1533,81,161,0,0,0
cpu,943,0,1541,545994,2664,88,236,0,0,0
cpu,945,0,1553,592479,4104,96,259,0,0,0
cpu,946,0,1609,638969,5546,104,282,0,0,0
cpu,947,0,1618,685460,6983,112,306,0,0,0
cpu,950,0,1676,731948,8423,120,329,0,0,0
cpu,951,0,1687,778441,9858,127,353,0,0,0
cpu,952,0,1734,824946,11300,133,371,0,0,0
cpu,953,0,1743,871454,12738,138,390,0,0,0
cpu,954,0,1802,917950,14177,146,411,0,0,0
cpu,955,0,1813,964445,15613,153,434,0,0,0
cpu,958,0,1866,1010933,17052,161,458,0,0,0
cpu,958,0,1880,1057440,18491,167,477,0,0,0
cpu,960,0,1935,1103938,19926,175,499,0,0,0
cpu,961,0,1951,1150429,21359,183,524,0,0,0
cpu,963,0,1997,1196921,22796,191,548,0,0,0
cpu,965,0,2016,1243425,24235,197,567,0,0,0
cpu,965,0,2067,1289927,25681,202,585,0,0,0
cpu,967,0,2088,1336426,27119,208,604,0,0,0
cpu,969,0,2127,1382930,28559,214,622,0,0,0
cpu,970,0,2146,1429435,30000,219,642,0,0,0
cpu,974,0,2291,1475926,31321,227,664,0,0,0
cpu,975,0,2625,1522424,32398,233,746,0,0,0
cpu,976,0,2949,1568927,33481,239,827,0,0,0
cpu,977,0,2984,1615432,34912,245,847,0,0,0
cpu,978,0,2993,1661936,36355,250,865,0,0,0
cpu,980,0,3038,1708440,37794,255,884,0,0,0
cpu,980,0,3046,1754943,39236,261,902,0,0,0
cpu,981,0,3086,1801448,40679,266,920,0,0,0
cpu,982,0,3094,1847948,42115,272,942,0,0,0
cpu,984,0,3171,1894443,43551,281,964,0,0,0
cpu,984,0,3179,1940935,44991,288,987,0,0,0
cpu,985,0,3247,1987433,46430,295,1009,0,0,0
cpu,985,0,3260,2033926,47865,303,1033,0,0,0
cpu,987,0,3311,2080425,49304,309,1053,0,0,0
cpu,988,0,3320,2126922,50744,316,1074,0,0,0
cpu,989,0,3368,2173426,52180,322,1094,0,0,0
cpu,989,0,3377,2219930,53626,327,1113,0,0,0
cpu,991,0,3414,2266432,55065,333,1132,0,0,0
cpu,993,0,3442,2312926,56505,340,1153,0,0,0
cpu,994,0,3465,2359431,57942,346,1173,0,0,0
cpu,994,0,3500,2405933,59388,351,1191,0,0,0
cpu,994,0,3510,2452443,60827,357,1210,0,0,0
cpu,996,0,3553,2498942,62272,363,1228,0,0,0
cpu,1001,0,3938,2545442,63299,370,1302,0,0,0
cpu,1002,0,4269,2591944,64376,376,1382,0,0,0
cpu,1002,0,4341,2638447,65746,381,1413,0,0,0
cpu,1004,0,4400,2684936,67185,389,1437,0,0,0
