total,used,free,shared,buffers,cached
257965,1765,256199,0,18,174
257965,1766,256198,0,18,175
257965,1765,256199,0,18,175
257965,1766,256199,0,18,175
257965,1763,256202,0,18,175
257965,1761,256203,0,18,175
257965,2717,255247,0,9,1028
257965,5184,252780,0,10,3490
257965,7270,250695,0,10,5572
257965,7345,250619,0,11,5647
257965,7420,250545,0,11,5722
257965,7486,250478,0,11,5789
257965,7560,250404,0,11,5863
257965,7633,250331,0,11,5936
257965,7709,250255,0,11,6012
257965,7782,250183,0,11,6084
257965,7855,250109,0,11,6158
257965,7928,250036,0,11,6229
257965,8001,249963,0,11,6302
257965,8073,249892,0,11,6374
257965,8151,249813,0,11,6451
257965,8224,249740,0,11,6524
257965,8248,249717,0,11,6546
257965,8248,249716,0,11,6546
257965,8248,249716,0,11,6546
257965,8250,249714,0,11,6547
257965,8251,249713,0,11,6547
257965,8251,249713,0,11,6547
257965,3226,254738,0,11,1548
257965,5712,252252,0,11,4027
257965,8158,249806,0,11,6467
257965,8238,249726,0,11,6547
257965,8238,249726,0,11,6547
257965,8239,249725,0,11,6547
257965,8240,249724,0,11,6547
257965,8240,249724,0,11,6547
257965,8239,249725,0,11,6547
257965,8239,249725,0,11,6547
257965,8238,249726,0,11,6547
257965,8238,249726,0,11,6547
257965,8239,249726,0,11,6547
257965,8239,249726,0,11,6547
257965,8239,249726,0,11,6547
257965,8239,249726,0,11,6547
257965,8240,249725,0,11,6547
257965,8240,249725,0,11,6547
257965,8241,249724,0,11,6547
257965,8240,249724,0,11,6547
257965,8241,249724,0,11,6547
257965,8241,249723,0,11,6547
257965,8241,249723,0,11,6547
257965,5271,252694,0,11,3587
257965,7757,250207,0,11,6067
257965,8238,249726,0,11,6547
257965,8234,249731,0,11,6547
257965,8234,249730,0,11,6547
257965,8234,249730,0,11,6547
257965,8235,249729,0,11,6547
257965,8236,249728,0,11,6547
257965,8236,249729,0,11,6547
257965,8236,249728,0,11,6547
257965,8236,249729,0,11,6547
257965,8235,249730,0,11,6547
257965,8233,249731,0,11,6547
257965,8233,249731,0,11,6547
257965,8233,249731,0,11,6547
257965,8235,249729,0,11,6547
257965,8234,249730,0,11,6547
257965,8235,249730,0,11,6547
257965,8234,249730,0,11,6547
257965,8234,249730,0,11,6547
257965,8234,249731,0,11,6547
257965,8234,249731,0,11,6547
257965,4863,253102,0,11,3187
257965,7268,250696,0,11,5587
257965,8230,249734,0,11,6547
257965,8230,249734,0,11,6547
257965,8230,249735,0,11,6547
257965,8229,249735,0,11,6547
257965,8229,249736,0,11,6547
257965,8230,249735,0,11,6547
257965,8230,249734,0,11,6547
257965,8231,249733,0,11,6547
257965,8231,249733,0,11,6547
257965,8231,249733,0,11,6547
257965,8231,249733,0,11,6547
257965,8232,249733,0,11,6547
257965,8232,249733,0,11,6547
257965,8232,249732,0,11,6547
257965,8232,249732,0,11,6547
257965,8233,249732,0,11,6547
257965,8233,249731,0,11,6547
257965,8233,249731,0,11,6547
257965,8233,249732,0,11,6547
257965,8232,249732,0,11,6547
257965,4421,253543,0,11,2747
257965,6867,251097,0,11,5187
257965,8231,249734,0,11,6547
257965,8234,249731,0,11,6547
257965,8236,249728,0,11,6547
257965,8236,249728,0,11,6547
257965,8236,249729,0,11,6547
257965,8236,249728,0,11,6547
257965,8237,249728,0,11,6547
257965,8237,249727,0,11,6547
257965,8237,249727,0,11,6547
257965,8237,249727,0,11,6547
257965,8236,249728,0,11,6547
257965,8236,249728,0,11,6547
257965,8236,249729,0,11,6547
257965,8237,249728,0,11,6547
257965,8236,249728,0,11,6547
257965,8236,249728,0,11,6547
257965,8237,249727,0,11,6547
