x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,286,0,586,5381101,60,85,88,0,0,0
cpu,290,0,589,5429100,60,86,90,0,0,0
cpu,290,0,590,5477104,60,87,91,0,0,0
cpu,290,0,591,5525110,60,87,91,0,0,0
cpu,291,0,591,5573114,60,87,92,0,0,0
cpu,292,0,594,5621114,60,88,92,0,0,0
cpu,986,0,953,5667634,413,100,144,0,0,0
cpu,987,0,1400,5714001,1501,108,232,0,0,0
cpu,988,0,1850,5760371,2577,116,320,0,0,0
cpu,991,0,1911,5806884,4002,122,338,0,0,0
cpu,991,0,1925,5853400,5430,127,357,0,0,0
cpu,992,0,1972,5899909,6868,132,374,0,0,0
cpu,993,0,1985,5946414,8308,137,392,0,0,0
cpu,995,0,2035,5992922,9740,142,411,0,0,0
cpu,996,0,2051,6039437,11166,146,428,0,0,0
cpu,997,0,2099,6085949,12597,151,446,0,0,0
cpu,998,0,2113,6132467,14022,157,464,0,0,0
cpu,999,0,2160,6178984,15445,162,483,0,0,0
cpu,1001,0,2176,6225488,16884,167,501,0,0,0
cpu,1003,0,2230,6272001,18308,172,519,0,0,0
cpu,1003,0,2248,6318520,19734,177,538,0,0,0
cpu,1005,0,2294,6365032,21159,182,557,0,0,0
cpu,1006,0,2317,6411545,22588,187,575,0,0,0
cpu,1007,0,2353,6458057,24016,193,594,0,0,0
cpu,1007,0,2382,6504564,25451,198,614,0,0,0
cpu,1010,0,2410,6551074,26877,203,633,0,0,0
cpu,1011,0,2442,6597575,28313,209,653,0,0,0
cpu,1012,0,2465,6644090,29742,214,672,0,0,0
cpu,1013,0,2513,6690599,31175,219,690,0,0,0
cpu,1019,0,2951,6737061,32168,228,774,0,0,0
cpu,1020,0,3400,6783545,33136,236,862,0,0,0
cpu,1021,0,3513,6830022,34489,242,898,0,0,0
cpu,1022,0,3562,6876528,35925,247,917,0,0,0
cpu,1024,0,3578,6923037,37355,252,935,0,0,0
cpu,1026,0,3630,6969546,38790,258,953,0,0,0
cpu,1026,0,3646,7016053,40227,263,973,0,0,0
cpu,1027,0,3699,7062564,41658,267,990,0,0,0
cpu,1029,0,3717,7109069,43094,273,1008,0,0,0
cpu,1030,0,3764,7155575,44533,278,1027,0,0,0
cpu,1031,0,3779,7202094,45959,283,1045,0,0,0
cpu,1032,0,3822,7248600,47396,288,1064,0,0,0
cpu,1034,0,3840,7295110,48830,293,1082,0,0,0
cpu,1035,0,3878,7341623,50262,298,1101,0,0,0
cpu,1036,0,3902,7388139,51689,303,1119,0,0,0
cpu,1036,0,3929,7434653,53121,308,1138,0,0,0
cpu,1038,0,3962,7481160,54552,314,1157,0,0,0
cpu,1039,0,3985,7527673,55985,319,1175,0,0,0
cpu,1040,0,4019,7574190,57414,324,1194,0,0,0
cpu,1041,0,4037,7620709,58837,329,1213,0,0,0
cpu,1043,0,4086,7667209,60274,335,1232,0,0,0
cpu,1044,0,4100,7713726,61703,340,1251,0,0,0
cpu,1047,0,4449,7760113,62894,348,1317,0,0,0
cpu,1048,0,4920,7806347,64081,357,1407,0,0,0
cpu,1052,0,5165,7852660,65478,365,1458,0,0,0
cpu,1052,0,5181,7899153,66913,373,1483,0,0,0
cpu,1054,0,5225,7945654,68346,380,1504,0,0,0
cpu,1054,0,5241,7992162,69778,384,1522,0,0,0
cpu,1057,0,5282,8038662,71220,389,1539,0,0,0
cpu,1057,0,5298,8085175,72651,394,1556,0,0,0
cpu,1058,0,5344,8131681,74089,398,1572,0,0,0
cpu,1058,0,5361,8178186,75532,403,1589,0,0,0
cpu,1061,0,5402,8224699,76961,408,1607,0,0,0
cpu,1062,0,5426,8271199,78401,414,1627,0,0,0
cpu,1063,0,5456,8317716,79828,419,1645,0,0,0
cpu,1064,0,5485,8364221,81269,424,1664,0,0,0
cpu,1066,0,5502,8410729,82703,429,1683,0,0,0
cpu,1066,0,5541,8457236,84143,434,1700,0,0,0
cpu,1067,0,5556,8503754,85570,439,1718,0,0,0
cpu,1068,0,5596,8550276,86994,444,1736,0,0,0
cpu,1069,0,5612,8596785,88429,449,1755,0,0,0
cpu,1070,0,5660,8643296,89862,454,1773,0,0,0
cpu,1070,0,5676,8689783,91317,459,1790,0,0,0
cpu,1071,0,5722,8736301,92740,463,1806,0,0,0
cpu,1077,0,5984,8782728,93968,471,1860,0,0,0
cpu,1078,0,6429,8829212,94939,479,1948,0,0,0
cpu,1079,0,6746,8875638,96111,487,2017,0,0,0
cpu,1081,0,6800,8922154,97538,491,2033,0,0,0
cpu,1082,0,6817,8968656,98977,496,2053,0,0,0
cpu,1083,0,6851,9015171,100409,501,2071,0,0,0
cpu,1083,0,6875,9061678,101849,506,2088,0,0,0
cpu,1085,0,6901,9108192,103281,511,2106,0,0,0
cpu,1087,0,6945,9154703,104708,516,2124,0,0,0
cpu,1087,0,6960,9201217,106140,520,2142,0,0,0
cpu,1088,0,7004,9247705,107598,525,2161,0,0,0
cpu,1089,0,7017,9294224,109025,530,2179,0,0,0
cpu,1091,0,7069,9340731,110458,536,2197,0,0,0
cpu,1092,0,7084,9387236,111899,540,2216,0,0,0
cpu,1093,0,7131,9433748,113332,546,2234,0,0,0
cpu,1094,0,7144,9480261,114764,550,2252,0,0,0
cpu,1096,0,7199,9526771,116196,555,2268,0,0,0
cpu,1096,0,7212,9573279,117635,559,2285,0,0,0
cpu,1097,0,7267,9619787,119069,564,2302,0,0,0
cpu,1097,0,7279,9666291,120511,569,2322,0,0,0
cpu,1100,0,7323,9712808,121933,574,2341,0,0,0
cpu,1100,0,7338,9759314,123371,578,2357,0,0,0
cpu,1104,0,7472,9805801,124701,585,2390,0,0,0
cpu,1105,0,7936,9852041,125896,593,2474,0,0,0
cpu,1108,0,8369,9898307,127109,602,2553,0,0,0
cpu,1109,0,8393,9944828,128532,605,2568,0,0,0
cpu,1110,0,8434,9991348,129951,609,2582,0,0,0
cpu,1111,0,8468,10037865,131376,613,2596,0,0,0
cpu,1112,0,8485,10084384,132797,617,2612,0,0,0
cpu,1112,0,8525,10130907,134219,622,2631,0,0,0
cpu,1113,0,8538,10177423,135646,627,2650,0,0,0
cpu,1114,0,8585,10223907,137109,632,2667,0,0,0
cpu,1116,0,8598,10270414,138544,637,2685,0,0,0
cpu,1118,0,8643,10316923,139979,642,2704,0,0,0
cpu,1120,0,8657,10363433,141413,647,2722,0,0,0
cpu,1120,0,8698,10409950,142844,652,2740,0,0,0
