total,used,free,shared,buffers,cached
257965,1749,256215,0,18,174
257965,1754,256210,0,18,175
257965,1754,256210,0,18,175
257965,1754,256211,0,18,175
257965,1754,256210,0,18,175
257965,1754,256210,0,18,175
257965,2575,255389,0,9,896
257965,2607,255358,0,9,922
257965,2613,255351,0,9,925
257965,2617,255347,0,10,926
257965,2619,255345,0,10,926
257965,2622,255343,0,10,929
257965,2623,255341,0,10,929
257965,2624,255340,0,10,931
257965,2624,255340,0,10,930
257965,2626,255338,0,10,932
257965,2625,255339,0,10,932
257965,2628,255336,0,10,934
257965,2628,255337,0,10,934
257965,2631,255333,0,11,937
257965,2632,255333,0,11,937
257965,2634,255331,0,11,940
257965,2633,255331,0,11,940
257965,2635,255330,0,11,943
257965,2634,255330,0,11,943
257965,2637,255327,0,11,946
257965,2638,255326,0,11,946
257965,2642,255323,0,11,949
257965,2642,255322,0,11,949
257965,3071,254893,0,11,1388
257965,3069,254895,0,11,1391
257965,3077,254888,0,11,1394
257965,3076,254888,0,11,1395
257965,3078,254886,0,11,1394
257965,3078,254887,0,11,1395
257965,3079,254885,0,11,1396
257965,3080,254884,0,11,1395
257965,3081,254883,0,11,1396
257965,3082,254882,0,11,1396
257965,3082,254883,0,11,1397
257965,3083,254881,0,11,1397
257965,3082,254882,0,11,1397
257965,3083,254882,0,11,1397
257965,3084,254880,0,11,1399
257965,3084,254880,0,11,1398
257965,3086,254878,0,11,1399
257965,3086,254878,0,11,1399
257965,3086,254878,0,11,1400
257965,3086,254878,0,11,1400
257965,3090,254874,0,11,1401
257965,3089,254875,0,11,1401
257965,3417,254547,0,11,1735
257965,3418,254546,0,11,1737
257965,3427,254537,0,11,1739
257965,3422,254542,0,11,1739
257965,3422,254542,0,11,1740
257965,3422,254542,0,11,1740
257965,3423,254541,0,11,1740
257965,3424,254541,0,11,1740
257965,3424,254540,0,11,1740
257965,3425,254540,0,11,1740
257965,3428,254537,0,11,1740
257965,3425,254539,0,11,1740
257965,3428,254536,0,11,1741
257965,3427,254537,0,11,1741
257965,3426,254538,0,11,1741
257965,3426,254538,0,11,1741
257965,3426,254538,0,11,1741
257965,3427,254538,0,11,1741
257965,3428,254537,0,11,1741
257965,3428,254537,0,11,1741
257965,3429,254536,0,11,1742
257965,3429,254535,0,11,1743
257965,3587,254378,0,11,1905
257965,3586,254378,0,11,1906
257965,3593,254372,0,11,1909
257965,3592,254372,0,11,1907
257965,3592,254372,0,11,1907
257965,3591,254373,0,11,1907
257965,3591,254373,0,11,1907
257965,3592,254372,0,11,1908
257965,3592,254372,0,11,1907
257965,3592,254372,0,11,1907
257965,3592,254372,0,11,1908
257965,3593,254371,0,11,1908
257965,3594,254371,0,11,1908
257965,3593,254371,0,11,1908
257965,3594,254371,0,11,1908
257965,3594,254371,0,11,1908
257965,3595,254369,0,11,1908
257965,3596,254368,0,11,1908
257965,3595,254369,0,11,1908
257965,3597,254367,0,11,1908
257965,3596,254368,0,11,1908
257965,3596,254368,0,11,1908
257965,3608,254356,0,11,1931
257965,3605,254360,0,11,1931
257965,3607,254357,0,11,1931
257965,3607,254357,0,11,1931
