x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,250,0,568,522656,56,64,28,0,0,0
cpu,251,0,569,525867,56,64,28,0,0,0
cpu,251,0,570,529074,56,64,28,0,0,0
cpu,251,0,571,532282,56,64,28,0,0,0
cpu,251,0,571,535489,56,64,29,0,0,0
cpu,253,0,572,538695,56,64,29,0,0,0
cpu,253,0,573,541902,56,64,29,0,0,0
cpu,253,0,573,545109,56,65,29,0,0,0
cpu,254,0,573,548316,56,65,29,0,0,0
cpu,254,0,574,551525,56,65,29,0,0,0
cpu,254,0,575,554733,56,65,29,0,0,0
cpu,254,0,575,557942,56,65,30,0,0,0
cpu,255,0,576,561148,56,65,30,0,0,0
cpu,257,0,577,564353,56,66,30,0,0,0
cpu,257,0,577,567560,56,66,30,0,0,0
cpu,257,0,578,570767,56,66,30,0,0,0
cpu,257,0,578,573975,56,66,31,0,0,0
cpu,258,0,579,577182,56,66,31,0,0,0
cpu,258,0,579,580390,56,66,31,0,0,0
cpu,258,0,579,583597,56,67,31,0,0,0
cpu,258,0,580,586805,56,67,31,0,0,0
cpu,259,0,580,590011,56,67,31,0,0,0
cpu,259,0,581,593218,56,67,32,0,0,0
cpu,260,0,582,596424,56,67,32,0,0,0
cpu,260,0,583,599631,56,67,32,0,0,0
cpu,260,0,583,602838,56,67,32,0,0,0
cpu,260,0,584,606045,56,68,32,0,0,0
cpu,261,0,584,609253,56,68,32,0,0,0
cpu,261,0,585,612460,56,68,33,0,0,0
cpu,261,0,586,615667,56,68,33,0,0,0
cpu,261,0,586,618874,56,68,33,0,0,0
cpu,261,0,587,622082,56,68,33,0,0,0
cpu,261,0,588,625290,56,69,33,0,0,0
cpu,262,0,588,628497,56,69,33,0,0,0
cpu,262,0,589,631704,56,69,34,0,0,0
cpu,262,0,589,634911,56,69,34,0,0,0
cpu,262,0,590,638117,56,69,34,0,0,0
cpu,262,0,590,641324,56,69,34,0,0,0
cpu,262,0,591,644534,56,69,34,0,0,0
cpu,263,0,591,647742,56,70,34,0,0,0
cpu,263,0,592,650949,56,70,34,0,0,0
cpu,263,0,592,654157,56,70,34,0,0,0
cpu,263,0,593,657364,56,70,35,0,0,0
cpu,263,0,593,660572,56,70,35,0,0,0
cpu,264,0,594,663779,56,71,35,0,0,0
cpu,264,0,594,666986,56,71,35,0,0,0
cpu,264,0,595,670193,56,71,35,0,0,0
cpu,264,0,595,673400,56,71,35,0,0,0
cpu,265,0,596,676608,56,71,35,0,0,0
cpu,265,0,596,679815,56,71,36,0,0,0
cpu,265,0,597,683023,56,71,36,0,0,0
cpu,265,0,597,686231,56,72,36,0,0,0
cpu,265,0,598,689437,56,72,36,0,0,0
cpu,266,0,599,692644,56,72,36,0,0,0
cpu,266,0,599,695852,56,72,37,0,0,0
cpu,266,0,600,699059,56,73,37,0,0,0
cpu,266,0,600,702266,56,73,37,0,0,0
cpu,266,0,601,705473,56,73,37,0,0,0
cpu,266,0,601,708681,56,73,38,0,0,0
cpu,266,0,602,711888,56,73,38,0,0,0
cpu,267,0,603,715096,56,73,38,0,0,0
cpu,267,0,604,718303,56,74,38,0,0,0
cpu,267,0,604,721510,56,74,38,0,0,0
cpu,268,0,604,724717,56,74,38,0,0,0
cpu,268,0,605,727924,56,74,38,0,0,0
cpu,268,0,606,731131,56,74,38,0,0,0
cpu,268,0,606,734339,56,74,38,0,0,0
cpu,268,0,607,737545,56,74,39,0,0,0
cpu,268,0,608,740753,56,74,39,0,0,0
cpu,268,0,608,743961,56,75,39,0,0,0
cpu,268,0,609,747168,56,75,39,0,0,0
cpu,268,0,610,750376,56,75,39,0,0,0
cpu,269,0,610,753583,56,75,39,0,0,0
cpu,269,0,611,756791,56,76,39,0,0,0
cpu,269,0,612,759998,56,76,39,0,0,0
cpu,272,0,640,763188,57,77,40,0,0,0
cpu,301,0,660,766330,83,78,43,0,0,0
cpu,383,0,677,769436,83,79,45,0,0,0
cpu,470,0,688,772540,83,80,49,0,0,0
cpu,552,0,705,775642,83,81,52,0,0,0
cpu,615,0,769,778706,91,83,54,0,0,0
cpu,636,0,794,781813,138,83,60,0,0,0
cpu,708,0,819,784913,142,85,63,0,0,0
cpu,796,0,829,788017,142,86,67,0,0,0
cpu,887,0,835,791122,142,87,70,0,0,0
cpu,977,0,842,794227,142,88,73,0,0,0
cpu,1069,0,848,797332,142,89,77,0,0,0
cpu,1160,0,854,800436,142,90,80,0,0,0
cpu,1248,0,864,803541,142,91,83,0,0,0
cpu,1329,0,883,806645,142,92,85,0,0,0
cpu,1344,0,938,809716,201,93,89,0,0,0
cpu,1358,0,950,812838,258,94,94,0,0,0
cpu,1410,0,992,815945,261,94,94,0,0,0
cpu,1460,0,1023,819064,267,96,96,0,0,0
cpu,1516,0,1062,822172,270,96,96,0,0,0
cpu,3187,0,1179,823554,290,118,98,0,0,0
cpu,6389,0,1180,823554,290,154,101,0,0,0
cpu,9572,0,1187,823554,290,189,103,0,0,0
cpu,12769,0,1188,823554,290,228,105,0,0,0
cpu,15950,0,1193,823554,290,277,108,0,0,0
cpu,19128,0,1194,823554,290,326,111,0,0,0
cpu,22309,0,1199,823554,290,376,114,0,0,0
cpu,25493,0,1201,823554,290,425,117,0,0,0
cpu,28681,0,1203,823554,290,477,121,0,0,0
cpu,31856,0,1209,823554,290,527,125,0,0,0
cpu,35044,0,1211,823555,290,579,128,0,0,0
cpu,37060,0,1244,824690,293,612,133,0,0,0
cpu,38214,0,1367,826581,318,629,137,0,0,0
cpu,41408,0,1369,826581,318,665,139,0,0,0
cpu,44598,0,1376,826581,318,702,141,0,0,0
