total,used,free,shared,buffers,cached
257965,1757,256208,0,18,174
257965,1758,256206,0,18,174
257965,1759,256205,0,18,175
257965,1760,256204,0,18,175
257965,1760,256204,0,18,175
257965,1760,256205,0,18,175
257965,1760,256204,0,18,175
257965,1761,256204,0,18,175
257965,1760,256204,0,18,175
257965,1760,256204,0,18,175
257965,1761,256203,0,18,175
257965,1761,256204,0,18,175
257965,1762,256203,0,18,175
257965,1763,256201,0,18,175
257965,1763,256201,0,18,175
257965,1763,256201,0,18,175
257965,1764,256200,0,18,175
257965,1764,256200,0,18,175
257965,1764,256200,0,18,175
257965,1763,256201,0,18,175
257965,1764,256200,0,18,175
257965,1764,256200,0,18,175
257965,1765,256199,0,18,175
257965,1765,256199,0,18,175
257965,1765,256199,0,18,175
257965,1764,256200,0,18,175
257965,1765,256199,0,18,175
257965,1765,256200,0,18,175
257965,1765,256199,0,18,175
257965,1765,256200,0,18,175
257965,1765,256199,0,18,175
257965,1765,256199,0,18,175
257965,1765,256199,0,18,175
257965,1765,256200,0,18,175
257965,1765,256199,0,18,175
257965,1765,256199,0,18,175
257965,1766,256199,0,18,175
257965,1765,256199,0,18,175
257965,1765,256199,0,18,175
257965,1765,256200,0,18,175
257965,1765,256199,0,18,175
257965,1765,256199,0,18,175
257965,1765,256199,0,18,175
257965,1765,256200,0,18,175
257965,1765,256199,0,18,175
257965,1764,256200,0,18,175
257965,1765,256200,0,18,175
257965,1764,256200,0,18,175
257965,1765,256199,0,18,175
257965,1765,256200,0,18,175
257965,1765,256199,0,18,175
257965,1765,256200,0,18,175
257965,1765,256199,0,18,175
257965,1765,256199,0,18,175
257965,1766,256199,0,18,175
257965,1765,256199,0,18,175
257965,1766,256198,0,18,175
257965,1765,256199,0,18,175
257965,1766,256199,0,18,175
257965,1765,256200,0,18,175
257965,1765,256200,0,18,175
257965,1765,256199,0,18,175
257965,1765,256200,0,18,175
257965,1765,256199,0,18,175
257965,1765,256199,0,18,175
257965,1765,256199,0,18,175
257965,1765,256199,0,18,175
257965,1765,256199,0,18,175
257965,1766,256198,0,18,175
257965,1766,256199,0,18,175
257965,1766,256198,0,18,175
257965,1766,256199,0,18,175
257965,1766,256198,0,18,175
257965,1766,256198,0,18,175
257965,1765,256199,0,18,175
257965,1725,256239,0,5,147
257965,1765,256199,0,9,174
257965,1804,256160,0,9,207
257965,1841,256123,0,9,242
257965,1889,256075,0,9,284
257965,1944,256020,0,9,318
257965,1951,256013,0,9,319
257965,1992,255972,0,10,341
257965,2033,255931,0,10,381
257965,2063,255901,0,10,411
257965,2094,255871,0,10,441
257965,2124,255840,0,10,471
257965,2158,255807,0,10,505
257965,2205,255759,0,10,550
257965,2247,255717,0,10,587
257965,2263,255702,0,10,588
257965,2266,255699,0,10,590
257965,2302,255662,0,10,590
257965,2329,255635,0,10,592
257965,2362,255602,0,10,593
257965,4420,253544,0,10,597
257965,4428,253537,0,10,598
257965,4428,253536,0,10,598
257965,4430,253535,0,10,598
257965,4429,253535,0,10,598
257965,4429,253535,0,10,598
257965,4429,253535,0,10,598
257965,4429,253536,0,10,598
257965,4428,253536,0,10,598
257965,4428,253537,0,10,598
257965,4427,253537,0,10,599
257965,2398,255566,0,10,599
257965,4404,253561,0,10,599
257965,4406,253558,0,10,600
257965,4409,253555,0,10,600
257965,4409,253555,0,10,600
257965,4408,253556,0,10,601
257965,4408,253556,0,10,601
257965,4408,253556,0,10,601
257965,4407,253557,0,10,601
257965,4407,253557,0,10,601
257965,4407,253558,0,10,601
257965,4406,253559,0,10,601
257965,2376,255589,0,10,601
257965,4408,253556,0,10,601
257965,4410,253554,0,10,602
257965,4413,253552,0,10,602
