x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,289,0,601,7083207,46,94,110,0,0,0
cpu,293,0,604,7131211,46,95,111,0,0,0
cpu,294,0,605,7179215,46,95,113,0,0,0
cpu,294,0,606,7227220,46,96,113,0,0,0
cpu,295,0,606,7275224,46,96,114,0,0,0
cpu,295,0,609,7323225,46,96,114,0,0,0
cpu,1262,0,944,7369646,198,119,181,0,0,0
cpu,2103,0,1385,7416194,327,132,204,0,0,0
cpu,2163,0,1478,7463857,492,140,213,0,0,0
cpu,2605,0,1598,7510380,1366,147,233,0,0,0
cpu,4239,0,2035,7555410,2112,175,261,0,0,0
cpu,9258,0,3394,7596348,2170,303,320,0,0,0
cpu,13932,0,4685,7637687,2236,470,366,0,0,0
cpu,18684,0,6000,7678895,2298,628,428,0,0,0
cpu,22418,0,7125,7721322,2505,749,468,0,0,0
cpu,22512,0,7172,7769014,2662,753,475,0,0,0
cpu,22977,0,7306,7815495,3554,761,494,0,0,0
cpu,25320,0,7924,7859726,4133,799,522,0,0,0
cpu,29966,0,9219,7901154,4185,954,567,0,0,0
cpu,34775,0,10551,7942327,4253,1099,609,0,0,0
cpu,39397,0,11826,7983731,4299,1267,657,0,0,0
cpu,42302,0,12674,8027348,4497,1389,699,0,0,0
cpu,42461,0,12742,8074784,4828,1394,707,0,0,0
cpu,42942,0,12872,8121184,5783,1401,728,0,0,0
cpu,45982,0,13728,8164449,6251,1488,765,0,0,0
cpu,51073,0,15120,8205288,6312,1605,815,0,0,0
cpu,56103,0,16472,8246258,6345,1742,867,0,0,0
cpu,61094,0,17840,8287257,6382,1868,919,0,0,0
cpu,63261,0,18503,8331975,6554,1942,948,0,0,0
cpu,63512,0,18572,8379227,6965,1946,958,0,0,0
cpu,63992,0,18713,8425738,7804,1952,977,0,0,0
cpu,68308,0,19831,8467631,8033,2033,1024,0,0,0
cpu,72920,0,21096,8509104,8074,2187,1069,0,0,0
cpu,77603,0,22354,8550518,8106,2334,1113,0,0,0
cpu,82360,0,23621,8591822,8168,2480,1161,0,0,0
cpu,83494,0,23988,8637968,8364,2513,1185,0,0,0
cpu,83850,0,24094,8684833,9015,2520,1200,0,0,0
cpu,84323,0,24233,8731348,9864,2526,1219,0,0,0
cpu,89232,0,25548,8772436,9929,2677,1270,0,0,0
cpu,93935,0,26836,8813754,9992,2843,1327,0,0,0
cpu,98625,0,28117,8855112,10048,3006,1378,0,0,0
cpu,103537,0,29434,8896249,10098,3153,1423,0,0,0
cpu,103695,0,29538,8943810,10249,3161,1432,0,0,0
cpu,104145,0,29663,8990435,11030,3166,1449,0,0,0
cpu,105421,0,29995,9035961,11759,3188,1474,0,0,0
cpu,110515,0,31349,9076844,11811,3317,1532,0,0,0
cpu,115365,0,32676,9118032,11852,3462,1576,0,0,0
cpu,120242,0,33996,9159190,11890,3608,1615,0,0,0
cpu,124280,0,35184,9201226,12068,3734,1661,0,0,0
cpu,124353,0,35226,9248997,12175,3737,1666,0,0,0
cpu,124827,0,35361,9295543,12992,3744,1683,0,0,0
cpu,127068,0,35968,9339849,13582,3802,1716,0,0,0
cpu,131888,0,37308,9381012,13635,3954,1769,0,0,0
cpu,136574,0,38615,9422321,13699,4109,1813,0,0,0
cpu,141481,0,39938,9463424,13761,4244,1858,0,0,0
cpu,144445,0,40796,9506983,13962,4352,1893,0,0,0
cpu,144619,0,40869,9554466,14225,4357,1902,0,0,0
cpu,145091,0,41009,9601000,15059,4363,1919,0,0,0
cpu,148395,0,41925,9643983,15460,4448,1962,0,0,0
cpu,153205,0,43259,9685131,15521,4605,2014,0,0,0
cpu,157896,0,44580,9726435,15552,4769,2080,0,0,0
cpu,162659,0,45909,9767668,15595,4922,2123,0,0,0
cpu,164656,0,46529,9812576,15781,4985,2154,0,0,0
cpu,164938,0,46610,9859761,16220,4989,2164,0,0,0
cpu,165394,0,46743,9906317,17044,4993,2182,0,0,0
cpu,169619,0,47885,9948253,17222,5102,2223,0,0,0
cpu,174336,0,49188,9989555,17275,5256,2267,0,0,0
cpu,178949,0,50488,10030934,17336,5422,2326,0,0,0
cpu,183844,0,51821,10072017,17396,5561,2375,0,0,0
cpu,184740,0,52133,10118511,17569,5598,2391,0,0,0
cpu,185112,0,52239,10165325,18249,5603,2405,0,0,0
cpu,185926,0,52460,10211435,19055,5613,2424,0,0,0
cpu,190822,0,53790,10252520,19119,5763,2468,0,0,0
cpu,195508,0,55089,10293839,19171,5924,2515,0,0,0
cpu,200260,0,56398,10335094,19220,6082,2558,0,0,0
cpu,204991,0,57713,10376378,19316,6209,2614,0,0,0
cpu,205018,0,57774,10424151,19442,6214,2621,0,0,0
cpu,205520,0,57930,10470577,20343,6223,2642,0,0,0
cpu,207420,0,58444,10515242,21016,6265,2673,0,0,0
cpu,212494,0,59850,10556052,21073,6400,2731,0,0,0
cpu,217680,0,61255,10596757,21135,6527,2784,0,0,0
cpu,222457,0,62604,10637942,21196,6680,2831,0,0,0
cpu,225991,0,63637,10680706,21392,6789,2877,0,0,0
cpu,226116,0,63692,10728279,21631,6794,2885,0,0,0
cpu,226589,0,63819,10774679,22585,6802,2907,0,0,0
cpu,229437,0,64594,10818214,23074,6888,2944,0,0,0
cpu,234607,0,66018,10858933,23132,6998,3006,0,0,0
cpu,239382,0,67366,10900123,23194,7153,3059,0,0,0
cpu,244354,0,68737,10941129,23262,7281,3108,0,0,0
cpu,246712,0,69461,10985512,23476,7349,3146,0,0,0
cpu,246937,0,69544,11032740,23916,7354,3157,0,0,0
cpu,247428,0,69680,11079273,24742,7361,3174,0,0,0
cpu,251323,0,70716,11121610,25003,7468,3220,0,0,0
cpu,256391,0,72099,11162532,25068,7586,3270,0,0,0
cpu,261200,0,73425,11203715,25110,7732,3321,0,0,0
cpu,266031,0,74755,11244842,25176,7891,3373,0,0,0
cpu,267295,0,75181,11290787,25367,7941,3395,0,0,0
cpu,267611,0,75272,11337720,26015,7946,3409,0,0,0
cpu,268060,0,75394,11384209,26917,7952,3428,0,0,0
cpu,272806,0,76644,11425518,27085,8045,3490,0,0,0
cpu,277736,0,77995,11466554,27145,8181,3545,0,0,0
cpu,282575,0,79325,11507752,27187,8326,3589,0,0,0
cpu,287525,0,80664,11548807,27231,8458,3638,0,0,0
cpu,288342,0,80946,11595486,27386,8475,3654,0,0,0
cpu,288737,0,81059,11642214,28112,8481,3669,0,0,0
cpu,289697,0,81334,11688036,28972,8500,3691,0,0,0
cpu,294821,0,82713,11728874,29035,8621,3756,0,0,0
cpu,299662,0,84051,11770000,29097,8773,3813,0,0,0
cpu,304563,0,85402,11811054,29164,8914,3873,0,0,0
cpu,309245,0,86669,11852414,29307,9023,3926,0,0,0
cpu,309293,0,86730,11900168,29430,9028,3933,0,0,0
cpu,309787,0,86876,11946593,30348,9037,3952,0,0,0
cpu,311855,0,87435,11991113,30956,9084,3983,0,0,0
cpu,316591,0,88768,12032390,31008,9231,4024,0,0,0
cpu,321813,0,90195,12073108,31058,9332,4092,0,0,0
cpu,326722,0,91574,12114135,31120,9459,4152,0,0,0
cpu,330324,0,92591,12156899,31317,9527,4189,0,0,0
cpu,330468,0,92653,12204383,31617,9533,4197,0,0,0
cpu,330948,0,92787,12250814,32529,9540,4217,0,0,0
cpu,334186,0,93657,12293883,32997,9604,4264,0,0,0
cpu,339158,0,95016,12334888,33047,9731,4323,0,0,0
cpu,343993,0,96332,12376047,33106,9876,4376,0,0,0
cpu,348870,0,97687,12417165,33163,10018,4422,0,0,0
cpu,351172,0,98376,12461669,33369,10082,4452,0,0,0
cpu,351400,0,98441,12508889,33834,10087,4462,0,0,0
cpu,351875,0,98584,12555311,34778,10094,4480,0,0,0
cpu,356153,0,99697,12597215,35022,10184,4521,0,0,0
cpu,360972,0,101022,12638379,35086,10331,4574,0,0,0
cpu,366075,0,102394,12679257,35148,10454,4614,0,0,0
cpu,371214,0,103777,12720082,35205,10571,4672,0,0,0
cpu,372455,0,104162,12766146,35371,10605,4690,0,0,0
cpu,372805,0,104265,12813091,35966,10609,4704,0,0,0
cpu,373253,0,104390,12859661,36790,10616,4721,0,0,0
cpu,378445,0,105798,12900386,36835,10736,4773,0,0,0
cpu,383408,0,107108,12941410,36894,10881,4818,0,0,0
cpu,388165,0,108409,12982677,36952,11043,4864,0,0,0
cpu,392897,0,109733,13023924,37013,11196,4910,0,0,0
cpu,392989,0,109820,13071553,37185,11203,4918,0,0,0
cpu,393432,0,109947,13118078,38051,11211,4936,0,0,0
cpu,394948,0,110349,13163269,38828,11229,4960,0,0,0
cpu,399877,0,111715,13204305,38886,11362,5003,0,0,0
cpu,404841,0,113071,13245309,38947,11495,5054,0,0,0
cpu,409890,0,114444,13286194,39005,11615,5095,0,0,0
cpu,413822,0,115598,13328396,39201,11749,5141,0,0,0
cpu,413899,0,115639,13376140,39333,11753,5146,0,0,0
cpu,414386,0,115785,13422623,40200,11761,5164,0,0,0
cpu,416870,0,116451,13466656,40743,11809,5198,0,0,0
cpu,421608,0,117755,13507925,40790,11971,5249,0,0,0
cpu,426274,0,119031,13549276,40865,12126,5289,0,0,0
cpu,431560,0,120429,13590003,40909,12226,5325,0,0,0
cpu,434677,0,121314,13633421,41100,12302,5362,0,0,0
cpu,434862,0,121392,13680794,41456,12307,5372,0,0,0
cpu,435345,0,121528,13727219,42370,12315,5393,0,0,0
cpu,438998,0,122480,13769873,42751,12389,5424,0,0,0
cpu,443813,0,123801,13811075,42790,12526,5475,0,0,0
cpu,448701,0,125121,13852212,42836,12669,5518,0,0,0
cpu,453442,0,126414,13893506,42879,12824,5560,0,0,0
cpu,455360,0,126985,13938572,43080,12871,5589,0,0,0
cpu,455644,0,127063,13985619,43648,12876,5602,0,0,0
cpu,456124,0,127196,14032035,44592,12883,5624,0,0,0
cpu,460663,0,128419,14073549,44770,12995,5668,0,0,0
cpu,465425,0,129732,14114784,44842,13145,5707,0,0,0
cpu,470340,0,131049,14155911,44881,13284,5758,0,0,0
cpu,475263,0,132373,14196983,44930,13424,5808,0,0,0
cpu,475923,0,132618,14243792,45120,13453,5821,0,0,0
cpu,476329,0,132737,14290554,45825,13459,5837,0,0,0
cpu,477282,0,132976,14336545,46561,13469,5856,0,0,0
cpu,482306,0,134347,14377458,46630,13607,5909,0,0,0
cpu,487063,0,135651,14418699,46690,13771,5957,0,0,0
cpu,491985,0,137003,14459751,46748,13903,6012,0,0,0
cpu,496497,0,138260,14501291,46879,14045,6053,0,0,0
cpu,496543,0,138320,14549049,47003,14050,6059,0,0,0
cpu,497020,0,138450,14595457,47953,14059,6080,0,0,0
cpu,498961,0,138965,14640116,48635,14102,6111,0,0,0
cpu,503534,0,140247,14681554,48698,14283,6151,0,0,0
cpu,508351,0,141561,14722728,48762,14441,6199,0,0,0
cpu,512845,0,142831,14764260,48827,14630,6242,0,0,0
cpu,516315,0,143850,14807127,49032,14743,6287,0,0,0
cpu,516448,0,143908,14854688,49263,14747,6294,0,0,0
cpu,516932,0,144055,14901126,50171,14756,6314,0,0,0
