total,used,free,shared,buffers,cached
257965,1750,256215,0,18,174
257965,1753,256212,0,19,175
257965,1754,256210,0,19,175
257965,1754,256210,0,19,175
257965,1754,256210,0,19,175
257965,1754,256211,0,19,175
257965,2163,255801,0,9,482
257965,2575,255389,0,10,621
257965,2700,255264,0,10,688
257965,3001,254963,0,10,856
257965,3159,254805,0,10,1001
257965,3157,254808,0,10,1002
257965,3159,254805,0,10,1004
257965,3160,254804,0,10,1005
257965,2728,255236,0,10,767
257965,2804,255160,0,10,811
257965,3083,254881,0,10,985
257965,3202,254762,0,10,1090
257965,3203,254762,0,11,1092
257965,3201,254763,0,11,1093
257965,3200,254764,0,11,1094
257965,2822,255142,0,11,858
257965,2934,255030,0,11,923
257965,3198,254766,0,11,1102
257965,3281,254683,0,11,1177
257965,3286,254679,0,11,1178
257965,3289,254675,0,11,1179
257965,3287,254677,0,11,1180
257965,2926,255038,0,11,951
257965,3085,254879,0,11,1040
257965,3326,254638,0,11,1220
257965,3374,254590,0,11,1262
257965,3373,254591,0,11,1264
257965,3373,254591,0,11,1264
257965,3374,254590,0,11,1265
257965,3009,254955,0,11,1036
257965,3252,254713,0,11,1170
257965,3445,254519,0,11,1339
257965,3458,254506,0,11,1350
257965,3458,254506,0,11,1352
257965,3459,254505,0,11,1352
257965,3460,254505,0,11,1353
257965,3094,254871,0,11,1124
257965,3393,254571,0,11,1291
257965,3551,254413,0,11,1436
257965,3548,254417,0,11,1437
257965,3543,254421,0,11,1438
257965,3544,254421,0,11,1439
257965,3167,254797,0,11,1202
257965,3224,254740,0,11,1235
257965,3515,254449,0,11,1416
257965,3632,254332,0,11,1522
257965,3628,254336,0,11,1523
257965,3629,254336,0,11,1524
257965,3622,254343,0,11,1525
257965,3255,254709,0,11,1289
257965,3370,254594,0,11,1355
257965,3633,254331,0,11,1536
257965,3713,254251,0,11,1608
257965,3713,254252,0,11,1609
257965,3712,254252,0,11,1610
257965,3711,254254,0,11,1611
257965,3346,254619,0,11,1381
257965,3541,254423,0,11,1491
257965,3762,254202,0,11,1665
257965,3802,254162,0,11,1699
257965,3802,254162,0,11,1700
257965,3802,254162,0,11,1701
257965,3803,254161,0,11,1702
257965,3437,254527,0,11,1473
257965,3693,254271,0,11,1618
257965,3892,254072,0,11,1784
257965,3888,254076,0,11,1786
257965,3889,254075,0,11,1788
257965,3890,254074,0,11,1788
257965,3427,254537,0,11,1500
257965,3526,254438,0,11,1563
257965,3842,254122,0,11,1747
257965,3981,253983,0,11,1876
257965,3980,253985,0,11,1877
257965,3978,253986,0,11,1878
257965,3978,253986,0,11,1879
257965,3603,254361,0,11,1643
257965,3697,254267,0,11,1696
257965,3935,254030,0,11,1843
257965,4014,253950,0,11,1911
257965,4015,253949,0,11,1911
257965,4012,253952,0,11,1911
257965,4011,253953,0,11,1911
257965,3599,254365,0,11,1675
257965,3774,254190,0,11,1744
257965,3963,254001,0,11,1871
257965,4014,253951,0,11,1911
257965,4010,253955,0,11,1911
257965,4008,253956,0,11,1911
257965,4007,253957,0,11,1911
257965,3638,254326,0,11,1676
257965,3827,254138,0,11,1767
257965,3984,253980,0,11,1895
257965,4016,253948,0,11,1911
257965,4016,253948,0,11,1911
257965,4017,253947,0,11,1911
257965,4018,253947,0,11,1911
257965,3643,254321,0,11,1676
257965,3875,254090,0,11,1791
257965,4019,253946,0,11,1911
257965,4013,253951,0,11,1911
257965,4010,253954,0,11,1911
257965,4009,253956,0,11,1911
257965,3568,254396,0,11,1638
257965,3668,254296,0,11,1688
257965,3921,254043,0,11,1823
257965,4021,253943,0,11,1911
257965,4019,253946,0,11,1911
257965,4018,253946,0,11,1911
257965,4013,253951,0,11,1911
257965,3631,254333,0,11,1668
257965,3713,254251,0,11,1712
257965,3940,254024,0,11,1847
257965,4014,253950,0,11,1911
257965,4009,253955,0,11,1911
257965,4010,253954,0,11,1911
257965,4010,253954,0,11,1911
257965,3641,254323,0,11,1675
257965,3781,254183,0,11,1744
257965,3977,253987,0,11,1879
257965,4023,253942,0,11,1911
257965,4021,253943,0,11,1911
257965,4021,253943,0,11,1911
257965,4019,253945,0,11,1911
257965,3642,254322,0,11,1676
257965,3845,254120,0,11,1775
257965,4011,253953,0,11,1911
257965,4018,253946,0,11,1911
257965,4016,253948,0,11,1911
257965,4015,253949,0,11,1911
257965,4015,253950,0,11,1911
257965,3640,254324,0,11,1676
257965,3895,254069,0,11,1799
257965,4020,253944,0,11,1911
257965,4014,253950,0,11,1911
257965,4015,253950,0,11,1911
257965,4014,253951,0,11,1911
257965,3634,254330,0,11,1669
257965,3686,254278,0,11,1696
257965,3929,254035,0,11,1831
257965,4019,253946,0,11,1911
257965,4016,253948,0,11,1911
257965,4016,253948,0,11,1911
257965,4012,253952,0,11,1911
257965,3636,254328,0,11,1668
257965,3751,254213,0,11,1728
257965,3964,254000,0,11,1863
257965,4020,253944,0,11,1911
257965,4021,253943,0,11,1911
257965,4019,253946,0,11,1911
257965,4018,253946,0,11,1911
257965,3644,254320,0,11,1676
257965,3814,254150,0,11,1759
257965,3993,253971,0,11,1895
257965,4019,253945,0,11,1911
257965,4016,253948,0,11,1911
257965,4019,253945,0,11,1911
257965,4018,253946,0,11,1911
257965,3641,254323,0,11,1676
257965,3875,254089,0,11,1791
257965,4023,253942,0,11,1911
257965,4018,253946,0,11,1911
257965,4014,253950,0,11,1911
257965,4015,253950,0,11,1911
257965,3569,254395,0,11,1639
257965,3655,254309,0,11,1680
257965,3910,254055,0,11,1815
257965,4022,253943,0,11,1911
257965,4020,253945,0,11,1911
257965,4019,253945,0,11,1911
257965,4018,253946,0,11,1911
257965,3637,254327,0,11,1668
257965,3721,254243,0,11,1712
257965,3948,254016,0,11,1847
257965,4018,253946,0,11,1911
257965,4016,253948,0,11,1911
257965,4014,253951,0,11,1911
257965,4014,253950,0,11,1911
257965,3646,254318,0,11,1676
257965,3787,254178,0,11,1744
257965,3980,253985,0,11,1871
257965,4025,253939,0,11,1911
257965,4024,253940,0,11,1911
257965,4023,253942,0,11,1911
257965,4023,253942,0,11,1911
257965,3646,254318,0,11,1676
257965,3818,254146,0,11,1759
257965,3990,253974,0,11,1887
257965,4023,253941,0,11,1911
257965,4022,253943,0,11,1911
257965,4022,253942,0,11,1911
257965,4020,253944,0,11,1911
257965,3649,254315,0,11,1676
257965,3868,254096,0,11,1783
257965,4007,253957,0,11,1903
257965,4022,253942,0,11,1911
257965,4022,253942,0,11,1911
257965,4020,253944,0,11,1911
257965,4020,253944,0,11,1911
257965,3648,254316,0,11,1676
257965,3897,254067,0,11,1799
257965,4026,253938,0,11,1911
257965,4022,253943,0,11,1911
257965,4022,253942,0,11,1911
257965,4021,253943,0,11,1911
257965,3640,254324,0,11,1668
257965,3694,254270,0,11,1696
257965,3933,254031,0,11,1831
257965,4024,253940,0,11,1911
257965,4024,253940,0,11,1911
257965,4023,253941,0,11,1911
257965,4020,253944,0,11,1911
257965,3644,254320,0,11,1669
257965,3761,254203,0,11,1728
257965,3967,253998,0,11,1855
257965,4030,253934,0,11,1911
257965,4034,253931,0,11,1911
257965,4031,253933,0,11,1911
257965,4027,253937,0,11,1911
257965,3649,254315,0,11,1676
257965,3809,254155,0,11,1751
257965,3986,253978,0,11,1879
257965,4026,253938,0,11,1911
257965,4029,253935,0,11,1911
257965,4028,253937,0,11,1911
257965,4024,253941,0,11,1911
257965,3651,254313,0,11,1676
257965,3857,254108,0,11,1775
257965,4014,253950,0,11,1903
257965,4029,253936,0,11,1911
257965,4026,253938,0,11,1911
257965,4023,253941,0,11,1911
257965,4023,253941,0,11,1911
257965,3650,254314,0,11,1676
257965,3899,254065,0,11,1799
257965,4027,253938,0,11,1911
257965,4023,253941,0,11,1911
257965,4026,253938,0,11,1911
257965,4024,253940,0,11,1911
257965,3642,254322,0,11,1668
257965,3696,254268,0,11,1696
257965,3930,254034,0,11,1823
257965,4031,253934,0,11,1911
257965,4029,253936,0,11,1911
257965,4029,253936,0,11,1911
257965,4026,253939,0,11,1911
257965,3646,254318,0,11,1669
257965,3736,254228,0,11,1719
257965,3958,254006,0,11,1855
257965,4030,253934,0,11,1911
257965,4027,253938,0,11,1911
257965,4028,253937,0,11,1911
257965,4026,253939,0,11,1911
257965,3651,254313,0,11,1676
257965,3813,254151,0,11,1752
257965,3996,253969,0,11,1887
257965,4030,253935,0,11,1911
257965,4028,253937,0,11,1911
257965,4025,253939,0,11,1911
257965,4024,253940,0,11,1911
257965,3648,254316,0,11,1676
257965,3869,254095,0,11,1783
257965,4029,253936,0,11,1911
257965,4025,253939,0,11,1911
257965,4022,253942,0,11,1911
257965,4023,253941,0,11,1911
257965,3554,254410,0,11,1619
257965,3654,254310,0,11,1678
257965,3923,254042,0,11,1815
257965,4030,253934,0,11,1911
257965,4024,253940,0,11,1911
257965,4026,253938,0,11,1911
257965,4024,253941,0,11,1911
257965,3642,254323,0,11,1669
257965,3716,254248,0,11,1704
257965,3937,254027,0,11,1831
257965,4025,253939,0,11,1911
257965,4025,253939,0,11,1911
257965,4024,253941,0,11,1911
257965,4023,253942,0,11,1912
257965,3645,254319,0,11,1669
257965,3758,254206,0,11,1727
257965,3963,254001,0,11,1855
257965,4029,253935,0,11,1911
257965,4027,253937,0,11,1911
257965,4025,253940,0,11,1911
257965,4025,253940,0,11,1911
257965,3651,254313,0,11,1676
257965,3805,254159,0,11,1751
257965,3982,253982,0,11,1879
257965,4029,253935,0,11,1911
257965,4026,253939,0,11,1911
257965,4028,253937,0,11,1911
257965,4027,253937,0,11,1911
257965,3653,254312,0,11,1676
257965,3853,254111,0,11,1775
257965,4008,253956,0,11,1903
257965,4026,253938,0,11,1911
257965,4027,253937,0,11,1911
257965,4025,253939,0,11,1911
257965,4024,253941,0,11,1911
257965,3654,254310,0,11,1676
257965,3918,254046,0,11,1807
257965,4031,253933,0,11,1911
257965,4028,253936,0,11,1911
257965,4032,253932,0,11,1911
257965,4030,253935,0,11,1911
257965,3642,254322,0,11,1669
257965,3694,254270,0,11,1697
257965,3937,254027,0,11,1831
257965,4025,253939,0,11,1911
257965,4023,253942,0,11,1911
257965,4021,253943,0,11,1911
257965,4020,253944,0,11,1911
257965,3642,254322,0,11,1669
257965,3757,254207,0,11,1728
257965,3961,254003,0,11,1855
257965,4029,253936,0,11,1911
257965,4032,253933,0,11,1911
257965,4026,253938,0,11,1911
257965,4023,253941,0,11,1911
257965,3651,254313,0,11,1676
257965,3820,254144,0,11,1760
257965,3994,253971,0,11,1887
257965,4028,253936,0,11,1911
257965,4024,253940,0,11,1911
257965,4027,253938,0,11,1911
257965,4028,253936,0,11,1911
257965,3650,254315,0,11,1676
257965,3870,254094,0,11,1783
257965,4031,253933,0,11,1911
257965,4026,253938,0,11,1911
257965,4022,253942,0,11,1911
257965,4025,253939,0,11,1911
257965,3578,254386,0,11,1637
257965,3666,254298,0,11,1680
257965,3922,254042,0,11,1815
257965,4030,253934,0,11,1911
257965,4025,253939,0,11,1911
257965,4022,253942,0,11,1911
257965,4023,253941,0,11,1911
257965,3647,254317,0,11,1669
257965,3717,254247,0,11,1704
257965,3948,254016,0,11,1839
257965,4029,253935,0,11,1911
257965,4029,253935,0,11,1911
257965,4028,253937,0,11,1911
257965,4025,253939,0,11,1911
257965,3652,254312,0,11,1675
257965,3771,254193,0,11,1736
257965,3970,253994,0,11,1863
257965,4026,253938,0,11,1911
257965,4028,253936,0,11,1911
257965,4026,253938,0,11,1911
257965,4023,253941,0,11,1911
257965,3651,254313,0,11,1676
257965,3809,254155,0,11,1751
257965,3994,253971,0,11,1887
257965,4030,253934,0,11,1911
257965,4029,253935,0,11,1911
257965,4026,253938,0,11,1911
257965,4024,253941,0,11,1911
257965,3651,254313,0,11,1676
257965,3871,254094,0,11,1783
257965,4013,253951,0,11,1911
257965,4029,253936,0,11,1911
257965,4029,253935,0,11,1911
257965,4026,253938,0,11,1911
257965,4025,253939,0,11,1911
257965,3650,254314,0,11,1676
257965,3904,254060,0,11,1800
257965,4028,253936,0,11,1911
257965,4024,253940,0,11,1911
257965,4023,253941,0,11,1911
257965,4022,253942,0,11,1911
257965,3644,254320,0,11,1668
257965,3694,254270,0,11,1696
257965,3938,254026,0,11,1831
257965,4029,253936,0,11,1911
257965,4025,253939,0,11,1911
257965,4023,253941,0,11,1911
257965,4024,253940,0,11,1911
257965,3647,254317,0,11,1669
257965,3752,254212,0,11,1719
257965,3965,253999,0,11,1856
