x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,248,0,565,230528,52,59,23,0,0,0
cpu,251,0,566,278532,52,60,24,0,0,0
cpu,252,0,567,326537,52,60,25,0,0,0
cpu,253,0,568,374542,52,61,26,0,0,0
cpu,253,0,570,422545,52,61,27,0,0,0
cpu,254,0,572,470548,52,62,27,0,0,0
cpu,1301,0,917,516912,216,78,82,0,0,0
cpu,2032,0,1357,563551,381,88,102,0,0,0
cpu,2063,0,1421,611297,530,94,109,0,0,0
cpu,8555,0,1696,651570,1343,134,175,0,0,0
cpu,15148,0,1940,691701,2217,174,244,0,0,0
cpu,21644,0,2192,731888,3132,214,316,0,0,0
cpu,28049,0,2439,772148,4062,253,382,0,0,0
cpu,33922,0,2695,812941,5007,289,445,0,0,0
cpu,38221,0,2948,855337,5945,319,490,0,0,0
cpu,41670,0,3191,898616,6882,346,530,0,0,0
cpu,44708,0,3442,942298,7813,372,571,0,0,0
cpu,47466,0,3701,986218,8778,397,611,0,0,0
cpu,50039,0,3927,1030437,9683,419,646,0,0,0
cpu,52532,0,4144,1074697,10632,442,678,0,0,0
cpu,53862,0,4349,1120495,11252,459,704,0,0,0
cpu,56732,0,4497,1165045,11616,480,737,0,0,0
cpu,63345,0,4753,1205180,12461,521,803,0,0,0
cpu,69911,0,5003,1245313,13363,561,870,0,0,0
cpu,76403,0,5259,1285518,14269,601,934,0,0,0
cpu,82856,0,5515,1325735,15188,641,1003,0,0,0
cpu,87941,0,5753,1367382,16095,674,1059,0,0,0
cpu,91988,0,6020,1410025,17020,701,1104,0,0,0
cpu,95178,0,6264,1453531,18005,725,1147,0,0,0
cpu,98008,0,6492,1497399,18969,746,1187,0,0,0
cpu,100605,0,6744,1541438,20010,769,1236,0,0,0
cpu,103202,0,6971,1585436,21068,792,1286,0,0,0
cpu,105682,0,7213,1629570,22143,813,1330,0,0,0
cpu,106477,0,7373,1676084,22624,826,1351,0,0,0
cpu,110728,0,7548,1719059,23125,855,1398,0,0,0
cpu,117265,0,7796,1759156,24052,897,1478,0,0,0
cpu,123717,0,8058,1799358,24994,940,1558,0,0,0
cpu,130157,0,8310,1839533,25943,982,1632,0,0,0
cpu,136559,0,8580,1879714,26936,1024,1721,0,0,0
cpu,141194,0,8814,1921673,27947,1055,1792,0,0,0
cpu,145040,0,9072,1964435,28980,1085,1857,0,0,0
cpu,148100,0,9316,2007902,30080,1108,1913,0,0,0
cpu,150959,0,9572,2051626,31154,1131,1966,0,0,0
cpu,153493,0,9795,2095691,32225,1152,2014,0,0,0
cpu,155984,0,10033,2139820,33295,1175,2054,0,0,0
cpu,158353,0,10253,2184036,34388,1197,2096,0,0,0
cpu,158603,0,10360,2231389,34650,1206,2109,0,0,0
cpu,164301,0,10584,2272591,35368,1243,2172,0,0,0
cpu,170795,0,10850,2312737,36301,1284,2250,0,0,0
cpu,177262,0,11109,2352884,37252,1325,2328,0,0,0
cpu,183624,0,11372,2393146,38211,1366,2403,0,0,0
cpu,189741,0,11625,2433605,39202,1406,2482,0,0,0
cpu,193991,0,11874,2475978,40225,1438,2544,0,0,0
cpu,197602,0,12123,2518964,41247,1465,2602,0,0,0
cpu,200620,0,12377,2562587,42264,1490,2652,0,0,0
cpu,203380,0,12615,2606422,43320,1512,2697,0,0,0
cpu,205943,0,12840,2650495,44379,1535,2745,0,0,0
cpu,208424,0,13070,2694601,45459,1558,2787,0,0,0
cpu,210837,0,13302,2738776,46541,1577,2838,0,0,0
cpu,210921,0,13395,2786392,46734,1585,2848,0,0,0
cpu,216975,0,13648,2827200,47482,1623,2908,0,0,0
cpu,223507,0,13903,2867361,48368,1663,2983,0,0,0
cpu,230003,0,14162,2907512,49293,1705,3064,0,0,0
cpu,236416,0,14416,2947745,50230,1745,3134,0,0,0
cpu,242389,0,14686,2988381,51207,1783,3204,0,0,0
cpu,246846,0,14934,3030540,52211,1815,3263,0,0,0
cpu,250793,0,15217,3073152,53253,1843,3321,0,0,0
cpu,253700,0,15437,3116872,54308,1866,3374,0,0,0
cpu,256520,0,15695,3160629,55367,1889,3423,0,0,0
cpu,259050,0,15925,3204702,56440,1911,3468,0,0,0
cpu,261558,0,16184,3248835,57449,1933,3511,0,0,0
cpu,263325,0,16390,3293938,58300,1953,3545,0,0,0
cpu,264803,0,16482,3340130,58501,1965,3563,0,0,0
cpu,271418,0,16747,3380255,59340,2007,3632,0,0,0
cpu,277927,0,17005,3420407,60262,2048,3705,0,0,0
cpu,284411,0,17261,3460555,61220,2089,3776,0,0,0
cpu,290862,0,17512,3500693,62218,2131,3851,0,0,0
cpu,296471,0,17776,3541711,63186,2168,3915,0,0,0
cpu,300595,0,18037,3584255,64145,2198,3968,0,0,0
cpu,304024,0,18294,3627512,65104,2225,4012,0,0,0
cpu,306850,0,18521,3671399,66072,2247,4049,0,0,0
cpu,309566,0,18785,3715405,67009,2269,4083,0,0,0
cpu,312036,0,19002,3759687,67956,2290,4116,0,0,0
cpu,314653,0,19262,3803755,68934,2314,4157,0,0,0
cpu,315433,0,19410,3850281,69427,2329,4178,0,0,0
cpu,319538,0,19574,3893387,69957,2355,4221,0,0,0
cpu,326085,0,19823,3933537,70838,2396,4295,0,0,0
cpu,332621,0,20082,3973704,71731,2437,4369,0,0,0
cpu,339088,0,20330,4013857,72688,2477,4443,0,0,0
cpu,345473,0,20594,4054111,73635,2517,4519,0,0,0
cpu,350355,0,20843,4095932,74546,2548,4574,0,0,0
cpu,354597,0,21106,4138435,75448,2575,4618,0,0,0
cpu,357603,0,21351,4182132,76396,2597,4654,0,0,0
cpu,360435,0,21574,4226091,77323,2613,4687,0,0,0
cpu,363096,0,21843,4270171,78221,2629,4721,0,0,0
cpu,365624,0,22076,4314425,79157,2644,4754,0,0,0
cpu,368061,0,22302,4358754,80062,2665,4788,0,0,0
cpu,368968,0,22469,4405153,80562,2680,4810,0,0,0
cpu,372824,0,22626,4448539,81049,2707,4856,0,0,0
cpu,379409,0,22889,4488693,81894,2748,4933,0,0,0
cpu,385904,0,23142,4528867,82807,2789,5005,0,0,0
cpu,392335,0,23414,4569125,83716,2828,5069,0,0,0
cpu,398718,0,23660,4609404,84648,2866,5135,0,0,0
cpu,403568,0,23906,4651247,85604,2898,5190,0,0,0
cpu,407639,0,24183,4693783,86586,2927,5241,0,0,0
cpu,410891,0,24438,4737211,87575,2952,5283,0,0,0
cpu,413832,0,24694,4780925,88545,2977,5327,0,0,0
cpu,416442,0,24927,4824956,89603,3000,5369,0,0,0
cpu,419011,0,25159,4868945,90704,3023,5411,0,0,0
cpu,421279,0,25398,4913290,91787,3043,5454,0,0,0
cpu,422173,0,25555,4959620,92353,3058,5479,0,0,0
cpu,426070,0,25725,5002992,92841,3084,5515,0,0,0
cpu,432581,0,25977,5043215,93685,3124,5579,0,0,0
cpu,439034,0,26232,5083459,94596,3164,5642,0,0,0
cpu,445482,0,26482,5123706,95502,3202,5702,0,0,0
cpu,451909,0,26744,5163960,96436,3241,5763,0,0,0
cpu,456601,0,26974,5205984,97367,3272,5810,0,0,0
cpu,460511,0,27232,5248824,98278,3294,5850,0,0,0
cpu,463627,0,27470,5292480,99178,3315,5885,0,0,0
cpu,466459,0,27716,5336450,100077,3333,5919,0,0,0
cpu,469064,0,27942,5380604,101007,3348,5950,0,0,0
cpu,471633,0,28183,5424820,101924,3363,5983,0,0,0
cpu,474135,0,28417,5469076,102847,3379,6016,0,0,0
cpu,474590,0,28530,5516160,103154,3390,6030,0,0,0
cpu,479614,0,28724,5558144,103814,3423,6087,0,0,0
cpu,486210,0,28975,5598249,104706,3464,6164,0,0,0
cpu,492698,0,29231,5638392,105656,3507,6244,0,0,0
cpu,499118,0,29490,5678605,106616,3547,6316,0,0,0
cpu,505467,0,29733,5718892,107592,3587,6389,0,0,0
cpu,510281,0,29991,5760663,108623,3621,6452,0,0,0
cpu,514345,0,30267,5803213,109607,3651,6507,0,0,0
cpu,517410,0,30502,5846774,110645,3677,6554,0,0,0
cpu,520343,0,30766,5890432,111678,3701,6610,0,0,0
cpu,522944,0,30983,5934469,112722,3723,6659,0,0,0
cpu,525485,0,31248,5978567,113721,3747,6706,0,0,0
cpu,527838,0,31457,6022848,114786,3768,6748,0,0,0
cpu,528015,0,31560,6070326,115013,3776,6761,0,0,0
cpu,533855,0,31795,6111360,115747,3815,6823,0,0,0
cpu,540391,0,32058,6151499,116640,3857,6904,0,0,0
cpu,546826,0,32312,6191745,117541,3900,6982,0,0,0
cpu,553221,0,32569,6231974,118497,3942,7071,0,0,0
cpu,559307,0,32836,6272477,119478,3985,7147,0,0,0
cpu,563574,0,33079,6314811,120514,4018,7211,0,0,0
cpu,567316,0,33345,6357640,121542,4049,7272,0,0,0
cpu,570372,0,33582,6401242,122547,4073,7325,0,0,0
cpu,573143,0,33827,6445165,123520,4096,7365,0,0,0
cpu,575710,0,34080,6489260,124526,4119,7404,0,0,0
cpu,578153,0,34326,6533527,125484,4139,7440,0,0,0
cpu,580028,0,34555,6578490,126346,4158,7474,0,0,0
cpu,581266,0,34636,6624965,126525,4169,7489,0,0,0
cpu,587919,0,34899,6665055,127385,4210,7558,0,0,0
cpu,594443,0,35155,6705217,128270,4250,7636,0,0,0
cpu,600871,0,35411,6745429,129210,4293,7712,0,0,0
cpu,607275,0,35668,6785603,130211,4335,7791,0,0,0
cpu,612678,0,35914,6826821,131209,4373,7858,0,0,0
cpu,617062,0,36180,6868999,132232,4405,7929,0,0,0
cpu,620706,0,36474,6911897,133296,4436,7981,0,0,0
cpu,623542,0,36695,6955652,134364,4460,8032,0,0,0
cpu,626388,0,36968,6999394,135410,4481,8086,0,0,0
cpu,628866,0,37186,7043478,136524,4504,8134,0,0,0
cpu,631416,0,37447,7087535,137582,4527,8174,0,0,0
cpu,631803,0,37564,7134681,137896,4537,8189,0,0,0
cpu,637142,0,37770,7176409,138510,4570,8239,0,0,0
cpu,643617,0,38020,7216657,139375,4608,8299,0,0,0
cpu,650128,0,38276,7256859,140275,4647,8364,0,0,0
cpu,656529,0,38525,7297131,141199,4686,8429,0,0,0
cpu,662873,0,38776,7337469,142123,4724,8496,0,0,0
cpu,667358,0,39030,7379597,143107,4754,8558,0,0,0
cpu,671253,0,39282,7422322,144117,4783,8622,0,0,0
cpu,674314,0,39545,7465867,145134,4807,8665,0,0,0
cpu,676959,0,39785,7509797,146237,4831,8714,0,0,0
cpu,679607,0,40020,7553747,147293,4854,8754,0,0,0
cpu,682099,0,40269,7597869,148362,4876,8801,0,0,0
cpu,684460,0,40509,7642142,149381,4898,8847,0,0,0
cpu,684648,0,40613,7689607,149609,4906,8859,0,0,0
cpu,690441,0,40840,7730699,150333,4943,8920,0,0,0
cpu,696918,0,41106,7770967,151180,4983,8993,0,0,0
cpu,703380,0,41353,7811186,152076,5023,9067,0,0,0
cpu,709871,0,41607,7851391,152977,5063,9140,0,0,0
cpu,715944,0,41864,7891946,153919,5102,9216,0,0,0
cpu,720302,0,42117,7934254,154889,5133,9271,0,0,0
cpu,724013,0,42389,7977166,155860,5160,9318,0,0,0
cpu,727038,0,42617,8020839,156852,5184,9364,0,0,0
cpu,729789,0,42861,8064685,157886,5208,9407,0,0,0
cpu,732342,0,43106,8108732,158969,5230,9456,0,0,0
cpu,734740,0,43339,8152945,160015,5252,9500,0,0,0
cpu,737108,0,43550,8197214,161096,5272,9551,0,0,0
cpu,737137,0,43632,8244908,161277,5279,9560,0,0,0
cpu,743440,0,43891,8285398,162070,5321,9632,0,0,0
cpu,749986,0,44140,8325543,162957,5362,9707,0,0,0
cpu,756450,0,44405,8365753,163866,5404,9786,0,0,0
cpu,762902,0,44653,8405986,164764,5444,9857,0,0,0
cpu,768966,0,44918,8446620,165678,5483,9921,0,0,0
