total,used,free,shared,buffers,cached
257965,1762,256202,0,18,174
257965,1763,256201,0,18,175
257965,1764,256201,0,18,175
257965,1762,256202,0,18,175
257965,1762,256203,0,18,175
257965,1760,256204,0,19,175
257965,2277,255687,0,8,573
257965,2668,255297,0,10,665
257965,2773,255191,0,11,727
257965,2946,255018,0,11,824
257965,3046,254919,0,11,894
257965,3139,254825,0,11,966
257965,3237,254727,0,11,1039
257965,3318,254647,0,11,1108
257965,3390,254574,0,11,1182
257965,3474,254490,0,11,1263
257965,3565,254399,0,11,1352
257965,3649,254316,0,11,1436
257965,3742,254222,0,11,1528
257965,3824,254141,0,11,1610
257965,3485,254479,0,11,1483
257965,3578,254387,0,11,1529
257965,3693,254271,0,11,1608
257965,3796,254168,0,11,1687
257965,3881,254083,0,11,1748
257965,3976,253989,0,11,1824
257965,4003,253961,0,11,1848
257965,4020,253945,0,11,1864
257965,4028,253936,0,11,1872
257965,4027,253937,0,11,1872
257965,4036,253928,0,11,1880
257965,4045,253919,0,11,1888
257965,4045,253919,0,11,1888
257965,3715,254249,0,11,1710
257965,3808,254156,0,11,1744
257965,3870,254095,0,11,1776
257965,3920,254044,0,11,1800
257965,3971,253993,0,11,1824
257965,3999,253965,0,11,1840
257965,4019,253946,0,11,1856
257965,4026,253938,0,11,1864
257965,4034,253930,0,11,1872
257965,4044,253920,0,11,1880
257965,4044,253920,0,11,1880
257965,4054,253910,0,11,1888
257965,4053,253911,0,11,1888
257965,3710,254254,0,11,1710
257965,3818,254146,0,11,1752
257965,3879,254085,0,11,1784
257965,3927,254038,0,11,1809
257965,3962,254003,0,11,1825
257965,3989,253975,0,11,1841
257965,4008,253956,0,11,1857
257965,4017,253947,0,11,1865
257965,4020,253944,0,11,1873
257965,4028,253936,0,11,1881
257965,4028,253936,0,11,1881
257965,4035,253929,0,11,1889
257965,4043,253921,0,11,1897
257965,3704,254260,0,11,1710
257965,3814,254150,0,11,1753
257965,3874,254090,0,11,1785
257965,3921,254043,0,11,1809
257965,3971,253993,0,11,1833
257965,3996,253968,0,11,1849
257965,4002,253962,0,11,1857
257965,4011,253953,0,11,1865
257965,4017,253947,0,11,1873
257965,4025,253939,0,11,1881
257965,4029,253935,0,11,1881
257965,4037,253927,0,11,1889
257965,3697,254268,0,11,1703
257965,3759,254206,0,11,1729
257965,3838,254126,0,11,1769
257965,3889,254076,0,11,1793
257965,3938,254027,0,11,1817
257965,3971,253994,0,11,1833
257965,3992,253973,0,11,1849
