x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,292,0,616,7475311,32,95,108,0,0,0
cpu,292,0,616,7478523,32,95,108,0,0,0
cpu,293,0,616,7481732,32,96,109,0,0,0
cpu,293,0,617,7484943,32,96,109,0,0,0
cpu,293,0,617,7488150,32,96,109,0,0,0
cpu,293,0,617,7491362,32,96,109,0,0,0
cpu,294,0,618,7494569,32,96,109,0,0,0
cpu,294,0,618,7497781,32,96,110,0,0,0
cpu,295,0,618,7500989,32,97,110,0,0,0
cpu,295,0,619,7504200,32,97,110,0,0,0
cpu,295,0,619,7507408,32,97,110,0,0,0
cpu,295,0,619,7510619,32,97,110,0,0,0
cpu,295,0,620,7513827,32,97,110,0,0,0
cpu,296,0,621,7517035,32,97,110,0,0,0
cpu,296,0,621,7520243,32,97,111,0,0,0
cpu,296,0,621,7523454,32,97,111,0,0,0
cpu,297,0,622,7526664,32,97,111,0,0,0
cpu,297,0,622,7529874,32,97,111,0,0,0
cpu,297,0,622,7533081,32,98,111,0,0,0
cpu,297,0,623,7536292,32,98,111,0,0,0
cpu,297,0,623,7539500,32,98,111,0,0,0
cpu,297,0,623,7542710,32,98,111,0,0,0
cpu,297,0,624,7545922,32,98,112,0,0,0
cpu,297,0,624,7549131,32,98,112,0,0,0
cpu,297,0,624,7552339,32,98,112,0,0,0
cpu,298,0,625,7555551,32,98,112,0,0,0
cpu,298,0,625,7558760,32,98,112,0,0,0
cpu,298,0,625,7561972,32,98,112,0,0,0
cpu,298,0,626,7565179,32,98,112,0,0,0
cpu,298,0,626,7568391,32,99,112,0,0,0
cpu,298,0,626,7571599,32,99,112,0,0,0
cpu,298,0,627,7574811,32,99,113,0,0,0
cpu,298,0,627,7578019,32,99,113,0,0,0
cpu,298,0,627,7581231,32,99,113,0,0,0
cpu,298,0,627,7584439,32,99,113,0,0,0
cpu,299,0,628,7587651,32,99,113,0,0,0
cpu,299,0,628,7590860,32,99,113,0,0,0
cpu,299,0,628,7594072,32,99,113,0,0,0
cpu,299,0,629,7597280,32,99,113,0,0,0
cpu,299,0,629,7600489,32,100,113,0,0,0
cpu,299,0,629,7603697,32,100,113,0,0,0
cpu,299,0,630,7606905,32,100,114,0,0,0
cpu,299,0,630,7610115,32,100,114,0,0,0
cpu,299,0,630,7613326,32,100,114,0,0,0
cpu,300,0,631,7616535,32,100,114,0,0,0
cpu,300,0,631,7619746,32,100,114,0,0,0
cpu,300,0,631,7622955,32,100,114,0,0,0
cpu,300,0,632,7626166,32,100,114,0,0,0
cpu,300,0,632,7629374,32,101,114,0,0,0
cpu,300,0,632,7632585,32,101,114,0,0,0
cpu,300,0,632,7635793,32,101,115,0,0,0
cpu,300,0,633,7639002,32,101,115,0,0,0
cpu,301,0,633,7642212,32,101,115,0,0,0
cpu,301,0,633,7645424,32,101,115,0,0,0
cpu,301,0,634,7648633,32,101,115,0,0,0
cpu,301,0,634,7651844,32,101,115,0,0,0
