
x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,343,0,715,12649031,46,139,184,0,0,0
cpu,344,0,715,12652237,46,139,184,0,0,0
cpu,344,0,716,12655449,46,139,184,0,0,0
cpu,344,0,716,12658659,46,139,184,0,0,0
cpu,344,0,716,12661871,46,139,184,0,0,0
cpu,344,0,717,12665081,46,139,184,0,0,0
cpu,345,0,717,12668291,46,139,184,0,0,0
cpu,346,0,718,12671500,46,139,184,0,0,0
cpu,346,0,718,12674715,46,139,185,0,0,0
cpu,346,0,718,12677922,46,140,185,0,0,0
cpu,346,0,719,12681135,46,140,185,0,0,0
cpu,346,0,719,12684343,46,140,185,0,0,0
cpu,346,0,719,12687555,46,140,185,0,0,0
cpu,346,0,720,12690765,46,140,185,0,0,0
cpu,346,0,720,12693975,46,140,186,0,0,0
cpu,346,0,720,12697186,46,140,186,0,0,0
cpu,347,0,721,12700400,46,140,186,0,0,0
cpu,347,0,721,12703608,46,140,186,0,0,0
cpu,348,0,722,12706817,46,140,186,0,0,0
cpu,348,0,722,12710032,46,140,186,0,0,0
cpu,348,0,722,12713239,46,140,186,0,0,0
cpu,349,0,722,12716450,46,140,186,0,0,0
cpu,349,0,723,12719662,46,141,186,0,0,0
cpu,349,0,723,12722871,46,141,186,0,0,0
cpu,349,0,724,12726083,46,141,187,0,0,0
cpu,349,0,724,12729294,46,141,187,0,0,0
cpu,349,0,724,12732508,46,141,187,0,0,0
cpu,349,0,724,12735716,46,141,187,0,0,0
cpu,349,0,725,12738926,46,141,187,0,0,0
cpu,349,0,725,12742136,46,142,187,0,0,0
cpu,354,0,754,12745247,113,143,188,0,0,0
cpu,395,0,778,12748373,134,144,190,0,0,0
cpu,482,0,789,12751478,134,145,193,0,0,0
cpu,568,0,799,12754584,134,146,197,0,0,0
cpu,651,0,814,12757690,134,147,201,0,0,0
cpu,728,0,839,12760794,134,149,204,0,0,0
cpu,745,0,899,12763872,178,150,210,0,0,0
cpu,800,0,923,12766987,191,151,212,0,0,0
cpu,885,0,935,12770092,191,151,217,0,0,0
cpu,971,0,947,12773200,191,152,220,0,0,0
cpu,999,0,979,12776310,226,153,225,0,0,0
cpu,1056,0,1015,12779420,229,154,225,0,0,0
cpu,1111,0,1050,12782535,236,154,226,0,0,0
cpu,1132,0,1073,12785559,368,157,228,0,0,0
cpu,1136,0,1087,12788372,735,158,231,0,0,0
cpu,1147,0,1108,12791198,1079,160,235,0,0,0
cpu,1155,0,1126,12794105,1346,162,238,0,0,0
cpu,1165,0,1145,12797029,1596,163,241,0,0,0
cpu,1175,0,1166,12799887,1907,165,244,0,0,0
cpu,1180,0,1183,12802788,2183,167,248,0,0,0
cpu,1190,0,1205,12805700,2438,169,252,0,0,0
cpu,1199,0,1225,12808569,2740,171,255,0,0,0
cpu,1204,0,1240,12811409,3083,172,257,0,0,0
cpu,1212,0,1260,12814304,3364,174,261,0,0,0
cpu,1220,0,1278,12817262,3581,175,264,0,0,0
cpu,1228,0,1297,12820132,3883,177,267,0,0,0
cpu,1237,0,1316,12823025,4162,179,271,0,0,0
cpu,1247,0,1332,12825874,4489,180,273,0,0,0
cpu,1253,0,1350,12828760,4776,182,277,0,0,0
cpu,1264,0,1368,12831577,5130,184,281,0,0,0
cpu,1270,0,1385,12834490,5394,186,285,0,0,0
cpu,1279,0,1404,12837413,5643,188,288,0,0,0
cpu,1286,0,1422,12840261,5967,190,292,0,0,0
cpu,1296,0,1441,12843174,6227,192,295,0,0,0
cpu,1301,0,1460,12845989,6590,193,298,0,0,0
cpu,1308,0,1475,12848733,7026,194,301,0,0,0
cpu,1318,0,1493,12851642,7292,196,305,0,0,0
cpu,1327,0,1510,12854539,7568,198,309,0,0,0
cpu,1338,0,1532,12857373,7901,199,312,0,0,0
cpu,1344,0,1544,12860326,8132,201,316,0,0,0
cpu,1352,0,1559,12863218,8414,202,318,0,0,0
cpu,1360,0,1575,12866090,8719,204,322,0,0,0
cpu,1368,0,1595,12868988,8990,206,326,0,0,0
cpu,1378,0,1615,12871949,9198,208,329,0,0,0
cpu,1386,0,1637,12874789,9529,210,333,0,0,0
cpu,1393,0,1655,12877645,9848,212,337,0,0,0
cpu,1404,0,1677,12880475,10186,213,341,0,0,0
cpu,1415,0,1698,12883435,10393,216,345,0,0,0
cpu,1424,0,1719,12886365,10638,217,349,0,0,0
cpu,1432,0,1738,12889273,10900,220,354,0,0,0
cpu,1442,0,1758,12892140,11206,221,358,0,0,0
cpu,1447,0,1776,12895099,11425,223,361,0,0,0
cpu,1457,0,1796,12898030,11663,225,365,0,0,0
cpu,1465,0,1818,12900934,11932,226,370,0,0,0
cpu,1475,0,1844,12903882,12145,229,374,0,0,0
cpu,1482,0,1861,12906697,12505,231,379,0,0,0
cpu,1493,0,1886,12909619,12747,233,383,0,0,0
cpu,1499,0,1905,12912542,12996,235,387,0,0,0
cpu,1509,0,1927,12915481,13222,237,392,0,0,0
cpu,1516,0,1944,12918383,13495,239,396,0,0,0
cpu,1527,0,1966,12921346,13698,241,400,0,0,0
cpu,1533,0,1986,12924254,13962,243,405,0,0,0
cpu,1543,0,2009,12927187,14195,245,409,0,0,0
cpu,1552,0,2032,12930149,14399,247,413,0,0,0
cpu,1560,0,2055,12933106,14608,249,418,0,0,0
cpu,1564,0,2076,12936053,14835,251,422,0,0,0
cpu,1573,0,2098,12939025,15032,253,426,0,0,0
cpu,1584,0,2122,12941977,15244,255,431,0,0,0
cpu,1591,0,2144,12944934,15458,257,435,0,0,0
cpu,1601,0,2170,12947862,15693,260,440,0,0,0
cpu,1609,0,2190,12950807,15918,261,444,0,0,0
cpu,1617,0,2209,12953714,16183,263,449,0,0,0
cpu,1626,0,2230,12956651,16415,265,453,0,0,0
cpu,1634,0,2250,12959587,16650,267,457,0,0,0
cpu,1645,0,2274,12962615,16784,269,463,0,0,0
cpu,1645,0,2275,12965822,16784,269,463,0,0,0
cpu,1645,0,2275,12969029,16784,270,463,0,0,0
cpu,1645,0,2276,12972236,16784,270,464,0,0,0
cpu,1645,0,2276,12975446,16784,270,464,0,0,0
cpu,1647,0,2277,12978652,16784,270,464,0,0,0
cpu,1647,0,2277,12981859,16784,271,464,0,0,0
cpu,1647,0,2278,12985066,16784,271,464,0,0,0
cpu,1647,0,2278,12988275,16784,271,465,0,0,0
cpu,1648,0,2279,12991483,16784,271,465,0,0,0
cpu,1648,0,2279,12994690,16784,272,465,0,0,0
cpu,1648,0,2280,12997898,16784,272,465,0,0,0
cpu,1648,0,2280,13001105,16784,272,466,0,0,0
cpu,1649,0,2281,13004315,16784,272,466,0,0,0
cpu,1649,0,2281,13007521,16784,272,466,0,0,0
cpu,1649,0,2281,13010729,16784,272,466,0,0,0
cpu,1649,0,2282,13013936,16784,273,466,0,0,0
cpu,1649,0,2282,13017143,16784,273,467,0,0,0
cpu,1649,0,2283,13020354,16784,273,467,0,0,0
cpu,1649,0,2283,13023562,16784,273,467,0,0,0
cpu,1650,0,2284,13026770,16784,274,467,0,0,0
cpu,1650,0,2285,13029977,16784,274,467,0,0,0
cpu,1650,0,2285,13033185,16784,274,467,0,0,0
cpu,1650,0,2286,13036392,16784,274,468,0,0,0
cpu,1650,0,2287,13039602,16784,274,468,0,0,0
cpu,1650,0,2287,13042810,16784,274,468,0,0,0
cpu,1650,0,2287,13046019,16784,275,468,0,0,0
cpu,1650,0,2288,13049226,16784,275,468,0,0,0
cpu,1650,0,2288,13052436,16784,275,468,0,0,0
cpu,1650,0,2289,13055644,16784,275,468,0,0,0
cpu,1650,0,2292,13058838,16797,276,469,0,0,0
cpu,1650,0,2293,13062046,16797,276,469,0,0,0
cpu,1651,0,2293,13065258,16797,276,470,0,0,0
cpu,1651,0,2293,13068465,16797,276,470,0,0,0
cpu,1652,0,2295,13071671,16797,277,470,0,0,0
cpu,1652,0,2296,13074878,16797,277,471,0,0,0
cpu,1652,0,2296,13078087,16797,277,471,0,0,0
cpu,1653,0,2297,13081295,16797,277,471,0,0,0
cpu,1653,0,2298,13084502,16797,278,471,0,0,0
cpu,1653,0,2298,13087709,16797,278,471,0,0,0
cpu,1653,0,2299,13090916,16797,278,472,0,0,0
cpu,1653,0,2299,13094125,16797,279,472,0,0,0
cpu,1653,0,2300,13097334,16797,279,472,0,0,0
cpu,1653,0,2300,13100542,16797,279,472,0,0,0
cpu,1654,0,2301,13103749,16797,279,472,0,0,0
cpu,1654,0,2301,13106957,16797,279,472,0,0,0
cpu,1654,0,2302,13110164,16797,279,472,0,0,0
cpu,1654,0,2302,13113374,16797,280,473,0,0,0
cpu,1654,0,2303,13116585,16797,280,473,0,0,0
cpu,1654,0,2303,13119793,16797,280,473,0,0,0
cpu,1654,0,2303,13123001,16797,280,473,0,0,0
cpu,1655,0,2304,13126208,16797,281,473,0,0,0
cpu,1655,0,2304,13129416,16797,281,473,0,0,0
cpu,1655,0,2305,13132626,16797,281,473,0,0,0
cpu,1655,0,2305,13135837,16797,281,474,0,0,0
cpu,1655,0,2306,13139046,16797,281,474,0,0,0
cpu,1655,0,2306,13142256,16797,282,474,0,0,0
cpu,1656,0,2306,13145463,16797,282,475,0,0,0
cpu,1656,0,2307,13148674,16797,282,475,0,0,0
cpu,1656,0,2307,13151882,16797,282,475,0,0,0
cpu,1656,0,2307,13155091,16797,282,475,0,0,0
cpu,1656,0,2308,13158297,16797,282,475,0,0,0
cpu,1657,0,2308,13161506,16797,283,475,0,0,0
cpu,1657,0,2309,13164715,16797,283,475,0,0,0
cpu,1657,0,2309,13167922,16797,283,476,0,0,0
cpu,1657,0,2309,13171132,16797,284,476,0,0,0
cpu,1657,0,2310,13174339,16797,284,476,0,0,0
cpu,1657,0,2310,13177548,16797,284,476,0,0,0
cpu,1657,0,2311,13180757,16797,284,476,0,0,0
cpu,1658,0,2311,13183964,16797,284,476,0,0,0
cpu,1658,0,2312,13187173,16797,284,476,0,0,0
cpu,1658,0,2312,13190381,16797,284,476,0,0,0
cpu,1658,0,2313,13193590,16797,285,476,0,0,0
cpu,1658,0,2313,13196799,16797,285,476,0,0,0
cpu,1658,0,2314,13200007,16797,285,476,0,0,0
cpu,1658,0,2314,13203214,16797,285,477,0,0,0
cpu,1658,0,2315,13206422,16797,286,477,0,0,0
cpu,1658,0,2315,13209629,16797,286,477,0,0,0
cpu,1658,0,2316,13212840,16797,286,477,0,0,0
cpu,1658,0,2316,13216048,16797,286,477,0,0,0
cpu,1659,0,2317,13219258,16797,287,477,0,0,0
cpu,1659,0,2317,13222465,16797,287,477,0,0,0
cpu,1659,0,2318,13225673,16797,287,478,0,0,0
