x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,295,0,626,10799069,51,116,149,0,0,0
cpu,295,0,627,10802282,51,117,149,0,0,0
cpu,296,0,627,10805490,51,117,150,0,0,0
cpu,296,0,627,10808700,51,117,150,0,0,0
cpu,296,0,628,10811911,51,117,150,0,0,0
cpu,296,0,628,10815123,51,118,150,0,0,0
cpu,296,0,628,10818331,51,118,150,0,0,0
cpu,297,0,629,10821539,51,118,151,0,0,0
cpu,298,0,629,10824746,51,118,151,0,0,0
cpu,298,0,629,10827956,51,118,151,0,0,0
cpu,298,0,630,10831166,51,118,151,0,0,0
cpu,298,0,630,10834374,51,118,151,0,0,0
cpu,298,0,630,10837583,51,118,151,0,0,0
cpu,298,0,631,10840791,51,118,151,0,0,0
cpu,299,0,631,10844001,51,118,151,0,0,0
cpu,299,0,631,10847210,51,119,151,0,0,0
cpu,299,0,631,10850418,51,119,152,0,0,0
cpu,299,0,632,10853629,51,119,152,0,0,0
cpu,299,0,632,10856838,51,119,152,0,0,0
cpu,299,0,633,10860048,51,119,152,0,0,0
cpu,299,0,633,10863256,51,119,152,0,0,0
cpu,300,0,634,10866467,51,119,152,0,0,0
cpu,300,0,634,10869677,51,119,152,0,0,0
cpu,300,0,634,10872886,51,119,153,0,0,0
cpu,300,0,634,10876094,51,120,153,0,0,0
cpu,300,0,635,10879302,51,120,153,0,0,0
cpu,300,0,635,10882511,51,120,153,0,0,0
cpu,300,0,636,10885719,51,120,153,0,0,0
cpu,300,0,636,10888927,51,120,153,0,0,0
cpu,300,0,636,10892137,51,120,153,0,0,0
cpu,300,0,637,10895348,51,120,153,0,0,0
cpu,300,0,637,10898558,51,120,154,0,0,0
cpu,300,0,637,10901766,51,121,154,0,0,0
cpu,301,0,638,10904974,51,121,154,0,0,0
cpu,301,0,638,10908183,51,121,154,0,0,0
cpu,301,0,638,10911393,51,121,154,0,0,0
cpu,301,0,639,10914604,51,121,154,0,0,0
cpu,301,0,639,10917813,51,121,154,0,0,0
cpu,301,0,639,10921023,51,121,154,0,0,0
cpu,301,0,640,10924233,51,121,154,0,0,0
cpu,302,0,641,10927440,51,121,155,0,0,0
cpu,302,0,641,10930649,51,121,155,0,0,0
cpu,302,0,641,10933858,51,122,155,0,0,0
cpu,302,0,642,10937066,51,122,155,0,0,0
cpu,302,0,642,10940277,51,122,155,0,0,0
cpu,302,0,642,10943485,51,122,155,0,0,0
cpu,303,0,643,10946697,51,122,155,0,0,0
cpu,303,0,643,10949909,51,122,155,0,0,0
cpu,303,0,643,10953116,51,122,156,0,0,0
cpu,303,0,644,10956324,51,122,156,0,0,0
cpu,307,0,668,10959456,104,123,157,0,0,0
cpu,340,0,684,10962586,138,124,159,0,0,0
cpu,422,0,700,10965692,138,126,162,0,0,0
cpu,510,0,709,10968798,138,127,166,0,0,0
cpu,593,0,729,10971899,138,128,169,0,0,0
cpu,668,0,756,10975000,138,129,172,0,0,0
cpu,676,0,816,10978080,194,131,176,0,0,0
cpu,745,0,841,10981190,197,132,178,0,0,0
cpu,834,0,851,10984295,197,133,183,0,0,0
cpu,929,0,856,10987397,197,133,187,0,0,0
cpu,971,0,899,10990498,217,134,188,0,0,0
cpu,1012,0,924,10993617,241,135,190,0,0,0
cpu,1064,0,960,10996731,249,136,190,0,0,0
cpu,1101,0,986,10999869,253,136,191,0,0,0
cpu,1114,0,1006,11002911,383,138,193,0,0,0
cpu,1120,0,1025,11005803,667,139,196,0,0,0
cpu,1130,0,1040,11008645,1003,140,199,0,0,0
cpu,1137,0,1058,11011532,1292,142,201,0,0,0
cpu,1145,0,1076,11014387,1610,143,205,0,0,0
cpu,1154,0,1093,11017284,1886,145,207,0,0,0
cpu,1161,0,1112,11020080,2264,147,210,0,0,0
cpu,1170,0,1131,11022868,2647,149,214,0,0,0
cpu,1178,0,1145,11025843,2852,150,218,0,0,0
cpu,1178,0,1146,11029051,2852,150,218,0,0,0
cpu,1178,0,1146,11032260,2852,150,218,0,0,0
cpu,1178,0,1146,11035467,2852,151,218,0,0,0
cpu,1178,0,1147,11038676,2852,151,218,0,0,0
cpu,1178,0,1147,11041885,2852,151,218,0,0,0
cpu,1178,0,1148,11045093,2852,151,219,0,0,0
cpu,1178,0,1148,11048300,2852,151,219,0,0,0
cpu,1178,0,1148,11051507,2852,151,219,0,0,0
cpu,1179,0,1149,11054715,2852,152,219,0,0,0
cpu,1179,0,1149,11057924,2852,152,219,0,0,0
cpu,1179,0,1149,11061132,2852,152,219,0,0,0
cpu,1179,0,1149,11064343,2852,152,220,0,0,0
cpu,1179,0,1151,11067549,2852,152,220,0,0,0
cpu,1179,0,1151,11070759,2852,152,220,0,0,0
cpu,1179,0,1152,11073967,2852,152,220,0,0,0
cpu,1179,0,1152,11077176,2852,152,220,0,0,0
cpu,1180,0,1152,11080384,2852,153,220,0,0,0
cpu,1180,0,1153,11083593,2852,153,221,0,0,0
cpu,1180,0,1153,11086801,2852,153,221,0,0,0
cpu,1180,0,1154,11090011,2852,153,221,0,0,0
cpu,1180,0,1154,11093221,2852,153,221,0,0,0
cpu,1180,0,1154,11096429,2852,153,221,0,0,0
cpu,1180,0,1155,11099637,2852,153,221,0,0,0
cpu,1180,0,1155,11102846,2852,153,222,0,0,0
cpu,1180,0,1155,11106054,2852,153,222,0,0,0
cpu,1180,0,1156,11109262,2852,153,222,0,0,0
cpu,1181,0,1156,11112470,2852,154,222,0,0,0
cpu,1181,0,1156,11115680,2852,154,222,0,0,0
cpu,1181,0,1158,11118882,2858,154,223,0,0,0
cpu,1181,0,1158,11122090,2858,154,223,0,0,0
cpu,1181,0,1159,11125298,2858,154,223,0,0,0
cpu,1181,0,1159,11128506,2858,154,223,0,0,0
cpu,1181,0,1159,11131714,2858,154,223,0,0,0
cpu,1182,0,1160,11134923,2858,154,223,0,0,0
cpu,1182,0,1160,11138131,2858,154,223,0,0,0
cpu,1182,0,1160,11141342,2858,155,223,0,0,0
cpu,1182,0,1160,11144549,2858,155,223,0,0,0
cpu,1182,0,1161,11147757,2858,155,223,0,0,0
cpu,1182,0,1161,11150964,2858,155,224,0,0,0
cpu,1182,0,1161,11154173,2858,155,224,0,0,0
cpu,1182,0,1162,11157381,2858,155,224,0,0,0
cpu,1183,0,1164,11160588,2858,155,224,0,0,0
cpu,1183,0,1164,11163796,2858,156,224,0,0,0
cpu,1183,0,1164,11167004,2858,156,224,0,0,0
cpu,1183,0,1165,11170213,2858,156,224,0,0,0
cpu,1183,0,1165,11173422,2858,156,225,0,0,0
cpu,1183,0,1166,11176629,2858,156,225,0,0,0
cpu,1184,0,1166,11179840,2858,156,225,0,0,0
cpu,1184,0,1166,11183047,2858,156,225,0,0,0
cpu,1184,0,1166,11186259,2858,157,225,0,0,0
cpu,1184,0,1167,11189467,2858,157,225,0,0,0
cpu,1184,0,1167,11192676,2858,157,225,0,0,0
cpu,1184,0,1167,11195884,2858,157,225,0,0,0
cpu,1185,0,1168,11199094,2858,157,225,0,0,0
cpu,1185,0,1168,11202301,2858,157,226,0,0,0
cpu,1185,0,1168,11205509,2858,157,226,0,0,0
cpu,1185,0,1169,11208718,2858,158,226,0,0,0
cpu,1185,0,1169,11211926,2858,158,226,0,0,0
cpu,1185,0,1169,11215134,2858,158,226,0,0,0
cpu,1185,0,1169,11218341,2858,158,226,0,0,0
cpu,1185,0,1170,11221550,2858,158,226,0,0,0
cpu,1185,0,1170,11224759,2858,158,227,0,0,0
cpu,1185,0,1171,11227966,2858,158,227,0,0,0
cpu,1186,0,1171,11231178,2858,158,227,0,0,0
cpu,1186,0,1171,11234386,2858,158,227,0,0,0
cpu,1186,0,1172,11237597,2858,159,227,0,0,0
cpu,1186,0,1172,11240806,2858,159,227,0,0,0
cpu,1186,0,1173,11244015,2858,159,227,0,0,0
cpu,1186,0,1173,11247222,2858,159,227,0,0,0
cpu,1186,0,1174,11250430,2858,159,227,0,0,0
cpu,1186,0,1174,11253638,2858,159,227,0,0,0
cpu,1186,0,1174,11256848,2858,159,228,0,0,0
cpu,1186,0,1175,11260055,2858,160,228,0,0,0
cpu,1186,0,1175,11263265,2858,160,228,0,0,0
cpu,1186,0,1175,11266472,2858,160,228,0,0,0
cpu,1186,0,1176,11269681,2858,160,228,0,0,0
cpu,1186,0,1176,11272889,2858,160,229,0,0,0
cpu,1186,0,1176,11276099,2858,160,229,0,0,0
cpu,1187,0,1177,11279306,2858,160,229,0,0,0
cpu,1187,0,1177,11282515,2858,160,229,0,0,0
cpu,1187,0,1177,11285723,2858,161,229,0,0,0
cpu,1187,0,1178,11288934,2858,161,229,0,0,0
cpu,1187,0,1178,11292142,2858,161,229,0,0,0
cpu,1187,0,1178,11295351,2858,161,229,0,0,0
cpu,1187,0,1179,11298559,2858,161,230,0,0,0
cpu,1187,0,1179,11301769,2858,161,230,0,0,0
cpu,1187,0,1180,11304977,2858,161,230,0,0,0
cpu,1187,0,1180,11308185,2858,161,230,0,0,0
cpu,1188,0,1180,11311393,2858,161,230,0,0,0
cpu,1188,0,1180,11314601,2858,162,230,0,0,0
cpu,1188,0,1181,11317809,2858,162,230,0,0,0
cpu,1188,0,1181,11321018,2858,162,230,0,0,0
cpu,1188,0,1182,11324226,2858,162,231,0,0,0
cpu,1188,0,1182,11327436,2858,162,231,0,0,0
cpu,1188,0,1182,11330644,2858,162,231,0,0,0
cpu,1188,0,1182,11333855,2858,162,231,0,0,0
cpu,1189,0,1183,11337065,2858,162,231,0,0,0
cpu,1189,0,1183,11340273,2858,162,231,0,0,0
cpu,1189,0,1184,11343480,2858,163,231,0,0,0
cpu,1189,0,1184,11346689,2858,163,231,0,0,0
cpu,1189,0,1184,11349897,2858,163,231,0,0,0
cpu,1190,0,1186,11353104,2858,164,231,0,0,0
cpu,1190,0,1186,11356312,2858,164,232,0,0,0
cpu,1190,0,1187,11359521,2858,164,232,0,0,0
cpu,1190,0,1187,11362729,2858,164,232,0,0,0
cpu,1190,0,1188,11365938,2858,164,232,0,0,0
cpu,1190,0,1188,11369146,2858,164,232,0,0,0
cpu,1191,0,1188,11372355,2858,164,233,0,0,0
cpu,1191,0,1189,11375562,2858,164,233,0,0,0
cpu,1191,0,1189,11378772,2858,164,233,0,0,0
cpu,1191,0,1189,11381980,2858,165,233,0,0,0
cpu,1191,0,1190,11385189,2858,165,233,0,0,0
cpu,1191,0,1191,11388398,2858,165,233,0,0,0
cpu,1191,0,1191,11391608,2858,165,233,0,0,0
cpu,1191,0,1191,11394816,2858,165,233,0,0,0
cpu,1191,0,1192,11398024,2858,165,233,0,0,0
cpu,1191,0,1192,11401234,2858,165,233,0,0,0
cpu,1191,0,1193,11404444,2858,165,234,0,0,0
cpu,1191,0,1193,11407652,2858,166,234,0,0,0
cpu,1192,0,1194,11410861,2858,166,234,0,0,0
cpu,1192,0,1194,11414070,2858,166,234,0,0,0
cpu,1192,0,1194,11417279,2858,166,234,0,0,0
cpu,1192,0,1195,11420486,2858,166,234,0,0,0
cpu,1192,0,1195,11423699,2858,166,234,0,0,0
cpu,1192,0,1195,11426907,2858,166,235,0,0,0
cpu,1192,0,1196,11430115,2858,166,235,0,0,0
