x,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
cpu,223,0,458,337230,35,28,22,0,0,0
cpu,223,0,459,337430,35,28,22,0,0,0
cpu,223,0,460,337630,35,28,22,0,0,0
cpu,223,0,460,337830,35,28,22,0,0,0
cpu,224,0,461,338029,35,28,22,0,0,0
cpu,224,0,461,338229,35,28,22,0,0,0
cpu,224,0,461,338429,35,28,22,0,0,0
cpu,224,0,462,338630,35,28,22,0,0,0
cpu,225,0,462,338830,35,28,22,0,0,0
cpu,225,0,462,339030,35,28,22,0,0,0
cpu,225,0,462,339230,35,28,22,0,0,0
cpu,225,0,463,339430,35,28,22,0,0,0
cpu,225,0,463,339630,35,28,22,0,0,0
cpu,226,0,463,339831,35,28,22,0,0,0
cpu,226,0,463,340031,35,28,22,0,0,0
cpu,226,0,463,340231,35,29,23,0,0,0
cpu,226,0,464,340431,35,29,23,0,0,0
cpu,226,0,464,340631,35,29,23,0,0,0
cpu,226,0,465,340831,35,29,23,0,0,0
cpu,237,0,490,340992,37,29,23,0,0,0
cpu,291,0,516,341104,38,32,28,0,0,0
cpu,379,0,529,341194,38,34,34,0,0,0
cpu,466,0,542,341286,38,36,41,0,0,0
cpu,541,0,564,341381,38,38,46,0,0,0
cpu,615,0,588,341474,38,40,51,0,0,0
cpu,674,0,642,341556,38,42,55,0,0,0
cpu,724,0,684,341658,40,43,56,0,0,0
cpu,793,0,706,341755,41,46,64,0,0,0
cpu,864,0,726,341852,41,49,72,0,0,0
cpu,944,0,742,341950,41,51,77,0,0,0
cpu,1007,0,776,342048,41,52,79,0,0,0
cpu,1050,0,824,342152,43,54,81,0,0,0
cpu,1101,0,865,342257,45,55,81,0,0,0
cpu,1155,0,908,342357,45,57,82,0,0,0
cpu,1182,0,945,342424,109,59,82,0,0,0
cpu,1192,0,979,342430,255,60,84,0,0,0
cpu,1207,0,1024,342445,377,62,85,0,0,0
cpu,1225,0,1071,342469,482,64,87,0,0,0
